type,full_details,area,price
SPARKLING,"CHARLOT PÈRE ET FILS – PINOT MEUNIER BRUT NATURE-- 2009 (0.75l)
 Champagne, Francia, 100% Pinot Meunier, 12,5% Vol.",2-1,€ 250.00
SPARKLING,"CHARTOGNE TAILLET-HORS SERIE - 2018 (0,75l) Champagne, Francia, 100% Chardonnay, 12,% Vol.",,€ 280.00
SPARKLING,"CHARTOGNE TAILLET-LES COUARRES EXTRA BRUT - 2018 (0,75l) Champagne, Francia, 60% Pinot Nero, 40% Chardonnay, 12,5% Vol.",,€ 230.00
SPARKLING,"CHARTOGNE TAILLET – CHEMIN DE REIMS BLANC DE BLANCS EXTRA BRUT – 2018 (0,75l)
Reims, Francia, 100% Chardonnay, 12,5% Vol.",1-2,€ 190.00
SPARKLING,"CHARTOGNE TAILLET – SAINTE ANNE BRUT CUVÉE (0,75l)
Champagne, Francia, 100% Pinot Meunier, 12,5% Vol.",1-2,€ 120.00
SPARKLING,"DAVID LECLAPART – L'APHRODISIAQUE 1er CRU BRUT NATURE – (0.75l)
Champagne, Francia, 80% Chardonnay, 20% Pinot Nero, 12,5% Vol",1-3,€ 420.00
SPARKLING,"DELAMOTTE – BRUT-DELAMOTTE - (0,75l) 
Champagne, Francia, 55% Chardonnay, 35% Pinot Noir, 10% Pinot Meunier, 12% Vol. ",1-4,€ 110.00
SPARKLING,"DHONDT GRELLET – DANS UN PREMIER TEMPS BRUT (0,75l)
 Champagne, Francia, 30% Pinot Nero, 50% Chardonnay,20% Pinot M., 12,5% Vol.",1-2,€ 170.00
SPARKLING,"DHONDT GRELLET– LES TERRES FINES EXTRA BRUT BLANC DE BLANCS PREMIER CRU (0,75l)-Champagne, Francia, 100% Chardonnay, 12% Vol.",1,€ 150.00
SPARKLING,"DOM PERIGNON ­ - P2 VINTAGE BRUT – 2004 (0.75l) 
-Champagne, Francia, Pinot Nero, Chardonnay, 12% Vol.",1-1,€ 800.00
SPARKLING,"DOM PERIGNON – DOM PERIGNON BRUT – 1988 (0.75l)
Champagne, Francia, 58% Chardonnay, 42% Pinot Noir, 12,5% Vol.",1-1,€ 850.00
SPARKLING,"DOM PERIGNON – VINTAGE BRUT – 2013 (0.75l)
 Champagne, Francia, Pinot Nero, Chardonnay, 12% Vol.",1-1,€ 390.00
SPARKLING,"EGLY OURIET – BRUT GRAND CRU – (0.75l)
Champagne, Francia, 70% Pinot Noir, 30% Chardonnay, 12% Vol.",1-3,€ 250.00
SPARKLING,"FERNAND THILL – GRAND CRU BRUT MILLESIME – 2015 (0,75l)
 Champagne,Francia, 70% Chardonnay, 30% Pinot Nero, 12,5% Vol.",1-3,€ 130.00
SPARKLING,"FERNAND THILL – TRADITION BRUT GRAND CRU (0,75l)
Champagne,Francia, 30% Chardonnay, 70% Pinot Nero, 12,5% Vol.",1-3,€ 100.00
SPARKLING,"FRANCK PASCAL-RELIANCE BRUT NATURE---(0,75l) Champagne, Francia, 70% Pinot Meunier, 25% Pinot Nero, 5% Chardonnay, 12% Vol.",,€ 130.00
SPARKLING,"FRANCK PASCAL-TOLERANCE BRUT ROSE’---(0,75l) Champagne, Francia, 58% Pinot Meunier, 39% Pinot Nero, 5% Chardonnay, 3% Vol.",,€ 150.00
SPARKLING,"FRANCK PASCAL – FLUENCE BRUT NATURE---(0,75l)
 Champagne, Francia, 60% Pinot M., 34% Pinot N., 6% Chardonnay, 12,5% Vol.",1-1,€ 150.00
SPARKLING,"FRANCK PASCAL – HARMONIE BLANC DE NOIRS– 2012 (0,75l)
Champagne,Francia, 50% Pinot Nero, 50% Pinot Meunier, 12,5% Vol.",1-1,€ 160.00
SPARKLING,"FRANCK PASCAL – PACIFIANCE BRUT NATURE METODO SOLERA --(0,75l)
 Champagne, Francia, 57% Pinot M., 38% Pionot N., 5% Chardonnay, 12,5% Vol.",1-1,€ 290.00
SPARKLING,"FRANCK PASCAL – QUINTE ESSENCE EXTRA BRUT – 2013 (0,75l)
 Champagne,Francia, 2% Chardonnay, 20% Pinot Nero, 78% Pinot Meunier, 12,5% Vol",1-1,€ 160.00
SPARKLING,"FRANCK PASCAL – QUINTE ESSENCE EXTRA BRUT MILLESIMATO-2010 --(0,75l)
Champagne, Francia, 65% Pinot Meunier, 35% Chardonnay, 12% Vol.",3-1,€ 230.00
SPARKLING,"FREDERIC SAVART - L'ACCOMPLIE PREMIER CRU EXTRA BRUT – (0,75l) Champagne, Francia, 80% Pinot Noir, 20% Chardonnay, 12,5% Vol. ",,€ 180.00
SPARKLING,"FREDERIC SAVART – GRAND CRU EXTRA BRUT EPHEMERE 018-- 2018 (0.75l)
 Champagne Francia, 74% Chardonnay 26% Pinot Nero, 12,5% Vol.",1-3,€ 140.00
SPARKLING,"FREDERIC SAVART – OUVERTURE EXTRA BRUT PREMIER CRU – (0,75l) Champagne Francia, 100% Pinot Noir, 12,5% Vol.",,€ 180.00
SPARKLING,"FREDERIC SAVART – OUVERTURE EXTRA BRUT PREMIER CRU – (1,5l) Champagne Francia, 100% Pinot Noir, 12,5% Vol.",,€ 280.00
SPARKLING,"GASTON CHIQUET - BRUT PREMIER CRU (0,75l) Champagne,Francia, 40% Chardonnay, 60% Pinot Nero, 12,5% Vol.",,€ 150.00
SPARKLING,"GASTON CHIQUET – AY BLANC DE BLANCS-GRAND CRU – 2013 (0,75l)
Champagne,Francia, 100% Chardonnay, 12,5% Vol.",1-2,€ 150.00
SPARKLING,"GASTON CHIQUET – BRUT GRAND CRU SPECIAL CLUB – 2014 – (0,75l)
 Champagne,Francia, 70% Chardonnay, 30% Pinot Nero,-12,5% Vol.",1-2,€ 130.00
SPARKLING,"GASTON CHIQUET – BRUT ROSE' PREMIER CRU (0,75l)
 Champagne,Francia, 30% Chardonnay, 30% Pinot Nero, Pinot Meunier,12,5% Vol.",1-2,€ 130.00
SPARKLING,"GASTON CHIQUET – TRADITION BRUT PREMIER CRU (0,75l)
Champagne,Francia, 35% Chardonnay, 25% Pinot Nero, 60% Pinot M., 12,5% Vol.",1-2,€ 90.00
SPARKLING,"GEORGES LAVAL – BRUT NATURE PREMIER CRU 2020 – (0,75l)
 Champagne, Francia, Chardonnay, Pinot Noir, e Meunier, 12,5% Vol.",1-2,€ 230.00
SPARKLING,"GONET MÉDEVILLE – EXTRA BRUT ROSE’ PREMIER CRU - (0,75l)-– Ambonnay, Francia, 70% Chardonnay, 27% Pinot N., 3% Vin Rouge d’Ambonnay",1-3,€ 145.00
SPARKLING,"GUY LARMANDIER – CRAMANT BLANC DE BLANC EXTRA BRUT-GRAND CRU (0.75l)
 Blancs-Coteaux (Francia), 90% Chardonnay 10% Pinot nero, 12,5% Vol.",1,€ 120.00
SPARKLING,"GUY LARMANDIER – CUVEE PREMIER CRU (0.75l)
Blancs-Coteaux (Francia), 100% Chardonnay , 12,5% Vol.",1,€ 110.00
SPARKLING,"HERVE’ MATHELIN - BRUT PREMIER (0.75l) Champagne Francia, 20% Pinot Nero, 80%-Pinot Meunier, 12% Vol.",,€ 120.00
SPARKLING,"J.M. SELEQUE – SOLESSENCE EXTRA BRUT (0.75l)
 Champagne Francia, 50% Chardonnay 40% Pinot Meunier 10% Pinot nero, 12,5% Vol.",1-5,€ 110.00
SPARKLING,"JACQUES SELOSSE - INITIAL BLANC DE BLANCS GRAND CRU – (0.75l) Champagne, Francia, 100% Chardonnay 12% Vol.",,€ 450.00
SPARKLING,"JEAN VESSEL – ROSE' DE SAIGNEE BRUT (0.75l)
Champagne Francia, 100% Pinot Nero, 12% Vol.",2-1,€ 90.00
SPARKLING,"KRUG – GRAND CUVEE 170ma EDITION – (0.75l)
 38% Chardonnay, 51% Chardonnay, 11% Pinot Meunier, 12,5% Vol.",1-5,€ 380.00
SPARKLING,"LAHERT FRÈRES – ROSE’ DE SAIGNEE’ EXTRA BRUT LES BEAUDIERS 2021 - ( 0,75l)-Champagne, Francia, 100% Pinot Meunier, 12,5% Vol.",2-1,€ 75.64
SPARKLING,"LAMIABLE - LAPIE-LAMIABLE BRUT (0.75l)
Reims Francia, Pinot Meunier, Chardonnay, Pinot Nero, 12% Vol.",FRIGO MESCITA,€ 60.00
SPARKLING,"LAMIABLE – TERRE D’ETOILES BRUT GRAND CRU MAGNUM (1,5l) Reims Francia, 40% Chardonnay, 60% Pinot Nero, 12% Vol",1-4,€ 210.00
SPARKLING,"LELARGE PUGEOT – TRADITION EXTRA BRUT - (0,75l) 
Champagne, Francia, 15% Chardonnay, 20% Pinot Noir, 65% Pinot M. 12,5% Vol.",1-4,€ 110.00
SPARKLING,"LOUIS ROEDERER - CRISTAL BRUT 2014 – (0.75l)
Francia, 45% Chardonnay, 55% Pinot Noir, 12,5% Vol.",1-3,€ 400.00
SPARKLING,"MANDOIS – BLANC DE NOIR BRUT MILLESIME – 2015 (0.75l)
Champagne Francia, 100 % Pinot Nero, 12,% Vol.",1-3,€ 95.00
SPARKLING,"MARGUET –-YUMAN PREMIER CRU-BRUT NATURE BIO 2019 - ( 0,75l)
Francia, 100% Chardonnay, 13% Vol.",1-4,€ 140.00
SPARKLING,"MARGUET – SHAMAN ROSE' GRAND CRU A.O.C. 2019 (0,75l)
Champagne, Francia, Chardonnay, Pinot Noir, 12% Vol.",1-5,€ 150.00
SPARKLING,"MAURICE GRUMIER – BLANC DE NOIRS EXTRA BRUT - (0,75l) 
Champagne, Francia, 80% Pinot Meunier, 20% Pinot Noir, 12,5% Vol.",1-4,€ 90.00
SPARKLING,"MAXIME PONSON – PONSON PREMIER CRU BRUT (0.75l)
 Reims Francia, 70% Pinot Meunier 15% Chardonnay 15% Pinot Nero, 12% Vol.",FRIGO MESCITA,€ 60.00
SPARKLING,"MICHEL FALLON-OZANNE BLANC DE BLANCS-GRAND CRU - (0,75l) Champagne,Francia, 100% Chardonnay, 12% Vol.",,€ 280.00
SPARKLING,"MINIÉRE F. & R.-- INFLUENCE ROSE’ BRUT (0,75l) Champagne,Francia, 31% Chardonnay, 20% Pinot Nero, 41% Pinot Meunier, 31% Chardonnay, 12% Vol",,€ 150.00
SPARKLING,"MINIÉRE F. & R.-– INFLUENCE-BRUT (0,75l)
 Champagne,Francia, 25% Chardonnay, 35% Pinot Nero, 40% Pinot Meunier, 12% Vol.",1-5,€ 105.00
SPARKLING,"MONMARTHE – BRUT SECRET DE FAMILLE PREMIER CRU – (0.75l)
 Champagne Francia, 40% Pinot Nero, 20% Chardonnay, 40% Pinot Menier 12,5% Vol",1-2,€ 90.00
SPARKLING,"MONMARTHE – LES GRIPANTS BLANC DE NOIRS PREMIER CRU – 2012 (0,75l)- Champagne, Francia, 100% Pinot Nero, 12,5% Vol.",2-2,€ 120.00
SPARKLING,"MOUSSE’ FILS-EUGÈNE BLANC DE NOIRS – (0,75l) Champagne,Francia, 100% Pinot Meunier, 12% Vol.",,€ 120.00
SPARKLING,"MOUSSE’ FILS-L’ANECDOTE - 2019 (0,75l) Champagne,Francia, 100% Pinot Meunier, 12% Vol.",,€ 150.00
