type,area,price,winery_name,vintage,size,name,info,internal_notes
SPARKLING,, 210.00,MOUZON LEROUX & FILS,,BOTTLE,L’ANGELIQUE EXTRA BRUTBLANC DE BLANC GRAND CRU,,
SPARKLING,, 300.00,MOUZON LEROUX & FILS,,BOTTLE,OPINIATRE EXTRA BRUTBLANC DE BLANCS GRAND CRU,,
SPARKLING,, 175.00,NICOLAS MAILLART,2018,BOTTLE,MONTCHENOT BLANC DE NOIRS EXTRA BRUT,,
SPARKLING,, 110.00,NICOLAS MAILLART,,BOTTLE,PLATINE PREMIER CRU EXTRA BRUT,,
SPARKLING,2-1, 160.00,PALMERS & CO.,,BOTTLE,BLANC DE NOIR,,
SPARKLING,2-1, 125.00,PALMERS & CO.,,BOTTLE,ROSE’ SOLERA,,
SPARKLING,, 150.00,PERTOIS,,BOTTLE,MORISETPM 05 EXTRA BRUT GRAND CRU,,
SPARKLING,, 510.00,PHILIPPONNAT,2013,BOTTLE,CLOS GOISSES EXTRA BRUT,,
SPARKLING,, 150.00,PHILIPPONNAT,,BOTTLE,MOON IMPORT PREMIER CRU,,
SPARKLING,1-1, 100.00,PHILIPPONNAT,,BOTTLE,ROYALE RÉSERVE NON DOSÉ,,
SPARKLING,1-1, 100.00,PHILIPPONNAT,,BOTTLE,ROYALE RÉSERVE BRUT,,
SPARKLING,1-3, 70.00,PIERRE BRIGANDAT,,BOTTLE,PINOT NOIR BRUT NATURE,,
SPARKLING,1-2, 110.00,R. & L. LEGRAS,,BOTTLE,BRUT BLANC DE BLANCGRAND CRU,,
SPARKLING,2-1, 180.00,RUINART,,BOTTLE,BRUT ROSE',,
SPARKLING,, 160.00,SADI MALOT,,BOTTLE,LES GOISSES EXTRA BRUT GRAND CRU BLANC DE NOIRS,,
SPARKLING,1-3, 90.00,VINCENT COUCHE,,BOTTLE,DOSAGE ZERO NATURE,,
SPARKLING,3-1, 190.00,VINCENT COUCHE,,MAGNUM,DOSAGE ZERO NATURE,,
SPARKLING,1-5, 110.00,WARIS LARMANDIER,,BOTTLE,CUVEE RACINES DE TROIS BRUT,,
ROSE,3-3, 25.00,DOMIZIANO,2021,BOTTLE,ARILA' NEGROAMARO ROSE' I.G.P.,,
ROSE,SCAFFALE , 25.00,DOMIZIANO,2021,BOTTLE,NEGROAMARO ROSATO SALENTO ARILA',,
ROSE,3-3, 30.00,FEUDI DI SAN GREGORIO,2022,BOTTLE,VISIONE ROSATO I.G.T.,,
ROSE,FRIGO MESCITA, 30.00,FRANCESCO POLI,2021,BOTTLE,SCHIAVA BIO IGT,,
ROSE,, 90.00,GUIDO F. FENDI,2021,BOTTLE,CHICCA ROSATO,,
ROSE,3-3, 45.00,HIBISCUS,2021,BOTTLE,ISOLA ROSATO IGT,,
ROSE,SCAFFALE , 35.00,MONGARDA,,BOTTLE,ROSATO DI PINOT GRIGIO I.G.T.,,
