external_id,name,winery_name,type,storage_area,size,vintage,price,info,quantity,internal_notes
78.0,Chardonnay Lafoà,Kellerei Schreckbichl,,,BOTTLE,2021.0,5300.0,,6,"purchase_price:  18.20 € , supplier: WD, retail_price:  36.64 € , glass_price:  € 8.83 "
79.0,Chardonnay Ateyon  ,Weingut Loacker,,,BOTTLE,2021.0,4300.0,,11,"purchase_price:  14.50 € , supplier: WD, retail_price:  29.19 € , glass_price:  € 7.17 "
80.0,Chardonnay Donà d'Or,Weingut Hartmann Donà,,,BOTTLE,2013.0,8500.0,,4,"purchase_price:  37.50 € , supplier: Akos, retail_price:  75.49 € , glass_price:  € 14.17 "
81.0,Chardonnay Fluch und Segen,Martin Gschraffer,,,BOTTLE,2021.0,5700.0,,9,"purchase_price:  21.70 € , supplier: Martin Gschraffer, retail_price:  43.68 € , glass_price:  € 9.50 "
82.0,Chardonnay Alte Reben,Berhard Huber,,,BOTTLE,,6700.0,,1,"purchase_price:  30.50 € , supplier: WD, retail_price:  61.40 € , glass_price:  € 11.17 "
83.0,Chardonnay Foll,Cantina Toblino,,,BOTTLE,2019.0,4200.0,,27,"purchase_price:  14.50 € , supplier: Cuzziol, retail_price:  29.19 € , glass_price:  € 7.00 "
84.0,Chardonnay Moraine,Untermoserhof - Georg Ramoser,,,BOTTLE,2020.0,5400.0,,11,"purchase_price:  19.00 € , supplier: WD, retail_price:  38.25 € , glass_price:  € 9.00 "
84.5,Chardonnay Kreuzweg,Castelferder,,,BOTTLE,2019.0,13000.0,,12,"purchase_price:  65.00 € , supplier: WD, retail_price:  130.85 € , glass_price:  € 21.67 "
85.0,Pinot Grigio - Castel Ringberg ,Weingut Elena Walch,,,BOTTLE,2022.0,4700.0,,6,"purchase_price:  17.05 € , supplier: FW, retail_price:  34.32 € , glass_price:  € 7.83 "
86.0,Pinot Grigio - Aristos,Eisacktaler kellerei,,,BOTTLE,2019.0,4000.0,,2,"purchase_price:  11.50 € , supplier: WD, retail_price:  23.15 € , glass_price:  € 6.67 "
87.0,Pinot Grigio - Punggl,Nals Margreid,,,BOTTLE,2021.0,4100.0,,20,"purchase_price:  11.85 € , supplier: WD, retail_price:  23.85 € , glass_price:  € 6.83 "
88.0,Pinot Grigio Porer,Weingut Alois Lageder,,,BOTTLE,2021.0,4200.0,,16,"purchase_price:  14.45 € , supplier: WD, retail_price:  29.09 € , glass_price:  € 7.00 "
