ok,external_id,type,name,winery_name,storage_area,size,vintage,price,info,quantity,internal_notes,matched_name,matched_winery_name,matched_id,matched_original_id,score,,
TRUE,60.5,WHITE,Weissburgunder Vorberg Magnum,Kellerei Terlan,,MAGNUM,2016,12000,,4,"purchase_price: 49.85 € , supplier: Karner, retail_price: 100.35 € , glass_price: € 20.00",Pinot Bianco Riserva Vorberg,Terlan (Terlano),wine_01gzr4kskpz3t6pte1cfyvzpzv,77664,43.981678,77664,43.981678
TRUE,62,WHITE,Weißburgunder Riserva St. Sebastian,Schloss Englar,,BOTTLE,2019,4400,,3,"purchase_price: 14.95 € , supplier: FW, retail_price: 30.09 € , glass_price: € 7.33",St. Sebastian Pinot Blanc Riserva,Schloss Englar,wine_01h4pmmg3d5rdbxy0e4fvdrwv9,,52.747833,,52.747833
TRUE,63,WHITE,Weißburgunder,Weingut Wassererhof,,BOTTLE,2019,3900,,19,"purchase_price: 11.80 € , supplier: O, retail_price: 23.75 € , glass_price: € 6.50",Weissburgunder,Wassererhof,wine_01h0my5smt3a3epvped0g2k595,,35.33149,,35.33149
TRUE,64,WHITE,Weißburgunder Art,Weingut Abraham,,BOTTLE,2019,9000,,-1,"purchase_price: 31.00 € , supplier: WD, retail_price: 62.40 € , glass_price: € 15.00",Art Pinot Blanc,Weingut Abraham,wine_01h0my5rh25pt7y1fmk9dnq1f1,,38.75285,,38.75285
TRUE,67,WHITE,Weißburgunder muschelkalk magnum,Abraham,,MAGNUM,2018,7900,,-4,"purchase_price: 39.00 € , supplier: WD, retail_price: 78.51 € , glass_price: € 13.17",Weissburgunder Vom Muschelkalk,Weingut Abraham,wine_01h0my5rh2nfd15xycd4yz3qrh,,36.29604,,36.29604
TRUE,68,WHITE,Weißburgunder Muschelkalk,Abraham,,BOTTLE,2020,5200,,12,"purchase_price: 16.90 € , supplier: WD, retail_price: 34.02 € , glass_price: € 8.67",Weissburgunder Vom Muschelkalk,Weingut Abraham,wine_01h0my5rh2nfd15xycd4yz3qrh,,36.29604,,36.29604
TRUE,69,RED,Weißburgunder Amphora,Weingut Hochklaus,,BOTTLE,2020,5400,,7,"purchase_price: 22.10 € , supplier: Hochklaus, retail_price: 44.49 € , glass_price: € 9.00",Amphora,Weingut Weigand,wine_01havwefptf00d2ccv16qg55hd,,21.417873,,21.417873
TRUE,70,WHITE,Weißburgunder Himmelsleiter,castel Juval,,BOTTLE,2020,6000,,13,"purchase_price: 19.60 € , supplier: WD, retail_price: 39.45 € , glass_price: € 10.00",Himmelsleiter Weissburgunder,Weingut Unterortl - Castel Juval,wine_01h0qsxmvxxr1kjpggy2qh3b3e,,44.830418,,44.830418
TRUE,72,WHITE,Chardonnay Löwengang,Weingut Alois Lageder,,BOTTLE,2019,9300,,6,"purchase_price: 44.50 € , supplier: WD, retail_price: 89.58 € , glass_price: € 15.50",Löwengang Chardonnay,Alois Lageder,wine_01h0my5rfekbv4h2ygebwkm1hn,,52.84677,,52.84677
TRUE,72.3,WHITE,Chardonnay Gottesacker,Martin Abraham,,BOTTLE,2021,5000,,16,"purchase_price: 16.90 € , supplier: WD, retail_price: 34.02 € , glass_price: € 8.33",Gottesacker Chardonnay,Weingut Abraham,wine_01h0sq48v8dfefvbq9rg1ya0rz,,40.03026,,40.03026
TRUE,73,WHITE,Chardonnay AU,Kellerei Tiefenbrunner,,BOTTLE,2017,10500,,6,"purchase_price: 45.00 € , supplier: FW, retail_price: 90.59 € , glass_price: € 17.50",AU Chardonnay,Tiefenbrunner,wine_01h0sq47vfce9adexvr8y68mcj,,35.563065,,35.563065
TRUE,75,WHITE,"Chardonnay Riserva ""Burgum Novum""",Weingut Castelfeder,,BOTTLE,2019,5300,,10,"purchase_price: 19.11 € , supplier: Karner/Castelfeder, retail_price: 38.47 € , glass_price: € 8.83",Burgum Novum Chardonnay Riserva,Castelfeder,wine_01h0qsxmwg77fhrj2s1gzrq7hz,,48.64862,,48.64862
TRUE,76,WHITE,Chardonnay Riserva Lina,Weingut Bergmannhof,,BOTTLE,2021,5400,,8,"purchase_price: 19.00 € , supplier: WD, retail_price: 38.25 € , glass_price: € 9.00",Lina Chardonnay Riserva,Bergmannhof,wine_01h0my5sm6d53pksmtv225wfdv,,42.396713,,42.396713
TRUE,79,WHITE,Chardonnay Ateyon,Weingut Loacker,,BOTTLE,2021,4300,,11,"purchase_price: 14.50 € , supplier: WD, retail_price: 29.19 € , glass_price: € 7.17",Ateyon Chardonnay,Weingut Loacker,wine_01h0r2ppaq1mxg2tm7msjy9z74,,47.112335,,47.112335
