ok,matched_id,external_id,type,name,winery_name,area,size,vintage,price_eur,price,quantity,info,internal_notes,matched_name,matched_winery_name,matched_id,matched_original_id,score
TRUE,wine_01gzr4ksfwh3ezsq5hzzr4qn57,471,RED,ROSSO RISERVA DEGLI ORZONI,MARCO FELLUGA,,BOTTLE,2017,90,9000,0,,,,,,,
TRUE,wine_01hawwcvx925wmqvxwwjek8qae,488,RED,NEBBIOLO,ROCCHE VIBERTI,,BOTTLE,2020,40,4000,0,,,,,,,
FALSE,,537,RED,BAROLO VECCHIE VITI,ROCCHE VIBERTI,,BOTTLE,2018,90,9000,0,,,,,,,
FALSE,,551,RED,BAROLO RIS. VIGNA BUSSIA PIANPOLVERE SOPRANO,PIANPOLVERE SOPRANO,,BOTTLE,2010,290,29000,0,,,,,,,
FALSE,,552,RED,BAROLO RIS. VIGNA BUSSIA PIANPOLVERE SOPRANO,PIANPOLVERE SOPRANO,,MAGNUM,2010,630,63000,0,,,,,,,
FALSE,,553,RED,BAROLO RIS. VIGNA BUSSIA PIANPOLVERE SOPRANO,PIANPOLVERE SOPRANO,,JEROBOAM,2010,1500,150000,0,,,,,,,
TRUE,wine_01gzr4kthbdtt267b62c61jzjq,575,RED,ES PRIMITIVO DI MANDURIA,GIANFRANCO FINO,,BOTTLE,2021,110,11000,0,,,,,,,
TRUE,wine_01j0nyg0cq26r15ngrkwz3kamb,585,RED,CONTRADA C,PASSOPISCIARO,,BOTTLE,2018,90,9000,0,,,,,,,
FALSE,,597,RED,MONTESODI,FRESCOBALDI,,BOTTLE,2015,75,7500,0,,,,,,,
TRUE,wine_01j0nyzxbx1wjeqezkhzyek4ph,624,WHITE,TENUTA DI TRINORO,TENUTA DI TRINORO,,BOTTLE,2019,480,48000,0,,,,,,,
TRUE,wine_01gzr4kth6m4g39sth08njw40r,644,RED,BRUNELLO DI MONTALCINO RISERVA MADONNA DELLE GRAZIE,IL MARRONETO,,BOTTLE,2016,450,45000,0,,,,,,,
TRUE,wine_01h0my5t951wgvxyhjdfv9t52b,652,RED,BRUNELLO DI MONTALCINO VIGNA MONTOSOLI,CANALICCHIO DI SOPRA,,MAGNUM,2019,0,0,0,,,,,,,
TRUE,wine_01gzr4kt84p32acb7v4yb1s1mc,653,RED,LE SERRE NUOVE,TENUTA DELL’ORNELLAIA,,BOTTLE,2020,140,14000,0,,,,,,,
TRUE,wine_01gzr4kssww5k215dr9ea2695w,654,RED,GUADO AL TASSO,ANTINORI,,BOTTLE,2020,150,15000,0,,,,,,,
TRUE,wine_01gzr4kssww5k215dr9ea2695w,655,RED,GUADO AL TASSO,ANTINORI,,MAGNUM,2020,300,30000,0,,,,,,,
TRUE,wine_01gzr4kt8dq82hhpx7fb7j4892,656,RED,SAPAIO,SAPAIO,,BOTTLE,2020,110,11000,0,,,,,,,
TRUE,wine_01gzr4kt8dq82hhpx7fb7j4892,657,RED,SAPAIO,SAPAIO,,MAGNUM,2019,220,22000,0,,,,,,,
FALSE,,686,RED,CABERNET SAUVIGNON 213/1,PETER DIPOLI,,BOTTLE,2016,75,7500,0,,,,,,,
FALSE,,695,RED,LAGREIN RISERVA DI ORA IN ORA,CANTINA CARLOTTO,,BOTTLE,2020,50,5000,0,,,,,,,
TRUE,wine_01h0qzm14rvs6qaxj9sdpw9x91,707,RED,PINOT NERO FILARI DI MAZZON,CANTINA CARLOTTO,,MAGNUM,2020,120,12000,0,,,,,,,
TRUE,wine_01h0r2ppqcrd0jsc6snw708w09,714,RED,CHATEAU HAUT-MARBUZET,DUBOSQ ET FILLS,,BOTTLE,2020,140,14000,0,,,,,,,
TRUE,wine_01gzr4kt6t6smghyhj710vwhp0,715,RED,CHATEAU DE PEZ,CHATEAU DE PEZ,,BOTTLE,2020,120,12000,0,,,,,,,
TRUE,wine_01gzr4ksd3j4sth04g4ym04ve0,716,RED,CHATEAU PALMER,CHATEAU PALMER,,BOTTLE,2019,680,68000,0,,,,,,,
TRUE,wine_01gzr4ksd235bckbf5gb3gv4t1,718,RED,CHATEAU HAUT BRION,CHATEAU HAUT BRION,,BOTTLE,2019,1000,100000,0,,,,,,,
TRUE,wine_01gzr4ksd235bckbf5gb3gv4t1,719,RED,CHATEAU HAUT BRION,CHATEAU HAUT BRION,,BOTTLE,2000,1780,178000,0,,,,,,,
TRUE,wine_01gzr4ksd1fghmpgth14apkphe,720,RED,CHATEAU PONTET CANET,CHATEAU PONTET CANET,,BOTTLE,2020,200,20000,0,,,,,,,
TRUE,wine_01gzr4ksd2cgh9bbt56dq0d4ms,721,RED,CHATEAU DUHART-MILON,CHATEAU DUHART-MILON,,BOTTLE,2019,0,0,0,,,,,,,
TRUE,wine_01h0my5sa964ka6gkszv4fd41s,723,RED,CHATEAU HAUT-BATAILLEY,CHATEAU HAUT BATAILLEY,,BOTTLE,2016,180,18000,0,,,,,,,
TRUE,wine_01gzr4ksd1br0cs071rnre3t19,724,RED,CHATEAU LAFITE ROTHSCHILD,DOMAINE BARONS DE ROTHSCHILD,,BOTTLE,2000,2200,220000,0,,,,,,,
TRUE,wine_01gzr4ksd2vd8tbaeth2vjkcff,725,RED,CHATEAU LATOUR,DOMAINE LATOUR,,BOTTLE,2000,1800,180000,0,,,,,,,
TRUE,wine_01gzr4ksd1br0cs071rnre3t19,726,RED,CHATEAU LAFITE ROTHSCHILD,DOMAINE BARONS DE ROTHSCHILD,,BOTTLE,1998,1600,160000,0,,,,,,,
