external_id,type,name,winery_name,info,size,vintage,price,purchase_price,quantity,storage_area,internal_notes
97,RED,Pinot Nero Mason di mason manincor,,,MAGNUM,0,0,0.0,0.0,,
98,RED,pinot Noir Riserva „Trattmann“ Kellerei Girlan ,,"Gambero Rosso 3 bicchieri, Robert Parker 94 Punkte",BOTTLE,0,6000,0.0,0.0,,
99,RED,Blauburgunder “Ludwig” Weingut Elena Walch ,,,BOTTLE,0,6100,0.0,0.0,,
100,RED,Blauburgunder „Exclusiv seine Exzellenz“ Ploner Marling ,,,BOTTLE,0,6600,0.0,0.0,,
101,RED,Pinot Noir Riserva “Renaissance” Gump Hof ,,,BOTTLE,0,8000,0.0,0.0,,
102,RED,Pinot Nero “Ponkler” Franz Haas ,,,BOTTLE,0,10800,0.0,0.0,,
103,RED,pinot Noir Riserva „Curlan” Kellerei Girlan ,,Robert Parker 93 Punkte Falstaff 95 Punkte,BOTTLE,0,11900,0.0,0.0,,
104,RED,BLAUBURGUNDER “THE WINE COLLECTION” St. Michael Eppan ,,,BOTTLE,0,15500,0.0,0.0,,
105,RED,pinot Noir Riserva „Vigna Ganger“ Kellerei Girlan ,, Robert Parker 95+ Punkte Falstaff 97 Punkte,BOTTLE,0,15800,0.0,0.0,,
106,RED,Merlot „Levad“ Kellerei Nals Margreid ,,,BOTTLE,0,3700,0.0,0.0,,
107,RED,merlot brenntal kurtatsch,,,BOTTLE,0,0,0.0,0.0,,
108,RED,Merlot Siebeneich kellerei bozen,,,BOTTLE,0,0,0.0,0.0,,
109,RED,MERLOT Riserva „Valpitan“ WEINGUT PFÖSTL Schenna ,,,BOTTLE,0,5000,0.0,0.0,,
110,RED,Merlot „Gand“ Kellerei Andrian ,,Robert Parker 93 Punkte,BOTTLE,0,6400,0.0,0.0,,
111,RED,Merlot Riserva „Nussleiten“ Castel Sallegg ,,Gambero Rosso 3 bicchieri,BOTTLE,0,6500,0.0,0.0,,
112,RED,MERLOT RISERVA „KRESSFELD“ - WEINGUT KORNELL ,," Gambero Rosso 3 bicchieri
+ 1,5 l",BOTTLE,0,8500,0.0,0.0,,
112,RED,MERLOT RISERVA „KRESSFELD“ - WEINGUT KORNELL ,," Gambero Rosso 3 bicchieri
+ 1,5 l",MAGNUM,0,8500,0.0,0.0,,
113,RED,CABERNET „CAMPANER“ - KELLEREI KALTERN ,,,BOTTLE,0,3400,0.0,0.0,,
114,RED,Cabernet Riserva „Lafot“ Kellerei Nals Margreid ,,,BOTTLE,0,4000,0.0,0.0,,
115,RED,CABERNET „ISTRICE“ - ELENA WALCH ,,,BOTTLE,0,4300,0.0,0.0,,
116,RED,"CABERNET „FREIENFELD“ KELLEREI KURTATSCH (trebicchieri, Gambero Rosso) ",,"trebicchieri, Gambero Rosso",BOTTLE,0,7100,0.0,0.0,,
