ok,external_id,type,name,winery_name,storage_area,size,vintage,price_eur,price,quantity,info,internal_notes,matched_name,matched_winery_name,matched_id,matched_original_id,score
TRUE,54,SPARKLING,BRUT FRANCIACORTA PRESTIGE,CA' DEL BOSCO,,BOTTLE,,65,6500,0,,,Franciacorta Cuvée Prestige,Ca' del Bosco,wine_01gzr4kscc5tkafqr60hga5xms,,38.308956
TRUE,55,SPARKLING,BRUT FRANCIACORTA PRESTIGE,CA' DEL BOSCO,,MAGNUM,,140,14000,0,,,Franciacorta Cuvée Prestige,Ca' del Bosco,wine_01gzr4kscc5tkafqr60hga5xms,,38.308956
TRUE,56,SPARKLING,BRUT FRANCIACORTA PRESTIGE ROSE',CA' DEL BOSCO,,BOTTLE,,85,8500,0,,,Franciacorta Cuvée Prestige Rosé,Ca' del Bosco,wine_01gzr4kscc4rdc6dnh9v5jabtr,,39.792225
TRUE,57,SPARKLING,BRUT FRANCIACORTA PRESTIGE ROSE',CA' DEL BOSCO,,MAGNUM,,180,18000,0,,,Franciacorta Cuvée Prestige Rosé,Ca' del Bosco,wine_01gzr4kscc4rdc6dnh9v5jabtr,,39.792225
TRUE,58,SPARKLING,BRUT FRANCIACORTA ZERO',CA' DEL BOSCO,,BOTTLE,2016,90,9000,0,,,Dosage Zéro Franciacorta (Vintage Collection),Ca' del Bosco,wine_01gzr4ksccg1swcb7yb701kdpe,,35.565308
FALSE,59,SPARKLING,BRUT CUVEE ANNAMARIA CLEMENTI,CA' DEL BOSCO,,BOTTLE,2011,180,18000,0,,,Cuvée Annamaria Clementi (Extra Brut),Ca' del Bosco,wine_01gzr4ksccr3vp26k7752yh5yp,,48.26262
FALSE,59,SPARKLING,BRUT CUVEE ANNAMARIA CLEMENTI,CA' DEL BOSCO,,BOTTLE,2013,180,18000,0,,,Cuvée Annamaria Clementi (Extra Brut),Ca' del Bosco,wine_01gzr4ksccr3vp26k7752yh5yp,,48.26262
FALSE,60,SPARKLING,BRUT CUVEE ANNAMARIA CLEMENTI ROSE',CA' DEL BOSCO,,BOTTLE,2013,250,25000,0,,,Cuvée Annamaria Clementi Rosé (Extra Brut),Ca' del Bosco,wine_01gzr4kscceqkyp7md23h3wfqn,,48.54106
TRUE,61,SPARKLING,PROSECCO EXTRA DRY,TORRESELLA,,BOTTLE,,30,3000,0,,,Prosecco Extra Dry,Torresella,wine_01h0sq47xdxc0p1jdjxywpra6n,,40.27549
TRUE,62,SPARKLING,PROSECCO SUPERIORE SC 1931,BELLENDA,,BOTTLE,,38,3800,0,,,S.C.1931 Conegliano Valdobbiadene Prosecco Brut,Bellenda,wine_01h0my5sjmc5tbe60sjabdttmj,,36.060715
TRUE,63,SPARKLING,PROSECCO BRUT,BIANCAVIGNA,,BOTTLE,2021,36,3600,0,,,Prosecco Brut,BiancaVigna,wine_01h0my5sn7s32jqmgxrwcxyb46,,35.38262
TRUE,64,SPARKLING,PROSECCO SUP. BRUT NATURE RIVE DI OGLIANO,BIANCAVIGNA,,BOTTLE,2021,40,4000,0,,,Rive di Ogliano Conegliano Valdobbiadene Prosecco Superiore Brut Nature,BiancaVigna,wine_01h0my5sn8zdw62dmaf0vhqs6e,,44.86995
TRUE,65,SPARKLING,PROSECCO SUP. DOSAGE ZERO' RIVE DI SOLIGO,BIANCAVIGNA,,BOTTLE,2021,40,4000,0,,,Rive di Soligo Conegliano Valdobbiadene Prosecco Superiore Dosaggio Zero,BiancaVigna,wine_01h0my5sn8af2fb2ph2r0g7f7f,,43.64519
TRUE,66,SPARKLING,BRUT CHAMPAGNE IVOIRE & EBENE,AUBRY,,BOTTLE,2014,120,12000,0,,,Ivoire & Ébène Brut Champagne 1er Cru,Aubry,wine_01h4pmmgg3nj2y2y0aqnxc9ek1,,41.939888
