ok,external_id,type,name,winery_name,storage_area,size,vintage,price,info,quantity,internal_notes,matched_name,matched_winery_name,matched_id,matched_original_id,score
TRUE,,WHITE,Riesling Grand Cru Brand Trinbach,Riesling Grand Cru Brand Trinbach,,BOTTLE,2018,12000,,50,,Riesling Alsace Grand Cru ''Brand'',Trimbach,wine_01hczek2g2kkf3sar1cg2qf71n,,38.99245
TRUE,,WHITE,Riesling Clos Ste Hune Trinbach,Riesling Clos Ste Hune Trinbach,,BOTTLE,2017,60000,,50,,Clos Sainte Hune Riesling Alsace,Trimbach,wine_01h0qzm1tg9wgaykqm4n6r9d32,,35.281578
TRUE,,WHITE,Sancerre Cuvee' Satellite Alphonse Mellot,Sancerre Cuvee' Satellite Alphonse Mellot,,BOTTLE,2022,18000,,50,,Satellite Sancerre,Alphonse Mellot,wine_01gzr4ksvxg164eq4nys0kw473,1221633,56.015907
TRUE,,WHITE,Pur Sang Poully Fume' (Sauvignon) Didier Dagueneau,Pur Sang Poully Fume' (Sauvignon) Didier Dagueneau,,BOTTLE,2019,27000,,50,,Pur Sang,Didier Dagueneau (Louis-Benjamin Dagueneau),wine_01h4pmmh1bwcw6dwe1yxmpy21b,,43.866642
TRUE,,WHITE,Bourgogne Aligote' Reyane & Pascal Bouley,Bourgogne Aligote' Reyane & Pascal Bouley,,BOTTLE,2019,4900,,50,,Bourgogne Aligoté,Domaine Réyane et Pascal Bouley,wine_01h4pmmh1404n4y1mv00acyx3g,,42.141113
TRUE,,WHITE,Chardonnay Terres de Famille Domaine de la Vougeraie,Chardonnay Terres de Famille Domaine de la Vougeraie,,BOTTLE,2018,5700,,50,,Chardonnay Terres de Famille,Domaine de la Vougeraie,wine_01h0qzm2hsqakz4egw9tcf8x0m,,50.2457
TRUE,,WHITE,Bourgogne Chardonnay Pierre Labet,Bourgogne Chardonnay Pierre Labet,,BOTTLE,2019,9000,,50,,Bourgogne Chardonnay,Pierre Labet - François Labet,wine_01hawwcxb17qdnr5ksn0281hhb,,36.55587
TRUE,,WHITE,Berthet-Bondet Chateau Chalon,Berthet-Bondet Chateau Chalon,,BOTTLE,2014,18000,,50,,Château-Chalon,Berthet Bondet,wine_01h0my5sv32v9rj5recnhd4kmw,,53.929893
TRUE,,WHITE,Charlemagne Grand Cru Domaine de la Vougeraie,Charlemagne Grand Cru Domaine de la Vougeraie,,BOTTLE,2019,34000,,50,,Charlemagne Grand Cru,Domaine de la Vougeraie,wine_01hcw4dfx2fq0q1bqndj33pjy0,,42.14957
TRUE,,WHITE,Batard Montrachet Grand Cru Fontaine Gagnard,Batard Montrachet Grand Cru Fontaine Gagnard,,BOTTLE,2019,63000,,50,,Bâtard-Montrachet Grand Cru,Fontaine-Gagnard,wine_01h0my5shdn0bat5gvg2xpv6dt,,52.040108
TRUE,,WHITE,Chablis Premier Cru Vosgros Magnum Gilbert Picq,Chablis Premier Cru Vosgros Magnum Gilbert Picq,,MAGNUM,2020,19000,,50,,Chablis 1er Cru ''Vosgros'',Gilbert Picq,wine_01h0my5svejf4dhpv74t2nvxyj,,48.57184
TRUE,,WHITE,Meursault Charmes 1er Cru Magnum Domaine Jean Marie Bouzerau,Meursault Charmes 1er Cru Magnum Domaine Jean Marie Bouzerau,,MAGNUM,2014,35000,,50,,Meursault 1er Cru ''Charmes'',Domaine Jean-Marie Bouzereau,wine_01gzr4kswrzx2q5abyjx6qhw42,,49.438965
TRUE,,WHITE,Grüner Veltliner Federspiel Nikolaihof,Grüner Veltliner Federspiel Nikolaihof,,BOTTLE,2020,4500,,50,,Federspiel Grüner Veltliner,Nikolaihof,wine_01gzr4ksxr56zjma2e4tbw369d,,42.070213
TRUE,,WHITE,Riesling Federspiel Nikolaihof,Riesling Federspiel Nikolaihof,,BOTTLE,2020,5000,,50,,Federspiel Riesling,Nikolaihof,wine_01gzr4ksxrn0y668kcb0xg986w,,36.9364
TRUE,,WHITE,Riesling Vom Schiefer Ansgar Clusserath,Riesling Vom Schiefer Ansgar Clusserath,,BOTTLE,2017,3500,,50,,Vom Schiefer Riesling,Ansgar Clüsserath,wine_01gzr4ksyt7a93yk5xn74mzwrc,,56.110336
TRUE,,WHITE,Riesling Quarzit Peter Jacob Kühn,Riesling Quarzit Peter Jacob Kühn,,BOTTLE,2020,7400,,50,,Quarzit Riesling Trocken,Peter Jakob Kühn,wine_01gzr4ksygyhrddqgac50473fs,,49.962193
TRUE,,RED,Valpolicella “Ripasso” Palazzo della Torre Allegrini,Valpolicella “Ripasso” Palazzo della Torre Allegrini,,BOTTLE,2019,4400,,50,,Palazzo della Torre,Allegrini,wine_01h0my5sa02ad24d2x408hzb0v,,45.663532
TRUE,,RED,Valpolicella Ripassa Zenato,Valpolicella Ripassa Zenato,,BOTTLE,2019,4700,,50,,Ripassa Valpolicella Ripasso Superiore,Zenato,wine_01gzr4ksd1fnr67jf8jfan1y6x,1380075,36.898117
TRUE,,RED,Valpolicella “Ripasso” Secco Bertani Bertani,Valpolicella “Ripasso” Secco Bertani Bertani,,BOTTLE,2019,4500,,50,,Secco-Bertani Valpolicella Valpantena Ripasso,Bertani,wine_01h0my5sm2bb83jt7sv7xsnxqx,,74.89538
TRUE,,RED,Rosso Riserva (Merlot–Cabernet) Vignalta,Rosso Riserva (Merlot–Cabernet) Vignalta,,BOTTLE,2017,3900,,50,,Merlot Riserva,Vignalta,wine_01gzr4ksfk8epvyd1gtrgw5sqz,8682418,32.055676
TRUE,,RED,Merlot Colli Berici Dal Maso,Merlot Colli Berici Dal Maso,,BOTTLE,2020,4900,,50,,Casara Roveri Merlot Colli Berici,Dal Maso,wine_01gzr4kth0z0p3tw291dksfk34,,35.71855
TRUE,,RED,Agno Tinto (Sirah) Vignalta,Agno Tinto (Sirah) Vignalta,,BOTTLE,2016,4900,,50,,Agno Tinto,Vignalta,wine_01gzr4ksfkm7xpbh8v3xws3wwm,1108088,40.08058
TRUE,,RED,Venegazzù Capo di Stato (Cab. Sauv.–Cab F.–Merlot–Malbec) Loredan Gasparini,Venegazzù Capo di Stato (Cab. Sauv.–Cab F.–Merlot–Malbec) Loredan Gasparini,,BOTTLE,2017,10500,,50,,Capo di Stato,Loredan Gasparini,wine_01gzr4kt32adfgha7rj4d20qxn,,62.259983
TRUE,,RED,La Poja (Corvina Veronese) Allegrini,La Poja (Corvina Veronese) Allegrini,,BOTTLE,2017,16000,,50,,La Poja (Monovitigno Corvina Veronese),Allegrini,wine_01gzr4kt1k9nn59ds3pr5ma5en,,48.09075
TRUE,,RED,Amarone Costasera Masi,Amarone Costasera Masi,,BOTTLE,2018,11000,,50,,Costasera Amarone della Valpolicella Classico,Masi,wine_01gzr4ksd1hjdw9h6nhb6ar8vq,21929,28.63928
TRUE,,RED,Amarone Costasera Riserva Masi,Amarone Costasera Riserva Masi,,BOTTLE,2016,14500,,50,,Amarone della Valpolicella Classico Riserva Costasera,Masi,wine_01gzr4kt1x6ajfw8xnmfax6dmj,,30.237885
TRUE,,RED,"Amarone ""S. Urbano"" Speri","Amarone ""S. Urbano"" Speri",,BOTTLE,2017,9000,,50,,Vigneto Monte Sant''Urbano Amarone della Valpolicella Classico,Speri,wine_01h0my5rn7c83fxcdd6pzs6pst,,35.774208
TRUE,,RED,Amarone della Valpolicella Bertani,Amarone della Valpolicella Bertani,,BOTTLE,2012,26000,,50,,Amarone della Valpolicella,Bertani,wine_01h0my5smqjv1sbfwwyz6m6d4d,,40.42605
TRUE,,RED,Amarone della Valpolicella Fieramonte Allegrini,Amarone della Valpolicella Fieramonte Allegrini,,BOTTLE,2013,66000,,50,,Fieramonte Amarone della Valpolicella Riserva,Allegrini,wine_01h4pmmgbw6der283t6yhbyg9f,,48.686687
TRUE,,RED,Blauburgunder Meczan Hofstätter,Blauburgunder Meczan Hofstätter,,BOTTLE,2021,3800,,50,,Joseph Meczan Pinot Nero - Blauburgunder Alto Adige,J. Hofstätter,wine_01gzr4kskmqsygy5twfbkqscmt,9797,30.271011
TRUE,,RED,Blauburgunder Elena Walch,Blauburgunder Elena Walch,,BOTTLE,2022,4000,,50,,Pinot Nero (Blauburgunder) (Selezione),Elena Walch,wine_01gzr4kskrkbf2tqztzzwvke8m,1542388,41.926846
TRUE,,RED,Blauburgunder Gottardi,Blauburgunder Gottardi,,BOTTLE,2018,6000,,50,,Südtiroler Blauburgunder Mazzon,Weingut Gottardi,wine_01gzr4kse58hgt6bmzqhy84nyd,1438133,28.322636
