external_id,type,name_one,name_two,Stato,Zona,winery_name,vintage,size,price,cost,quantity,name,storage_area,info,internal_notes
3353211012216.0,SPARKLING,CHAMPAGNE,GRANDE RESERVE BRUT,FRANCIA,CHAMPAGNE,GOSSET,,BOTTLE,80,35.0,3.0,CHAMPAGNE GRANDE RESERVE BRUT,,,Purchase Price: 35.0
3049614176814.0,SPARKLING,CHAMPAGNE,LA GRAND DAME,FRANCIA,CHAMPAGNE,VEUVE CLICQUOT,2018.0,BOTTLE,250,120.0,1.0,CHAMPAGNE LA GRAND DAME,,,Purchase Price: 120.0
347275267252626.0,SPARKLING,CHAMPAGNE,LATITUDINE,FRANCIA,CHAMPAGNE,LARMANDIER-BERNIER,,BOTTLE,100,45.0,3.0,CHAMPAGNE LATITUDINE,,,Purchase Price: 45.0
97856467567567.0,SPARKLING,CHAMPAGNE,LES PARCELLES GRAN CRU EB,FRANCIA,CHAMAPAGNE,LEMESNIL,,BOTTLE,90,40.0,2.0,CHAMPAGNE LES PARCELLES GRAN CRU EB,,,Purchase Price: 40.0
8978654567.0,SPARKLING,CHAMPAGNE,LES PARCELLES GRAND CRU EB,FRANCIA,CHAMAPGNE,PIERRE PAILLARD,,BOTTLE,90,40.0,3.0,CHAMPAGNE LES PARCELLES GRAND CRU EB,,,Purchase Price: 40.0
778633638378.0,SPARKLING,CHAMPAGNE,LES TERRES FINE B\B PREMIER CRU EB,FRANCIA,CHAMPAGNE,DHONT-GRELLET,,BOTTLE,130,62.0,2.0,CHAMPAGNE LES TERRES FINE B\B PREMIER CRU EB,,,Purchase Price: 62.0
478794879489.0,SPARKLING,CHAMPAGNE,LES VIGNES DE VRIGNY,FRANCIA,CHAMPAGNE,EAGLY-OURIET,2018.0,BOTTLE,100,56.0,1.0,CHAMPAGNE LES VIGNES DE VRIGNY,,,Purchase Price: 56.0
980789656.0,SPARKLING,CHAMPAGNE,LONGITUTUDE 1CRU B\B,FRANCIA,CHAMPAGNE,LARMANDIER-BERNIER,,BOTTLE,100,54.0,6.0,CHAMPAGNE LONGITUTUDE 1CRU B\B,,,Purchase Price: 54.0
98765456.0,SPARKLING,CHAMPAGNE,PREMIER CRU BRUT,FRANCIA,CHAMPAGNE,AUBRY,,BOTTLE,70,25.0,1.0,CHAMPAGNE PREMIER CRU BRUT,,,Purchase Price: 25.0
3260923020128.0,SPARKLING,CHAMPAGNE,SIR WINSTON  CHURCHILL,FRANCIA,CHAMPAGNE,POL ROGER,2012.0,BOTTLE,300,140.0,1.0,CHAMPAGNE SIR WINSTON CHURCHILL,,,Purchase Price: 140.0
3052853075909.0,SPARKLING,CHAMPAGNE,SPECIAL CUVÈE,FRANCIA,CHAMPAGNE,BOLLINGER,,BOTTLE,90,42.0,3.0,CHAMPAGNE SPECIAL CUVÈE,,,Purchase Price: 42.0
2545224467.0,SPARKLING,CHAMPAGNE,VINTAGE 13 EB,FRANCIA,CHAMPAGNE,BILLECART-SALMON,2013.0,BOTTLE,120,60.0,1.0,CHAMPAGNE VINTAGE 13 EB,,,Purchase Price: 60.0
3114080501559.0,SPARKLING,CHAMPAGNE,VINTAGE 15,FRANCIA,CHAMPAGNE,LOUIS ROEDERER,2015.0,BOTTLE,120,65.0,6.0,CHAMPAGNE VINTAGE 15,,,Purchase Price: 65.0
,WHITE,CHARDONNAY,AUXEY-DURESSES 1CRU,FRANCIA,BORGOGNA,DOMAINE ROY,2019.0,BOTTLE,95,0.0,2.0,CHARDONNAY AUXEY-DURESSES 1CRU,,,Purchase Price: 0.0
754345365742.0,WHITE,CHARDONNAY,BOURGOGNE,FRANCIA,BORGOGNE,DUBREUIL-FONTAINE,2019.0,BOTTLE,55,18.0,2.0,CHARDONNAY BOURGOGNE,,,Purchase Price: 18.0
98646788.0,WHITE,CHARDONNAY,"CHASSAGNE-MONTRACET 1CRU ""MORGEOT""",FRANCIA,BORGOGNA,JEAN-CLAUDE RAMONET,2020.0,BOTTLE,400,0.0,1.0,"CHARDONNAY CHASSAGNE-MONTRACET 1CRU ""MORGEOT""",,,Purchase Price: 0.0
9.0879756756789e+17,WHITE,CHARDONNAY,CHASSAGNE-MONTRACET 1CRU LES CHENOVETTES,FRANCIA,BORGOGNA,PHILIPPE COLIN,2021.0,BOTTLE,140,0.0,1.0,CHARDONNAY CHASSAGNE-MONTRACET 1CRU LES CHENOVETTES,,,Purchase Price: 0.0
87675645.0,WHITE,CHARDONNAY,HAUTES-COTES DE NUITS,FRANCIA,BORGOGNA,GUY & YVAN DUFOULEUR,2019.0,BOTTLE,50,20.0,3.0,CHARDONNAY HAUTES-COTES DE NUITS,,,Purchase Price: 20.0
798695864756.0,WHITE,CHARDONNAY,"MERSAULT ""LES GRANDS CHARRONS""",FRANCIA,BORGOGNA,MICHEAL BOUZEREAU,2021.0,BOTTLE,125,0.0,1.0,"CHARDONNAY MERSAULT ""LES GRANDS CHARRONS""",,,Purchase Price: 0.0
97895546.0,WHITE,CHARDONNAY,"MERSAULT 1CRU ""BLAGNY""",FRANCIA,BORGOGNA,FAIVELEY,2020.0,BOTTLE,160,75.0,1.0,"CHARDONNAY MERSAULT 1CRU ""BLAGNY""",,,Purchase Price: 75.0
,WHITE,CHARDONNAY,PULIGNY-MONTRACET,FRANCIA,BORGOGNA,ETIENNE SAUZET,2020.0,BOTTLE,130,0.0,1.0,CHARDONNAY PULIGNY-MONTRACET,,,Purchase Price: 0.0
767465454323.0,WHITE,CHARDONNAY,"PULIGNY-MONTRACET 1CRU ""LA GARENNE""",FRANCIA,BORGOGNA,FAIVELEY,2019.0,BOTTLE,180,95.0,1.0,"CHARDONNAY PULIGNY-MONTRACET 1CRU ""LA GARENNE""",,,Purchase Price: 95.0
,WHITE,CHARDONNAY,PULIGNY-MONTRACET 1CRU LES FOLATIERES,FRANCIA,BORGOGNA,BACHELET-MONNOT,2021.0,BOTTLE,280,0.0,1.0,CHARDONNAY PULIGNY-MONTRACET 1CRU LES FOLATIERES,,,Purchase Price: 0.0
8032625754480.0,WHITE,CHARDONNAY,VIE DI ROMANS,FRIULI VENEZIA GIULIA,ISONZO,VIE DI ROMANS,2021.0,BOTTLE,45,18.8,6.0,CHARDONNAY VIE DI ROMANS,,,Purchase Price: 18.8
8053676061174.0,,DOLCE,ESSENZIA,TRENTINO-ALTO ADIGE,TRENTO,POJER E SANDRI,2019.0,BOTTLE,40,16.2,6.0,DOLCE ESSENZIA,,,Purchase Price: 16.2
879654.0,WHITE,FRIULANO,BIANCO DI MITJIA,FRIULI VENEZIA GIULIA,COLLIO,AZ AGR MITJIA SIRK,2022.0,BOTTLE,28,10.25,6.0,FRIULANO BIANCO DI MITJIA,,,Purchase Price: 10.25
,WHITE,FRIULANO,CÀ SAVORGNAN,FRIULI VENEZIA GIULIA,COLLIO,AZ AGR MITJIA SIRK,2021.0,BOTTLE,50,21.62,6.0,FRIULANO CÀ SAVORGNAN,,,Purchase Price: 21.62
897896546.0,WHITE,FRIULANO,FRIULANO,FRIULI VENEZIA GIULIA,COF,I CLIVI,2022.0,BOTTLE,28,10.0,36.0,FRIULANO FRIULANO,,,Purchase Price: 10.0
89078967546767.0,WHITE,FRIULANO,FRIULANO,FRIULI VENEZIA GIULIA,COF,RONCHI DI CIALLA,2022.0,BOTTLE,28,11.5,52.0,FRIULANO FRIULANO,,,Purchase Price: 11.5
587957569875957.0,WHITE,FRIULANO,FRIULANO,FRIULI VENEZIA GIULIA,COLLIO,BORGO DEL TIGLIO,2021.0,BOTTLE,45,20.9,12.0,FRIULANO FRIULANO,,,Purchase Price: 20.9
89789678566.0,WHITE,FRIULANO,FRIULANO,FRIULI VENEZIA GIULIA,COLLIO,DUE DEL MONTE,2020.0,BOTTLE,38,14.95,6.0,FRIULANO FRIULANO,,,Purchase Price: 14.95
,WHITE,FRIULANO,FRIULANO,FRIULI VENEZIA GIULIA,COLLIO,TERRE FAET,2021.0,BOTTLE,25,9.3,29.0,FRIULANO FRIULANO,,,Purchase Price: 9.3
