ok,external_id,type,name,winery_name,storage_area,size,vintage,price,info,quantity,internal_notes,matched_name,matched_winery_name,matched_id,matched_original_id,score
TRUE,98541234,RED,BAROLO VIGNA CAPPELLA S.STEFANO,ROCCHE DEI MANZONI,,BOTTLE,2009,120,,1,Purchase Price: 47.0,Vigna Cappella di S. Stefano Barolo Reserva,Rocche dei Manzoni,wine_01h0qsxnz6yarte5nwad64yxw2,,51.919216
FALSE,879678567543,WHITE,BIANCO BIANCO,BORGO DEL TIGLIO,,BOTTLE,2021,38,,4,Purchase Price: 12.9,Milleponche Bianco,Borgo del Tiglio,wine_01h0my5svsmnep6b0zvze9a23n,,41.011646
TRUE,,WHITE,BIANCO CAPO MARTINO,JERMAN,,BOTTLE,2021,75,,11,Purchase Price: 35.0,Capo Martino,Jermann,wine_01h0qzm233azrxfk7r0qgzgvjd,,39.37326
TRUE,4260085770441,WHITE,BIANCO CAPRICE,HOFFLIN,,BOTTLE,2021,28,,6,Purchase Price: 10.9,Caprice Weissweincuvée,Höfflin,wine_01gzr4ktgn8xc4cgeybf2paq7q,,31.772863
FALSE,,WHITE,BIANCO LALLA,AZ AGR VIGNA SAN GIORGIO,,BOTTLE,2022,28,,3,Purchase Price: 9.8,MIto 10 Il Bianco,Az. Agr. Lagaria,wine_01h0my5sgj6j2ze1az9mjrcjyf,,28.134132
TRUE,,WHITE,BIANCO MARENEVE,FEDERICO GRAZIANI,,BOTTLE,2021,0,,12,Purchase Price: 0.0,Mareneve,Federico Graziani,wine_01h0my5s9r4tar23j10s0vrw2p,,57.21488
TRUE,309786756453,WHITE,BIANCO MILLEUVE,BORGO DEL TIGLIO,,BOTTLE,2021,25,,60,Purchase Price: 8.0,Milleuve Venezia Giulia Bianco,Borgo del Tiglio,wine_01h0my5svs5q6ahr17efwejjha,,46.787327
FALSE,7896753424,WHITE,BIANCO SAN GIORGIO,AZ AGR VIGNA SAN GIORGIO,,BOTTLE,2020,50,,6,Purchase Price: 20.5,MIto 10 Il Bianco,Az. Agr. Lagaria,wine_01h0my5sgj6j2ze1az9mjrcjyf,,28.134132
TRUE,8030421004730,WHITE,BIANCO TERRE ALTE,LIVIO FELLUGA,,BOTTLE,2018,85,,2,Purchase Price: 35.0,Terre Alte,Livio Felluga,wine_01gzr4kskvxsct8qy4tzyt5p7v,15091,50.304077
FALSE,666677788,WHITE,BIANCO VIGNAI DELL ABBATE,VIGNAI DELL ABBATE,,BOTTLE,2005,55,,2,Purchase Price: 15.0,Bianco,Roberto Abbate,wine_01h0qsxn4k4pj7srdev0at3w3n,,24.37124
TRUE,24356768,WHITE,BIANCO VINTAGE TUNINA,JERMAN,,BOTTLE,2005,100,,1,Purchase Price: 25.0,Vintage Tunina,Jermann,wine_01h0qzm2337vfbvx938w74edx3,,40.352753
TRUE,8033324032374,WHITE,BIANCO VINTAGE TUNINA,JERMAN,,MAGNUM,2012,150,,1,Purchase Price: 55.0,Vintage Tunina,Jermann,wine_01h0qzm2337vfbvx938w74edx3,,40.352753
TRUE,8033324031377,WHITE,BIANCO VINTAGE TUNINA,JERMAN,,MAGNUM,2021,170,,1,Purchase Price: 85.0,Vintage Tunina,Jermann,wine_01h0qzm2337vfbvx938w74edx3,,40.352753
TRUE,8033324031421,WHITE,BIANCO WHERE DREAMS,JERMAN,,BOTTLE,2021,70,,6,Purchase Price: 33.0,Where Dreams have no end (W... Dreams...),Jermann,wine_01h0qzm233zwqe7p05923rhgpz,,39.05955
TRUE,8025493523173,RED,CABERNET FRANC CABERNET FRANC,RUSSIZ SUPERIORE,,BOTTLE,2021,33,,16,Purchase Price: 12.0,Cabernet Franc,Russiz Superiore,wine_01gzr4ksfwexgp2k36a037vt01,,60.35514
TRUE,87654657687965,SPARKLING,CHAMPAGNE BLANC DE BLANCS,MAURICE GRUMIER,,BOTTLE,,90,,6,Purchase Price: 37.0,Blanc de Blancs Champagne,Maurice Grumier,wine_01h4pmmgp8cy4bwc33je0vdf5w,,54.431988
TRUE,5678976228,SPARKLING,CHAMPAGNE BLANC DE BLANCS EB GRAN CRU,VAUVERSIN,,BOTTLE,,70,,12,Purchase Price: 32.0,Blanc de Blancs Brut Original Champagne Grand Cru ''Oger'',Vauversin,wine_01h4pmmghz5sfqjd8tty846nx3,,44.476505
TRUE,3760105450236,SPARKLING,CHAMPAGNE BLANC DE BLANCS GRAN CRU,LEGRAS & HAAS,,BOTTLE,,85,,1,Purchase Price: 39.0,Blanc de Blancs Brut Champagne Grand Cru ''Chouilly'',Legras & Haas,wine_01h0qsxn611wqtr00ysd7z8gv5,,49.733593
TRUE,1234567802022,SPARKLING,CHAMPAGNE BLANC DE BLANCS NATURE,LAHERTE FRERES,,BOTTLE,,95,,2,Purchase Price: 42.0,Blanc de Blancs Brut Nature Champagne,Laherte Freres,wine_01h0f3cmbrcanhpm4prr1pphzn,,53.606606
TRUE,3446281300038,SPARKLING,CHAMPAGNE BLANCS DE BLANC,PALMER & C,,BOTTLE,,80,,1,Purchase Price: 35.5,Blanc de Blancs Champagne,Palmer & Co.,wine_01gzr4ktsd8hgn0ttp91tvyxgm,,34.876633
FALSE,3418760000654,SPARKLING,CHAMPAGNE BRUT,DELAMOTTE,,BOTTLE,,75,,2,Purchase Price: 35.0,Sélectionné Pour Hiramatsu Brut Champagne,Delamotte,wine_01gzr4ks6dx1xqjerzkcn7s36y,7547671,34.74823
TRUE,3353210019711,SPARKLING,CHAMPAGNE BRUT EXCELLENCE,GOSSET,,BOTTLE,,75,,3,Purchase Price: 27.0,Brut Excellence Aÿ Champagne,Gosset,wine_01h0f3cmbndht09me9m3d2qesy,,39.292534
