external_id,type,name_one,name_two,Stato,Zona,winery_name,vintage,size,price,cost,quantity
2545224467,SPARKLING,CHAMPAGNE,VINTAGE 13 EB,FRANCIA,CHAMPAGNE,BILLECART-SALMON,2013,"0,75",120,60,1
3114080501559,SPARKLING,CHAMPAGNE,VINTAGE 15,FRANCIA,CHAMPAGNE,LOUIS ROEDERER,2015,"0,75",120,65,6
,WHITE,CHARDONNAY,AUXEY-DURESSES 1CRU,FRANCIA,BORGOGNA,DOMAINE ROY,2019,"0,75",95,0,2
754345365742,WHITE,CHARDONNAY,BOURGOGNE,FRANCIA,BORGOGNE,DUBREUIL-FONTAINE,2019,"0,75",55,18,2
98646788,WHITE,CHARDONNAY,"CHASSAGNE-MONTRACET 1CRU ""MORGEOT""",FRANCIA,BORGOGNA,JEAN-CLAUDE RAMONET,2020,"0,75",400,0,1
9.0879756756789E+017,WHITE,CHARDONNAY,CHASSAGNE-MONTRACET 1CRU LES CHENOVETTES,FRANCIA,BORGOGNA,PHILIPPE COLIN,2021,"0,75",140,0,1
87675645,WHITE,CHARDONNAY,HAUTES-COTES DE NUITS,FRANCIA,BORGOGNA,GUY & YVAN DUFOULEUR,2019,"0,75",50,20,3
798695864756,WHITE,CHARDONNAY,"MERSAULT ""LES GRANDS CHARRONS""",FRANCIA,BORGOGNA,MICHEAL BOUZEREAU,2021,"0,75",125,0,1
97895546,WHITE,CHARDONNAY,"MERSAULT 1CRU ""BLAGNY""",FRANCIA,BORGOGNA,FAIVELEY,2020,"0,75",160,75,1
,WHITE,CHARDONNAY,PULIGNY-MONTRACET,FRANCIA,BORGOGNA,ETIENNE SAUZET,2020,"0,75",130,0,1
767465454323,WHITE,CHARDONNAY,"PULIGNY-MONTRACET 1CRU ""LA GARENNE""",FRANCIA,BORGOGNA,FAIVELEY,2019,"0,75",180,95,1
,WHITE,CHARDONNAY,PULIGNY-MONTRACET 1CRU LES FOLATIERES,FRANCIA,BORGOGNA,BACHELET-MONNOT,2021,"0,75",280,0,1
8032625754480,WHITE,CHARDONNAY,VIE DI ROMANS,FRIULI VENEZIA GIULIA,ISONZO,VIE DI ROMANS,2021,"0,75",45,18.8,6
8053676061174,,DOLCE,ESSENZIA,TRENTINO-ALTO ADIGE,TRENTO,POJER E SANDRI,2019,"0,75",40,16.2,6
879654,WHITE,FRIULANO,BIANCO DI MITJIA,FRIULI VENEZIA GIULIA,COLLIO,AZ AGR MITJIA SIRK,2022,"0,75",28,10.25,6
,WHITE,FRIULANO,CÀ SAVORGNAN,FRIULI VENEZIA GIULIA,COLLIO,AZ AGR MITJIA SIRK,2021,"0,75",50,21.62,6
897896546,WHITE,FRIULANO,FRIULANO,FRIULI VENEZIA GIULIA,COF,I CLIVI,2022,"0,75",28,10,36
89078967546767,WHITE,FRIULANO,FRIULANO,FRIULI VENEZIA GIULIA,COF,RONCHI DI CIALLA,2022,"0,75",28,11.5,52
587957569875957,WHITE,FRIULANO,FRIULANO,FRIULI VENEZIA GIULIA,COLLIO,BORGO DEL TIGLIO,2021,"0,75",45,20.9,12
89789678566,WHITE,FRIULANO,FRIULANO,FRIULI VENEZIA GIULIA,COLLIO,DUE DEL MONTE,2020,"0,75",38,14.95,6
,WHITE,FRIULANO,FRIULANO,FRIULI VENEZIA GIULIA,COLLIO,TERRE FAET,2021,"0,75",25,9.3,29
8029710001116,WHITE,FRIULANO,NO NAME,FRIULI VENEZIA GIULIA,COF,LE VIGNE DI ZAMO,2021,"0,75",28,11.9,30
98089678567,WHITE,FRIULANO,RONCO DELLA CHIESA,FRIULI VENEZIA GIULIA,COLLIO,BORGO DEL TIGLIO,2021,"0,75",110,42,6
8054729320019,WHITE,FRIULANO,RONCO DELLE CIME,FRIULI VENEZIA GIULIA,COLLIO,VENICA,2022,"0,75",38,17,6
987545678,WHITE,FRIULANO,SAN LORENZO,FRIULI VENEZIA GIULIA,COLLIO,I CLIVI,2021,"0,75",28,9.9,12
9807867364,WHITE,FRIULANO,SUBISA23,FRIULI VENEZIA GIULIA,COLLIO,DUE DEL MONTE,2018,"0,75",45,19.95,6
8018099042186,,GATTINARA,GATTINARA,PIEMONTE,GATTINARA,CONTERNO\NERVI,2018,"0,75",80,30,1
8018099042193,,GATTINARA,GATTINARA,PIEMONTE,GATTINARA,CONTERNO\NERVI,2019,"0,75",90,35,5
8796756,,GATTINARA,GATTINARA,PIEMONTE,GATTINARA,TRAVAGLINI,,MG,45,19,5
8033406220309,,GATTINARA,TRE VIGNE,PIEMONTE,GATTINARA,TRAVAGLINI,2018,"0,75",75,24,3
8018099052185,,GATTINARA,VIGNA VALFERRANA,PIEMONTE,GATTINARA,CONTERNO\NERVI,2018,"0,75",155,70,6
8032625754749,,MALVASIA,DIS CUMIERIS,FRIULI VENEZIA GIULIA,ISONZO,VIE DI ROMANS,2021,"0,75",45,17.4,5
9807867,,MALVASIA,ITALO E BRUNO,FRIULI VENEZIA GIULIA,COLLIO,BORGO DEL TIGLIO,2021,"0,75",85,38,6
701197961739,,MALVASIA,MALVASIA,FRIULI VENEZIA GIULIA,CARSO,RUJ,2021,"0,75",25,7,10
,,MALVASIA,MALVASIA,FRIULI VENEZIA GIULIA,ISONZO,BORGO SAN DANIELE,2022,"0,75",30,11,32
8026849002052,,MALVASIA,MALVASIA,FRIULI VENEZIA GIULIA,ISONZO,TENUTA VILLANOVA,2021,"0,75",25,7,24
802684900052,,MALVASIA,MALVASIA,FRIULI VENEZIA GIULIA,ISONZO,TENUTA VILLANOVA,2021,"0,75",25,6.7,36
8030202000012,,MARZEMINO,MARZEMINO DI ISERA,TRENTO,TRENTO,DETARCZAL,2019,"0,75",28,9.5,6
8032625754893,,MERLOT,MAURUS,FRIULI VENEZIA GIULIA,ISONZO,VIE DI ROMANS,2019,MG,32,15.5,23
,,MERLOT,MERLOT,FRIULI VENEZIA GIULIA,COF,LE VIGNE DI ZAMO,2020,"0,75",28,10.4,8
89021478190071,,MERLOT,MERLOT,FRIULI VENEZIA GIULIA,COLLIO,PRIMOSIC,2019,"0,75",30,13.9,12
,,MERLOT,ROSSO DEL FAET,FRIULI VENEZIA GIULIA,COLLIO,TERRE  DEL FAET,2020,"0,75",28,10.5,11
8032665543945,,NASCETTA,NASCETTA,PIEMONTE,LANGHE,ETTORE GERMANO,2021,"0,75",28,12.9,6
879675645,,NEBBIOLO,ANGELIN,PIEMONTE,LANGHE,ANGELO NEGRO,2021,"0,75",28,9,48
8033254931075,,NEBBIOLO,BERNERDINA,PIEMONTE,LANGHE,CERETTO,2021,"0,75",38,14.5,12
8021507732609,WHITE,PINOT BIANCO,PINOT BIANCO,TRENTINO-ALTO ADIGE,ALTO-ADIGE,CANTINA TERLANO,2022,"0,75",28,8.6,94
,RED,PINOT NERO,ALOXE-CORTON,FRANCIA,BORGOGNA,DOMAINE ARNOUX,2018,"0,75",90,0,1
978675645364,RED,PINOT NERO,BOURGOGNE,FRANCIA,BOURGOGNE,BRUNO COLIN,2020,"0,75",80,38,4
888978876,RED,PINOT NERO,BOURGOGNE,FRANCIA,BOURGOGNE,DOMAINE PONSOT,2017,"0,75",85,40,1
,RED,PINOT NERO,BOURGOGNE COTE D'OR,FRANCIA,BORGOGNA,MARECHAL CATHERINE & CLAUDE,2020,"0,75",45,0,2
,RED,PINOT NERO,CORTON GRAN CRU LES COMBES,FRANCIA,BORGOGNA,DOMAINE GENOT-BOULANGER,2018,"0,75",135,0,2
,RED,PINOT NERO,COTES DE NUITS-JULIEN,FRANCIA,BORGOGNA,DOMAINE JULIEN,2019,"0,75",55,0,1
,RED,PINOT NERO,COTES DE NUITS-VILLAGE,FRANCIA,BORGOGNA,DOMAINE JULIEN,2020,"0,75",55,0,
908787535,RED,PINOT NERO,GEVREY-CHAMBERTIN,FRANCIA,BORGOGNA,DOMAINE SÈERAFIN,2021,"0,75",155,67,3
879745876879078,RED,PINOT NERO,GEVREY-CHAMBERTIN,FRANCIA,BORGOGNA,DOMAINE TRAPET ROCHELANDET,2016,"0,75",95,36.5,4
3760191285804,RED,PINOT NERO,GEVREY-CHAMBERTIN,FRANCIA,BORGOGNA,MAISON ROCHE DE BELLENE,2017,"0,75",140,0,1
,RED,PINOT NERO,HAUTES-COTES DE NUITS,FRANCIA,BORGOGNA,GUY & YVAN DUFOULEUR,2018,"0,75",50,20,2
8032625754824,RED,PINOT NERO,LONGORUCIS,FRIULI VENEZIA GIULIA,ISONZO,VIE DI ROMANS,2020,"0,75",40,15.5,6
9807967,RED,PINOT NERO,PIGENO,TRENTINO-ALTO ADIGE,ALTO ADIGE,STROBLOF,2020,"0,75",40,18.9,6
8004312227003,RED,PINOT NERO,PINOT NERO,ITALIA,ALTO ADIGE,ST MICHAEL-EPPAN,2022,"0,75",28,10.2,67
8004312257000,RED,PINOT NERO,RISERVA,TRENTINO-ALTO ADIGE,ALTO ADIGE,ST MICHAEL-EPPAN,2020,"0,75",38,15,6
988746356758758,RED,PINOT NERO,VOLANY LES COBES,FRANCIA,BORGOGNA,DOMAINE MAILLARD PÈRE & FILS,2017,"0,75",90,41,1
,RED,PINOT NERO,VOLNAY-RONCERET 1CRU,FRANCIA,BORGOGNA,DOMAINE GENOT-BOULANGER,2019,"0,75",115,0,
87654320,RED,PINOT NERO,VOSNE-ROMANE,FRANCIA,BORGOGNA,LOUIS-LATOUR,2016,"0,75",160,68,1
,RED,PINOT NERO,VOSNE-ROMANÈE,FRANCIA,BORGOGNA,DOMAINE CONFURON-CONTEDINOT,2018,"0,75",200,0,1
,RED,PINOT NERO,VOUGEOT PREMIER CRU,FRANCIA,BORGOGNA,DOMAINE BERTAGNA,2018,"0,75",1,0,1
8030588101907,RED,REFOSCO,REFOSCO,FRIULI VENEZIA GIULIA,COF,LA RONCAIA,2017,"0,75",33,15,29
879774567,RED,REFOSCO,REFOSCO DAL PEDUNCOLO ROSSO,FRIULI VENEZIA GIULIA,CIALLA,RONCHI DI CIALLA,2090,"0,75",180,90,2
8021478220020,WHITE,RIBOLLA GIALLA,RIBOLLA GIALLA,FRIULI VENEZIA GIULIA,COLLIO,PRIMOSIC,2022,"0,75",25,10,36
8054956800155,WHITE,RIESLING,LO SPAVALDO,PIEMONTE,OLTREPO PAVESE,FINIGETO,2020,"0,75",28,13.2,6
8053676061501,WHITE,RIESLING,RIESLING,TRENTINO-ALTO ADIGE,TRENTO,POJER E SANDRI,2022,"0,75",28,11,6
435637876,WHITE,RIESLING,TROCKEN,GERMANIA,MOSELLA,THANISCH,2022,"0,75",33,12.9,6
