type,name,size,vintage,winery,qty,purchase_price_eur,sales_price_eur
RED,Lagrein Riserva Taber – MAG,MAGNUM,2020,Bozen,5, 66.50 € ,146
RED,Lagrein Greif,,2023,Kornell,110, 10.10 € ,33
RED,Lagrein Greif Mag,MAGNUM,2022,,6, 24.90 € ,66
RED,Lagrein Greif 3L,JEROBOAM,2022,,, 64.20 € ,132
RED,Lagrein Riserva,,2022,Waldgries,26, 18.20 € ,48
RED,Lagrein Riserva Abtei,,2018,Muri Gries,13, 24.50 € ,61
RED,Lagrein Riserva Abtei – Magnum,MAGNUM,2021,Muri Gries,4, 48.90 € ,122
RED,,,,,,,
RED,Blauburgunder ,,2022,Castel Sallegg,44, 11.40 € ,35
RED,Blauburgunder Riserva,,2019,Niedrist,15, 28.90 € ,66
RED,Blauburguner Ris Mag,MAGNUM,2020,Niedrist,5, 62.20 € ,132
RED,,,2019,,1,,
RED,Blauburg. Mason de Mason - biodyn,,2020,Manincor,12, 56.00 € ,108
RED,Blauburg. Mason de Mason - biodyn,,2016,,2,,108
RED,Blauburg. Ris. Praepositus,,2019,Neustift,11, 25.80 € ,63
RED,Blauburg. Ris. Praepositus,,2018,,4,,63
RED,Blauburg. Ris. Praepositus - Magnum,MAGNUM,2019,Neustift,2, 51.40 € ,126
RED,Blauburg. Ris Trattmann,,2017,Girlan,12, 29.70 € ,72
RED,Blauburg. Ris Trattmann – Magnum,MAGNUM,2013,Girlan,1, 62.90 € ,144
RED,"Blauburg. Ris. ""Vigna Ganger""",,2018,Girlan,1, 80.00 € ,163
RED,"Blauburg. Ris. ""Vigna Ganger""",,2019,Girlan,3, 80.00 € ,161
RED,Blauburg. Ris. „Vigna Ganger“ MAG,MAGNUM,2018,Girlan,1, 160.00 € ,315
RED,"Blauburg. Ris. ""Vigna Ganger"" MAG",MAGNUM,2019,,2,,315
RED,Blauburg. Riserva Fallwind,,2021,St.Michael Eppan,10, 16.30 € ,46
RED,Blauburgunder Hausmannhof - bio,,2020,Haderburg,7, 22.50 € ,57
