Bestellung,Weinkarte Pos.,Klassifizierung,Jahrgang,Name,Hersteller,Gebiet,Lieferant,Ek-Preis,Aufschlag,MwSt.,VK-Preis kalk.,VK-Preise berechnet neu,VK-Preise Weinkarte ab 14.06.2020,Önothekenpreis,, Preis Glas ,Lager Start,Zugang/arrivi2023,Abgang,Lager,,W52,W01,W02,W03,W04,W05,W06,W07,W08,W09,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23/24,W25,W26,W27,W28,W29,W30,W31,W32,W33,W34,W35,W36,W37,W38,W39,W40,W41,W42,W43,W44,W45,W46,W47,W48,W52 u W01,,W02,W03,W04,W05,W06,W07,W08
,316,italienische Weine,2011,Teroldego Beatome,Redondel,Trentino,Akos, 25.60 € , 30.00 € , 5.56 € , 61.16 € , 61.00 € , 65.00 € , 51.53 € ,4.00 €, € 10.83 ,17,8,6,19 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,1,,,,,,,,,,,,,
,316,italienische Weine,2000,San Leonardo,San Leonardo,Trentino,Karner, 74.50 € , 60.00 € , 13.45 € , 147.95 € , 148.00 € , 148.00 € , 149.97 € ,0.00 €, € 24.67 ,5,,2,3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,1,,,,,,,,,
,317,italienische Weine,2018,Erminio cabernet Franc,Grigolli Bruno,Trentino,FW, 25.00 € , 30.00 € , 5.50 € , 60.50 € , 61.00 € , 62.00 € , 50.33 € ,1.00 €, € 10.33 ,16,12,15,13 ,,2,,,,,1,,1,,,,,,,,,,,,,,,3,1,,,1,,,,,,,,,,4,,1,,,,,,,,,,,1,,,,,,,
,318,italienische Weine,2019,Granato,Foradori Elisabetta,Trentino,WD, 42.02 € , 40.00 € , 8.20 € , 90.22 € , 90.00 € , 92.00 € , 84.59 € ,2.00 €, € 15.33 ,6,,1,5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
,319,italienische Weine,2020,Sassirossi,Masut de Rive,Friaul,Cuzziol, 9.00 € , 25.00 € , 3.40 € , 37.40 € , 37.00 € , 36.00 € , 18.12 € ,-1.00 €, € 6.00 ,13,,3,10 ,,,,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
,320,italienische Weine,2016,Amarone Vigneto Ravazoll,Cà la Bionda,Veneto,FW, 38.00 € , 30.00 € , 6.80 € , 74.80 € , 75.00 € , 71.00 € , 76.49 € ,-4.00 €, € 11.83 ,8,,2,6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,
,321,italienische Weine,2007,Amarone ,Bertani,Veneto,Karner, 77.30 € , 60.00 € , 13.73 € , 151.03 € , 151.00 € , 149.00 € , 155.60 € ,-2.00 €, € 24.83 ,1,,0,1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,322,italienische Weine,2020,Valpolicella Classico Superiore,Cà la Bionda,Veneto,FW, 15.30 € , 25.00 € , 4.03 € , 44.33 € , 44.00 € , 45.00 € , 30.80 € ,1.00 €, € 7.50 ,4,6,4,6 ,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
,324,italienische Weine,2019,Lorenzo - Verdichio dei Castelli di Jesi,Tenuta di Fra  ,Marken,Daniel, 12.21 € , 25.00 € , 3.72 € , 40.93 € , 41.00 € , 39.00 € , 24.58 € ,-2.00 €, € 6.50 ,7,2,2,7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,
,325,italienische Weine,2019,Lacrima di Morro d´Alba,Tenuta di Fra  ,Marken,Daniel, 19.26 € , 30.00 € , 4.93 € , 54.19 € , 54.00 € , 54.00 € , 38.77 € ,0.00 €, € 9.00 ,8,4,0,12 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,326,italienische Weine,2019,Cuvee ,Tenuta di Fra  ,Marken,Daniel, 15.80 € , 30.00 € , 4.58 € , 50.38 € , 50.00 € , 49.00 € , 31.81 € ,-1.00 €, € 8.17 ,4,,1,3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
,327,italienische Weine,2020,Primo Ballo- Verdicchio die castelli die Jesi,Tenuta di Fra  ,Marken,Daniel, 8.20 € , 25.00 € , 3.32 € , 36.52 € , 37.00 € , 37.00 € , 16.51 € ,0.00 €, € 6.17 ,9,,3,6 ,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,
,328,italienische Weine,2021,Dolcetto d'Alba,Conterno Fantino,Piemonte,karner, 8.98 € , 25.00 € , 3.40 € , 37.38 € , 37.00 € , 37.00 € , 18.08 € ,0.00 €, € 6.17 ,8,6,5,9 ,,,,,,,,,,,,,1,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
,329,italienische Weine,2015,Quatr nas,Rocche die manzoni,Piemonte,Karner, 27.90 € , 30.00 € , 5.79 € , 63.69 € , 64.00 € , 64.00 € , 56.16 € ,0.00 €, € 10.67 ,8,12,11,9 ,,,,,1,,,,,1,,,,,,,,,,,,1,1,,,1,,,,,,1,1,,,,,1,,,1,,,,,,,,,,2,1,,,,,,
,330,italienische Weine,2016,Nebbiolo d'Alba V. sibi et paucis,Sandrone Luciano,Piemonte,FW, 25.50 € , 30.00 € , 5.55 € , 61.05 € , 61.00 € , 61.00 € , 51.33 € ,0.00 €, € 10.17 ,8,6,7,7 ,,1,,,1,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,2,,,,,,,
,331,italienische Weine,2019,Nebbiolo d'Alba Valmaggiore ,Sandrone Luciano,Piemonte,FW, 17.00 € , 30.00 € , 4.70 € , 51.70 € , 52.00 € , 51.00 € , 34.22 € ,-1.00 €, € 8.50 ,5,,2,3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,
,332,italienische Weine,2018,Nebbiolo Langhe, San Biagio,Piemonte,WS, 11.80 € , 25.00 € , 3.68 € , 40.48 € , 40.00 € , 40.00 € , 23.75 € ,0.00 €, € 6.67 ,5,18,15,8 ,,,,,,,,,,,2,,,,,,,,,,,,,,,1,,,,,2,1,2,,,,,1,1,,,,,,,,,,,,5,,,,,,,
,333,italienische Weine,2014,Barolo Vigna Sori Ginestra,Conterno Fantino,Piemonte,karner, 48.50 € , 50.00 € , 9.85 € , 108.35 € , 108.00 € , 108.00 € , 97.63 € ,0.00 €, € 18.00 ,3,5,1,7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
,334,italienische Weine,2014,Barolo Vigna Pressenda,Conterno Fantino,Piemonte,karner, 36.00 € , 35.00 € , 7.10 € , 78.10 € , 78.00 € , 84.00 € , 72.47 € ,6.00 €, € 14.00 ,0,,0,0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,335,italienische Weine,2014,Barolo Vigna del Gris,Conterno Fantino,Piemonte,karner, 48.45 € , 40.00 € , 8.85 € , 97.30 € , 97.00 € , 99.00 € , 97.53 € ,2.00 €, € 16.50 ,3,,0,3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,336,italienische Weine,2012,Barolo Vigna del Gris,Conterno Fantino,Piemonte,karner, 55.00 € , 50.00 € , 10.50 € , 115.50 € , 116.00 € , 120.00 € , 110.72 € ,4.00 €, € 20.00 ,3,,0,3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,337,italienische Weine,2018,Barolo Le Vigne,Sandrone Luciano,Piemonte,FW, 51.00 € , 50.00 € , 10.10 € , 111.10 € , 111.00 € , 124.00 € , 102.66 € ,13.00 €, € 20.67 ,,3,0,3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,338,italienische Weine,2014,Barolo Le Vigne,Sandrone Luciano,Piemonte,FW, 51.00 € , 50.00 € , 10.10 € , 111.10 € , 111.00 € , 125.00 € , 102.66 € ,14.00 €, € 20.83 ,4,,0,4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fertig,339,italienische Weine,2013,Barolo Le Vigne,Sandrone Luciano,Piemonte,FW, 51.00 € , 50.00 € , 10.10 € , 111.10 € , 111.00 € , 126.00 € , 102.66 € ,15.00 €, € 21.00 ,2,,2,0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,
,340,italienische Weine,2009,Barolo Le Vigne,Sandrone Luciano,Piemonte,FW, 88.50 € , 70.00 € , 15.85 € , 174.35 € , 174.00 € , 174.00 € , 178.15 € ,0.00 €, € 29.00 ,3,,0,3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,341,italienische Weine,2016,Barolo Le Vigne,Sandrone Luciano,Piemonte,FW, 51.00 € , 50.00 € , 10.10 € , 111.10 € , 111.00 € , 280.00 € , 102.66 € ,169.00 €, € 46.67 ,1,,0,1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,342,italienische Weine,2012,Barolo Le Vigne s.e.p.,Sandrone Luciano,Piemonte,FW, 75.00 € , 70.00 € , 14.50 € , 159.50 € , 160.00 € , 160.00 € , 150.98 € ,0.00 €, € 26.67 ,2,,0,2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,343,italienische Weine,2011,Barolo Le Vigne s.e.p.,Sandrone Luciano,Piemonte,FW, 75.00 € , 70.00 € , 14.50 € , 159.50 € , 160.00 € , 161.00 € , 150.98 € ,1.00 €, € 26.83 ,1,,0,1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
