Bestellung,Weinkarte Pos.,Klassifizierung,Jahrgang,Name,Hersteller,Gebiet,Lieferant,Ek-Preis,Aufschlag,MwSt.,VK-Preis kalk.,VK-Preise berechnet neu,VK-Preise Weinkarte ab 14.06.2020,Önothekenpreis,, Preis Glas ,Lager Start,Zugang/arrivi2023,Abgang,Lager,,W52,W01,W02,W03,W04,W05,W06,W07,W08,W09,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23/24,W25,W26,W27,W28,W29,W30,W31,W32,W33,W34,W35,W36,W37,W38,W39,W40,W41,W42,W43,W44,W45,W46,W47,W48,W52 u W01,,W02,W03,W04,W05,W06,W07,W08
,Inventar Wein,Abgänge ,,,,,,,,Aufschlag bis 15 Euro,25,,,1.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Aufschlag über 15 Euro,30,,,,, € 6.00 ,,,,,,Abgänge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,Passito,2018,Le Petit,Weingut Manincor,Überetsch,WD, 37.40 € , 35.00 € , 7.24 € , 79.64 € , 80.00 € , 80.00 € , 75.29 € ,0.00 €, € 13.33 ,3,7,4,6 ,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,
,2,Passito,2017,"Gewürztraminer Passito ""Cresta""",Weingut Hans Rottensteiner,Bozen,WD, 20.90 € , 30.00 € , 5.09 € , 55.99 € , 56.00 € , 57.00 € , 42.07 € ,1.00 €, € 9.50 ,3,6,0,9 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,Passito,2020,Rosenmuskateller Rosis,Kellerei Bozen,Bozen,FW, 18.00 € , 30.00 € , 4.80 € , 52.80 € , 53.00 € , 53.00 € , 36.23 € ,0.00 €, € 8.83 ,4,6,1,9 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
,4,Passito,2017,Sweet Claire ,Weingut Lieselehof,Überetsch,Liesele, 39.90 € , 30.00 € , 6.99 € , 76.89 € , 77.00 € , 77.00 € , 80.32 € ,0.00 €, € 12.83 ,3,3,1,5 ,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,Passito,2015,Sweet Claire Quintessenz,Weingut Lieselehof,Überetsch,Liesele, 94.73 € , 70.00 € , 16.47 € , 181.20 € , 181.00 € , 199.00 € , 190.69 € ,18.00 €, € 33.17 ,2,,0,2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,Passito,"19,07","Merlino 19,07",Pojer & Sandri,Trentino,FW, 19.85 € , 30.00 € , 4.99 € , 54.84 € , 55.00 € , 55.00 € , 39.96 € ,0.00 €, € 9.17 ,1,7,2,6 ,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
,7,Passito,2019,Moscato D´Asti Santo Stefano,Ceretto,Piemonte,FW, 10.20 € , 25.00 € , 3.52 € , 38.72 € , 39.00 € , 39.00 € , 20.53 € ,0.00 €, € 6.50 ,6,18,6,18 ,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,1,1,,,,,,1,1,,,,,,,,,,,,
,8,Passito,2020,Ben Rye Passito di Pantelleria,Donnafugata,Sicilia,WD, 24.90 € , 30.00 € , 5.49 € , 60.39 € , 60.00 € , 66.00 € , 50.12 € ,6.00 €, € 11.00 ,4,3,3,4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,
,9,Passito,0,Kracher Beerenauslese Non vintage,Kracher,Österreich,WD, 15.90 € , 30.00 € , 4.59 € , 50.49 € , 50.00 € , 49.00 € , 32.01 € ,-1.00 €, € 8.17 ,2,,0,2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10,Schaumweine,2021,Palladius Pfösl Prosecco Millesimato  (inkl. Etikett) ,Palladius,Veneto,FW, 5.50 € , 15.00 € , 2.05 € , 22.55 € , 23.00 € , 25.00 € , 11.07 € ,2.00 €, € 4.17 ,390,1056,870,576 ,,310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,560,,,,,,,,,,,,,,,,,,,,,
,11,Schaumweine,,Valdobbiadene Superiore,Canella,Veneto,ob, 7.86 € , 20.00 € , 2.79 € , 30.65 € , 31.00 € , 29.00 € , 15.82 € ,-2.00 €, € 4.83 ,,76,0,76 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11,Schaumweine,2017,Lieselehof Brut - Bio I SG,Weingut Lieselehof,Südtirol,Liesele, 34.50 € , 30.00 € , 6.45 € , 70.95 € , 71.00 € , 75.00 € , 69.45 € ,4.00 €, € 12.50 ,4,6,4,6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,2,,,,,,,,1,1,,,,,,
,12,Schaumweine,,Arunda Cuvée Marianne Extra Brut I PN,Arunda,Südtirol,FW, 20.00 € , 30.00 € , 5.00 € , 55.00 € , 55.00 € , 53.00 € , 40.26 € ,-2.00 €, € 8.83 ,10,,7,3 ,,,2,,,,,,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13,Schaumweine,,"Arunda Rosè Brut I PB, PN",Arunda,Südtirol,WD, 20.00 € , 30.00 € , 5.00 € , 55.00 € , 55.00 € , 55.00 € , 40.26 € ,0.00 €, € 9.17 ,8,72,58,22 ,,2,1,,1,,,1,,,,,,,,,,,,,3,,1,2,2,2,5,,,2,3,9,,4,,3,5,3,2,,2,1,,2,3,2,,,2,,,,,,,,,
,14,Schaumweine,,"Arunda 0,375 Brut sekt (minibar)",Arunda,Südtirol,WD, 8.60 € , 20.00 € , 2.86 € , 31.46 € , 31.00 € , 29.00 € , 17.31 € ,-2.00 €, € 4.83 ,4,3,2,5 ,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14.4,Schaumweine,2017,Brut Nature,Stocker,Südtirol,WD, 24.00 € , 30.00 € , 5.40 € , 59.40 € , 59.00 € , 59.00 € , 48.31 € ,0.00 €, € 9.83 ,,9,0,9 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15,Schaumweine,,"Miau, Methodo Ancestrale",Pranzegg,Südtirol,WD, 12.17 € , 25.00 € , 3.72 € , 40.89 € , 41.00 € , 40.00 € , 24.50 € ,-1.00 €, € 6.67 ,,3,1,2 ,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,16,Schaumweine,2016,Kettmeir Riserva Extra Brut 1919,Kettmeir,Südtirol,WD, 36.80 € , 30.00 € , 6.68 € , 73.48 € , 73.00 € , 73.00 € , 74.08 € ,0.00 €, € 12.17 ,6,12,14,4 ,,2,,,1,,,1,,1,,1,,,,,,,,,1,,,3,,,,,,,2,,,,,,,,,1,,,,,,1,,,,,1,,,,,,,
,17,Schaumweine,,Haderburg brut,haderburg,Salurn,WD, 18.90 € , 30.00 € , 4.89 € , 53.79 € , 54.00 € , 51.00 € , 38.05 € ,-3.00 €, € 8.50 ,16,36,38,14 ,,4,5,,2,6,2,2,1,2,3,2,,,,,,,,,1,,,,2,1,2,,,,,,,,,,,,,1,,,1,,,1,1,,,,1,,,,,,,
,18,Schaumweine,2017,Blanc de Blanc 600 Pas Dose,Kellerei Kurtatsch,Kurtatsch,FW, 23.00 € , 30.00 € , 5.30 € , 58.30 € , 58.00 € , 58.00 € , 46.30 € ,0.00 €, € 9.67 ,0,24,8,16 ,,,,,,,,,,,,,,,,,,,,,,1,,1,,,2,,,,1,1,,,1,,,,,,,,,,,1,,,,,1,1,,,,,,
,19,Schaumweine,,Quirinus Brut,Weingut St. Quirinus,Südtirol,WD, 19.90 € , 30.00 € , 4.99 € , 54.89 € , 55.00 € , 55.00 € , 40.06 € ,0.00 €, € 9.17 ,6,6,4,8 ,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,1,,,,,,,,,,,,,
,19,Schaumweine,,Nature Trento DOC,Corvée,Trient,Akos, 14.90 € , 25.00 € , 3.99 € , 43.89 € , 44.00 € , 44.00 € , 29.99 € ,0.00 €, € 7.33 ,,144,61,83 ,,,,,,,,,,,,,,,,,,,,,1,3,,2,2,1,3,1,1,2,9,4,1,3,3,1,1,4,1,,2,,,1,4,4,2,1,3,,11,5,,,,,,
,20,Schaumweine,2017,Brut Perlè - Ferrari I CH,Ferrari,Trient,O, 34.46 € , 30.00 € , 6.45 € , 70.91 € , 71.00 € , 71.00 € , 69.37 € ,0.00 €, € 11.83 ,9,6,8,7 ,,,,,,,1,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,1,,,1,,,,,,,,,,,,1,,,,,,,
,21,Schaumweine,2015,Riserva Lunelli  - Ferrari,Ferrari,Trient,Karner, 51.23 € , 40.00 € , 9.12 € , 100.35 € , 100.00 € , 99.00 € , 103.13 € ,-1.00 €, € 16.50 ,3,3,2,4 ,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,22,Schaumweine,2014,Blauwal Riserva ,Cesconi,Trient,WD, 33.90 € , 30.00 € , 6.39 € , 70.29 € , 70.00 € , 70.00 € , 68.24 € ,0.00 €, € 11.67 ,8,9,9,8 ,,3,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,1,1,,1,,,,1,,,1,,,,1,,,,,,
,23,Schaumweine,2009,"Ferrari Riserva (2007 -79,00€)",Giulio Ferrari,Trient,Karner, 135.00 € , 90.00 € , 22.50 € , 247.50 € , 248.00 € , 248.00 € , 271.76 € ,0.00 €, € 41.33 ,1,3,2,2 ,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Fertig,24,Schaumweine,2009,Ferrari Riserva 2009 Magnum,Giulio Ferrari,Trient,WD, 210.00 € , 190.00 € , 40.00 € , 440.00 € , 440.00 € , 450.00 € , 422.73 € ,10.00 €, € 75.00 ,1,,0,1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
,25,Schaumweine,,Franciacorta Nature Blanc de Blanc,Cavalleri,Lombardei,O, 23.56 € , 30.00 € , 5.36 € , 58.92 € , 59.00 € , 59.00 € , 47.43 € ,0.00 €, € 9.83 ,8,5,9,4 ,,,1,,,1,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,2,,,,,,,
,26,Schaumweine,,Farfalla Collection noir,Ballabio,Lombardei,WD, 18.70 € , 30.00 € , 4.87 € , 53.57 € , 54.00 € , 55.00 € , 37.64 € ,1.00 €, € 9.17 ,9,6,10,5 ,,,,,,,,1,1,,,,,,,,,,,,,5,,,,,,,,,1,,,,,,1,,,,,,,,,,,1,,,,,,,,,,
,27,Schaumweine,,Barbalonga Saten,Barbalonga,Lombardei,WD, 16.50 € , 25.00 € , 4.15 € , 45.65 € , 46.00 € , 46.00 € , 33.21 € ,0.00 €, € 7.67 ,12,12,14,10 ,,,,1,1,,,1,,,,,,,,,,,,,,,,,1,,,,,,1,,,,1,1,4,,,,,1,2,,,4,,,,,,,,,,,,
,28,Schaumweine,,Cuvee 60 Blanc de blancs,Casa Caterina,Lombardei,WD, 21.90 € , 30.00 € , 5.19 € , 57.09 € , 57.00 € , 57.00 € , 44.08 € ,0.00 €, € 9.50 ,4,,0,4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,29,Schaumweine,,Bellavista Alma Gran Cuvee Brut,Bellavista,Lombardei,WD, 23.66 € , 30.00 € , 5.37 € , 59.03 € , 59.00 € , 59.00 € , 47.63 € ,0.00 €, € 9.83 ,6,,5,1 ,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,1,,,1,,,,,,,,,,,,,,,,
,30,Schaumweine,,Rose ,Contadi Castaldi,Lombardei,O, 17.19 € , 30.00 € , 4.72 € , 51.91 € , 46.00 € , 52.00 € , 34.60 € ,6.00 €, € 8.67 ,0,60,47,13 ,,5,2,1,2,10,5,5,4,1,4,1,,,,,,,,,,,1,,,,,,,,,,2,,,2,,,,1,,,,,1,1,,,,,1,,,,,,,
,33,Schaumweine,,A Lorenzo 180 Millesimato 2°Edizione DOC,L. Bellani,Lombardei,Karner, 26.00 € , 30.00 € , 5.60 € , 61.60 € , 62.00 € , 62.00 € , 52.34 € ,0.00 €, € 10.33 ,,12,5,7 ,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,
,34,Schaumweine,,"Champagner Premier Cru - Guy Larmandier I CH, PN",Guy Larmandier,Frankreich,FW, 25.50 € , 30.00 € , 5.55 € , 61.05 € , 61.00 € , 61.00 € , 51.33 € ,0.00 €, € 10.17 ,3,2,0,5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,35,Schaumweine,,"Champagne rose  majeur Ayala I CH, PN, PM",Ayala,Frankreich,WS, 48.50 € , 40.00 € , 8.85 € , 97.35 € , 97.00 € , 97.00 € , 97.63 € ,0.00 €, € 16.17 ,4,,1,3 ,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,36,Schaumweine,,Champagner Brut Rose,Billecart Salmon,Frankreich,WS, 63.50 € , 50.00 € , 11.35 € , 124.85 € , 125.00 € , 127.00 € , 127.83 € ,2.00 €, € 21.17 ,3,,1,2 ,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,37,Schaumweine,,"Champagne Ruinart Brut I PN, CH, PM",Ruinart,Frankreich,O, 56.25 € , 40.00 € , 9.63 € , 105.88 € , 106.00 € , 106.00 € , 113.23 € ,0.00 €, € 17.67 ,4,3,5,2 ,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,
,39,Schaumweine,,Coup de Coer Extra Brut,Monmarthe,Frankreich,Cuzziol, 34.80 € , 30.00 € , 6.48 € , 71.28 € , 71.00 € , 72.00 € , 70.05 € ,1.00 €, € 12.00 ,7,6,2,11 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
,40,Schaumweine,2013,Champagne Cristal,Louis Roederer,Frankreich,WD, 199.00 € , 100.00 € , 29.90 € , 328.90 € , 329.00 € , 368.00 € , 400.59 € ,39.00 €, € 61.33 ,2,,0,2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,41,Schaumweine,2009,Champagne Dom Ruinart Blanc de Blanc,Ruinart,Frankreich,WD, 189.00 € , 100.00 € , 28.90 € , 317.90 € , 318.00 € , 320.00 € , 380.46 € ,2.00 €, € 53.33 ,2,,0,2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,42,Schaumweine,2011,Champagne Coutier,Coutier,Frankreich,Michl, 39.15 € , 40.00 € , 7.92 € , 87.07 € , 87.00 € , 87.00 € , 78.81 € ,0.00 €, € 14.50 ,7,2,2,7 ,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,44,Schaumweine,,"Champagne 1er Cru Tradtion I PN, CH, PM",Gosset-Brabant,Frankreich,Karner, 31.20 € , 30.00 € , 6.12 € , 67.32 € , 67.00 € , 67.00 € , 62.81 € ,0.00 €, € 11.17 ,6,6,4,8 ,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,
,45,Schaumweine,,"Champagne Carte Blanche 1er Cru I PN, CH, PM",L. Bénard-Pituois,Frankreich,Karner, 23.40 € , 30.00 € , 5.34 € , 58.74 € , 59.00 € , 56.00 € , 47.10 € ,-3.00 €, € 9.33 ,8,2,7,3 ,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,,,1,,,,,,,,,,,,1,,,,,,,
,46,Schaumweine,,Champagne Origin.al I PN,Henri Dosnon,Frankreich,Karner, 32.00 € , 30.00 € , 6.20 € , 68.20 € , 68.00 € , 68.00 € , 64.42 € ,0.00 €, € 11.33 ,6,,2,4 ,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,47,Schaumweine,,"Champagne Memoire Extra Brut I PN, PM, CH",Huré Frères,Frankreich,Karner, 62.00 € , 60.00 € , 12.20 € , 134.20 € , 134.00 € , 132.00 € , 124.81 € ,-2.00 €, € 22.00 ,5,,0,5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,48,Schaumweine,,Champagne  Tradition,Michel Laval,Frankreich,WD, 26.90 € , 30.00 € , 5.69 € , 62.59 € , 63.00 € , 63.00 € , 54.15 € ,0.00 €, € 10.50 ,,18,0,18 ,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,8,,,,,,,
,49,Schaumweine,,Champagne Legras Haas Extra Brut Chouilly grand cru,Legras Haas,Frankreich,WD, 42.00 € , 40.00 € , 8.20 € , 90.20 € , 90.00 € , 89.00 € , 84.55 € ,-1.00 €, € 14.83 ,8,3,5,6 ,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,1,,,,,,,,,,,,
,50,Schaumweine,2018,Cremant de Loire non dosè / CB,Chateau Pierre-Bise,Frankreich,WD, 18.00 € , 30.00 € , 4.80 € , 52.80 € , 53.00 € , 53.00 € , 36.23 € ,0.00 €, € 8.83 ,3,3,3,3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,1,,,,,,,
,51,Schaumweine,,Premiere Cuvee Extra brut,Bruno Paillard,Frankreich,Cuzziol, 41.50 € , 40.00 € , 8.15 € , 89.65 € , 90.00 € , 92.00 € , 83.54 € ,2.00 €, € 15.33 ,4,13,9,8 ,,1,,1,,1,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,1,,,,,,,,,,,,1,,,,2,,,,,,,
,52,Schaumweine,,Premiere Cuvee Rose Extra brut,Bruno Paillard,Frankreich,Cuzziol, 48.90 € , 45.00 € , 9.39 € , 103.29 € , 98.00 € , 98.00 € , 98.44 € ,0.00 €, € 16.33 ,7,,5,2 ,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,3,,,,,,,
,53,Schaumweine,2012,Assemblage Millesime,Bruno Paillard,Frankreich,Cuzziol, 63.00 € , 50.00 € , 11.30 € , 124.30 € , 125.00 € , 127.00 € , 126.82 € ,2.00 €, € 21.17 ,3,,1,2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
,54,Schaumweine,,Kalkspitz,Christoph Hoch,Austria,Cuzziol, 10.50 € , 25.00 € , 3.55 € , 39.05 € , 39.00 € , 39.00 € , 21.14 € ,0.00 €, € 6.50 ,15,,5,10 ,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,
,54.5,Schaumweine,,Zero Infinito,Pojer & Sandri,Trentino,FW, 13.00 € , 25.00 € , 3.80 € , 41.80 € , 42.00 € , 40.00 € , 26.17 € ,-2.00 €, € 6.67 ,,54,34,20 ,,,,,,,,,,,,,,,,,,,,,8,2,1,4,4,,5,,,1,1,3,,,2,,,1,,,,,,1,1,2,,1,,,,,,,,,,
,54.6,Schaumweine,,Marsili Rosato,Tenuta di castellare,Sicilia,Akos, 13.90 € , 25.00 € , 3.89 € , 42.79 € , 43.00 € , 43.00 € , 27.98 € ,0.00 €, € 7.17 ,,12,5,7 ,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,
,55,Schaumweine,,L´Incantatrice,Cantina Lunae,Ligurien,Akos, 10.70 € , 25.00 € , 3.57 € , 39.27 € , 39.00 € , 40.00 € , 21.54 € ,1.00 €, € 6.67 ,26,,15,11 ,,4,,,,,1,,,1,,,,,,,,,,,,,,6,,,,2,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,
,56,Schaumweine,,Pure and Naked,Weingut am Stein,Deutschland,WD, 18.60 € , 25.00 € , 4.36 € , 47.96 € , 48.00 € , 48.00 € , 37.44 € ,0.00 €, € 8.00 ,8,6,5,9 ,,,,,1,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
,56.4,Schaumweine,,Brut Reserve ,Bründelmayer,Österreich,Akos, 22.95 € , 30.00 € , 5.30 € , 58.25 € , 58.00 € , 58.00 € , 46.20 € ,0.00 €, € 9.67 ,,10,7,3 ,,,,,1,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,
,57,Schaumweine,2008,Fantasie der Schieferterassen,Heymann-Löwenstein,Deutschland,Cuzziol, 48.00 € , 40.00 € , 8.80 € , 96.80 € , 97.00 € , 97.00 € , 96.62 € ,0.00 €, € 16.17 ,4,,2,2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
,58,Weißburgunder,2021,Weissburgunder Sirmian,Kellerei Nals Margreid,Unterland,FW, 17.00 € , 25.00 € , 4.20 € , 46.20 € , 46.00 € , 42.00 € , 34.22 € ,-4.00 €, € 7.00 ,31,276,226,81 ,,9,4,6,5,6,9,3,5,6,8,3,4,,,,,,,,2,5,8,9,13,9,3,7,1,3,6,7,4,5,,10,8,6,9,2,4,1,7,10,13,7,5,4,8,,7,2,,,,,,
,58,Weißburgunder,2022,Weissburgunder ,Romen,Unterland,Romen, 10.00 € , 25.00 € , 3.50 € , 38.50 € , 39.00 € , 40.00 € , 20.13 € ,1.00 €, € 6.67 ,30,,12,18 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,4,,,,,,
,59,Weißburgunder,2015,Weißburgunder Tecum (Magnum),Weingut Castelfeder,Unterland,Castelfeder, 33.00 € , 35.00 € , 6.80 € , 74.80 € , 75.00 € , 79.00 € , 66.43 € ,4.00 €, € 13.17 ,1,1,1,1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
,60,Weißburgunder,2020,Weissburgunder Vorberg Riserva,Kellerei Terlan ,Terlan,O, 20.00 € , 30.00 € , 5.00 € , 55.00 € , 55.00 € , 55.00 € , 40.26 € ,0.00 €, € 9.17 ,9,26,19,16 ,,1,1,,1,1,,1,2,2,,2,,,,,,,,,,1,,,,2,,,,,1,,,,,,,,,,,,1,,,,,,1,,2,,,,,,,
,60.5,Weißburgunder,2016,Weissburgunder Vorberg Magnum,Kellerei Terlan ,Terlan,Karner, 49.85 € , 50.00 € , 9.99 € , 109.84 € , 110.00 € , 120.00 € , 100.35 € ,10.00 €, € 20.00 ,,4,0,4 ,,1,1,,1,1,,1,2,2,,2,,,,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61,Weißburgunder,2007,Weissburgunder Rarity,Kellerei Terlan ,Terlan,Karner, 86.85 € , 70.00 € , 15.69 € , 172.54 € , 173.00 € , 169.00 € , 174.83 € ,-4.00 €, € 28.17 ,1,,0,1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61.2,Weißburgunder,2010,Weissburgunder Rarity,Kellerei Terlan ,Terlan,OBK, 107.50 € , 90.00 € , 19.75 € , 217.25 € , 217.00 € , 217.00 € , 216.40 € ,0.00 €, € 36.17 ,,2,1,1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
,62,Weißburgunder,2019,Weißburgunder Riserva St. Sebastian,Schloss Englar,Überetsch,FW, 14.95 € , 25.00 € , 4.00 € , 43.95 € , 44.00 € , 44.00 € , 30.09 € ,0.00 €, € 7.33 ,8,45,50,3 ,,2,,,,1,1,,,,1,1,1,,,,,,,,1,,,3,5,5,4,,1,,,,4,3,,5,,2,,,,2,1,2,,1,3,,3,,2,1,,,,,,
,63,Weißburgunder,2019,Weißburgunder ,Weingut Wassererhof,Eisacktal,O, 11.80 € , 25.00 € , 3.68 € , 40.48 € , 40.00 € , 39.00 € , 23.75 € ,-1.00 €, € 6.50 ,8,54,43,19 ,,3,,,4,1,9,,1,1,,2,1,,,,,,,,1,,,2,,3,2,,,,4,3,,,,1,,2,3,,,,,,1,,,,,,,1,,,,,,
,64,Weißburgunder,2019,Weißburgunder Art,Weingut Abraham,Überetsch,WD, 31.00 € , 30.00 € , 6.10 € , 67.10 € , 67.00 € , 90.00 € , 62.40 € ,23.00 €, € 15.00 ,6,,7,-1 ,,,,,,,,1,,1,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,1,1,,,,,,1,,,,,1,,,,,,,
,65,Weißburgunder,2019,Weißburgunder Renaissance,Gumphof,Überetsch,WD, 26.50 € , 30.00 € , 5.65 € , 62.15 € , 62.00 € , 62.00 € , 53.34 € ,0.00 €, € 10.33 ,12,2,13,1 ,,1,,,,,1,,,,,,3,,,,,,,,,1,,2,,,,,,,,,,1,,1,2,,1,,,,,,,,,,,,,,,,,,,
,67,Weißburgunder,2018,Weißburgunder muschelkalk magnum,Abraham,Eppan,WD, 39.00 € , 35.00 € , 7.40 € , 81.40 € , 81.00 € , 79.00 € , 78.51 € ,-2.00 €, € 13.17 ,1,,5,-4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,1,,,,,,
,68,Weißburgunder,2020,Weißburgunder Muschelkalk,Abraham,Eppan,WD, 16.90 € , 30.00 € , 4.69 € , 51.59 € , 52.00 € , 52.00 € , 34.02 € ,0.00 €, € 8.67 ,2,60,50,12 ,,,1,,,1,,,,,1,,,,,,,,,,,,,1,7,2,,1,,3,1,1,2,3,2,1,3,1,4,,2,2,7,1,1,1,1,,2,,1,,,,,,,
,69,Weißburgunder,2020,Weißburgunder Amphora,Weingut Hochklaus,Unterland,Hochklaus, 22.10 € , 30.00 € , 5.21 € , 57.31 € , 57.00 € , 54.00 € , 44.49 € ,-3.00 €, € 9.00 ,1,12,6,7 ,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,3,,,,,,,1,,,,,,1,,,,,,,
