external_id,size,name,winery_name,vintage,supplier,purchase_price,price,retail_price,glass_price,quantity
103,BOTTLE,Sylvaner Alte Rebe,Weingut Pacherhof,2019,Karner, 20.59 € , 56.00 € , 41.45 € , € 9.33 ,8
104,BOTTLE,Sylvaner Praepositus,Stiftskellerei Neustift,2019,Neustift, 14.10 € , 42.00 € , 28.38 € , € 7.00 ,5
105,BOTTLE,Sylvaner,Weingut Thomas Dorfmann,2019,Akos, 14.38 € , 42.00 € , 28.95 € , € 7.00 ,21
106,BOTTLE,Sylvaner Hautnah,Weingut Garlider,2016,WD, 24.60 € , 61.00 € , 49.52 € , € 10.17 ,5
107.2,BOTTLE,Silvaner,Daniel Sigmund,2021,Lebewein, 13.90 € , 43.00 € , 27.98 € , € 7.17 ,6
107.3,BOTTLE,Sylvaner,Zöhlhof,2021,Lebewein, 13.70 € , 43.00 € , 27.58 € , € 7.17 ,5
107.4,BOTTLE,Einstein Sylvaner,Zöhlhof,2021,Lebewein, 25.00 € , 61.00 € , 50.33 € , € 10.17 ,3
107.4,BOTTLE,Riesling,Daniel Sigmund,2022,Lebewein, 15.90 € , 49.00 € , 32.01 € , € 8.17 ,6
108,BOTTLE,Riesling,Weingut Falkenstein,2021,FW, 13.50 € , 45.00 € , 27.18 € , € 7.50 ,15
109,BOTTLE,Riesling private reserve (reserviert),Weingut Falkenstein,2015,FW, 15.45 € , 55.00 € , 35.00 € , € 9.17 ,0
110,BOTTLE,Riesling Anadûron,Weingut Falkenstein,2018,FW, 28.40 € , 62.00 € , 35.00 € , € 10.33 ,15
111,BOTTLE,Riesling Windbichl,castel Juval,2020,WD, 26.90 € , 70.00 € , 54.15 € , € 11.67 ,9
113,BOTTLE,Riesling Lehengut,Weingut Lehengut,2021,Karner, 12.00 € , 40.00 € , 24.16 € , € 6.67 ,21
114,BOTTLE,Riesling Dorfmann,Weingut Thomas Dorfmann,2020,O, 14.38 € , 41.00 € , 28.95 € , € 6.83 ,7
115,BOTTLE,Riesling Praepositus,Stiftskellerei Neustift,2017,Neustift, 15.50 € , 49.00 € , 31.20 € , € 8.17 ,2
