ok,external_id,type,name,winery_name,area,size,vintage,price,info,quantity,internal_notes,matched_name,matched_winery_name,matched_id,matched_original_id,score,,
TRUE,,SPARKLING,TRADITION BRUT GRAND CRU,FERNAND THILL,1-3,BOTTLE,,100,,,,Brut Tradition Champagne Grand Cru ''Verzy'',Fernand Thill,wine_01h0qzm13n2rpb94tf49fqyvvb,,42.69653,,
TRUE,,SPARKLING,RELIANCE BRUT NATURE,FRANCK PASCAL,,BOTTLE,,130,,,,Réliance Brut Nature Champagne,Franck Pascal,wine_01h4pmmgjt4pp0mw1pmr0w3vcq,,46.37748,,
TRUE,,SPARKLING,TOLERANCE BRUT ROSE’,FRANCK PASCAL,,BOTTLE,,150,,,,Tolerance Rosé Brut Champagne,Franck Pascal,wine_01h4pmmffpy1q3kn67905py5zb,,48.34542,,
TRUE,,SPARKLING,FLUENCE BRUT NATURE,FRANCK PASCAL,1-1,BOTTLE,,150,,,,Fluence Brut Nature Champagne,Franck Pascal,wine_01h4pmmgk04zbjrsjxcgnrgcqv,,48.589043,,
TRUE,,SPARKLING,HARMONIE BLANC DE NOIRS,FRANCK PASCAL,1-1,BOTTLE,2012,160,,,,Harmonie Blanc de Noirs Extra Brut Champagne,Franck Pascal,wine_01h4pmmfcybwt5g6v1gz2xkk67,,44.025646,,
TRUE,,SPARKLING,PACIFIANCE BRUT NATURE METODO SOLERA,FRANCK PASCAL,1-1,BOTTLE,,290,Metodo solera,,,Pacifiance Brut Nature Champagne,Franck Pascal,wine_01h4pmmgk1pemxa551nafsmenn,,50.43327,,
TRUE,,SPARKLING,QUINTE ESSENCE EXTRA BRUT,FRANCK PASCAL,1-1,BOTTLE,2013,160,,,,Quinte Essence Extra Brut Champagne,Franck Pascal,wine_01h4pmmfcx5fa8rsb1f0k2n037,,51.36908,,
TRUE,,SPARKLING,QUINTE ESSENCE EXTRA BRUT MILLESIMATO,FRANCK PASCAL,3-1,BOTTLE,2010,230,,,,Quinte Essence Extra Brut Champagne,Franck Pascal,wine_01h4pmmfcx5fa8rsb1f0k2n037,,51.36908,,
TRUE,,SPARKLING,L'ACCOMPLIE PREMIER CRU EXTRA BRUT,FREDERIC SAVART,,BOTTLE,,180,,,,L''Accomplie Brut Champagne Premier Cru,Savart,wine_01h4pmmgg9ks96abtw86yvrrkx,,42.51653,,
TRUE,,SPARKLING,OUVERTURE EXTRA BRUT PREMIER CRU,FREDERIC SAVART,,BOTTLE,,180,,,,L''Ouverture Extra Brut Champagne Premier Cru,Savart,wine_01h4pmmgkh5w9qarvcftc8ybx8,,45.32273,,
