"winery","name","vintage","internal_notes_1",,"internal_notes_2","info","price"
"Wittmann","RR MORSTEIN GG - MAGNUM",2023,"1,50 x 3 / S",13.00%,"trocken",,€ 155.00
"Wittmann","RR WESTHOFENER 1G",2022,"0,75 x 6 / S",13.00%,"trocken",,"€ 30,50*"
"Wittmann","RR AULERDE GG",2022,"0,75 x 6 / S",12.50%,"trocken",,"€ 56,00*"
"Wittmann","RR KIRCHSPIEL GG",2022,"0,75 x 6 / S",12.50%,"trocken",,"€ 67,00* "
"Wittmann","RR BRUNNENHÄUSCHEN GG",2022,"0,75 x 6 / S",12.50%,"trocken",,"€ 77,00*"
"Wittmann","RR BRUNNENHÄUSCHEN GG",2021,"0,75 x 6 / S",13.00%,"trocken","Limitato","€ 79,00*"
"Wittmann","RR WESTHOFENER 1G - MAGNUM",2022,"1,50 x 3 / S",13.00%,"trocken",,"€ 60,00*"
"Wittmann","RR WESTHOFENER 1G - MAGNUM",2021,"1,50 x 3 / S",13.00%,"trocken",,"€ 62,00*"
"Wittmann","RR KIRCHSPIEL GG - MAGNUM",2022,"1,50 x 3 / S",12.50%,"trocken","Limitato",€ 125.00
"Wittmann","RR KIRCHSPIEL GG - MAGNUM",2017,"1,50 x 3 / S",13.00%,"trocken","Limitato","€ 130,00*"
"Wittmann","RR KIRCHSPIEL GG - MAGNUM",2016,"1,50 x 3 / S",13.00%,"trocken","Limitato","€ 135,00*"
"Wittmann","RR MORSTEIN GG - MAGNUM",2022,"1,50 x 3 / S",13.00%,"trocken","Limitato","€ 143,00*"
"Peter Jakob Kühn","RR SPUMANTE BRUT - 36 mesi",2020,"0,75 x 6 / S",12.50%,"/",,€ 22.90
"Peter Jakob Kühn","RR JAKOBUS",2023,"0,75 x 6 / St",11.50%,"trocken",,€ 14.90
"Peter Jakob Kühn","RR JAKOBUS - MAGNUM",2023,"1,50 x 3 / S",12.00%,"trocken",,€ 38.50
"Peter Jakob Kühn","RR QUARZIT",2023,"0,75 x 6 / S",11.50%,"trocken",,€ 19.90
"Peter Jakob Kühn","RR QUARZIT - MAGNUM",2023,"1,50 x 3 / S",12.00%,"trocken",,€ 48.50
"Peter Jakob Kühn","RR HENDELBERG 1G",2022,"0,75 x 6 / S",12.00%,"trocken",,€ 38.50
"Peter Jakob Kühn","RR ST. NIKOLAUS GG",2022,"0,75 x 6 / S",12.00%,"trocken",,€ 60.00
"Peter Jakob Kühn","RR DOOSBERG GG",2022,"0,75 x 6 / S",12.00%,"trocken",,€ 58.00
"Peter Jakob Kühn","RR DOOSBERG GG - MAGNUM",2021,"1,50 x 3 / S",12.00%,"trocken",,€ 125.00
"Peter Jakob Kühn","RR LANDGEFLECHT",2020,"0,75 x 6 / S",12.50%,"trocken",,€ 105.00
"Peter Jakob Kühn","RR LANDGEFLECHT",2018,"0,75 x 6 / S",12.50%,"trocken",,€ 105.00
"Peter Jakob Kühn","RR SCHLEHDORN",2021,"0,75 x 6 / S",12.50%,"trocken","Limitato","€ 118,00*"
"Peter Jakob Kühn","RR LENCHEN AUSLESE",2018,"0,375x 6 / S",7.00%,"125 g/l",,€ 35.90
"Peter Jakob Kühn","RR LENCHEN BEERENAUSLESE",2018,"0,375x 6 / S",7.00%,"235 g/l","Limitato",€ 79.90
"Peter Jakob Kühn","RR LENCHEN TROCKENBEERENAUSLESE",2018,"0,375x 6 / S",7.00%,"310 g/l","Limitato",€ 164.90
"Schäfer-Fröhlich","RR VULKANGESTEIN",2022,"0,75 x 6 / S",12.50%,"trocken",,"€ 22,50*  "
"Schäfer-Fröhlich","RR SCHIEFERGESTEIN",2022,"0,75 x 6 / S",12.50%,"trocken",,"€ 26,50*"
"Schäfer-Fröhlich","RR SCHIEFERGESTEIN",2021,"0,75 x 6 / S",12.50%,"trocken",,"€ 26,50*"
"Schäfer-Fröhlich","RR SCHIEFERGESTEIN",2020,"0,75 x 6 / S",12.50%,"trocken",,"€ 27,50*"
"Schäfer-Fröhlich","RR FELSENBERG GG",2022,"0,75 x 6 / S",13.00%,"trocken",,"€ 60,00* "
"Schäfer-Fröhlich","RR FELSENBERG GG",2021,"0,75 x 6 / S",13.00%,"trocken",,"€ 60,00*"
"Schäfer-Fröhlich","RR FELSENBERG GG",2020,"0,75 x 6 / S",13.00%,"trocken",,"€ 62,00*"
"Schäfer-Fröhlich","RR STROMBERG GG",2022,"0,75 x 6 / S",12.50%,"trocken",,"€ 64,00* "
"Schäfer-Fröhlich","RR STROMBERG GG",2020,"0,75 x 6 / S",12.50%,"trocken",,"€ 65,00*"
"Schäfer-Fröhlich","RR STROMBERG GG",2018,"0,75 x 6 / S",12.50%,"trocken","Limitato","€ 68,00*"
"Schäfer-Fröhlich","RR STROMBERG GG",2017,"0,75 x 6 / S",12.50%,"trocken",,"€ 70,00*"
"Schäfer-Fröhlich","RR HALENBERG GG",2022,"0,75 x 6 / S",13.00%,"trocken","Limitato","€ 64,00* "
"Schäfer-Fröhlich","RR HALENBERG GG",2020,"0,75 x 6 / S",13.00%,"trocken",,"€ 64,00*"
"Schäfer-Fröhlich","RR FELSENECK GG",2022,"0,75 x 6 / S",13.00%,"trocken",,"€ 70,00* "
"Schäfer-Fröhlich","RR FELSENECK GG",2020,"0,75 x 6 / S",13.00%,"trocken",,"€ 72,00*"
"Schäfer-Fröhlich","RR FELSENECK GG",2017,"0,75 x 6 / S",13.00%,"trocken","Limitato","€ 75,00*"
"Schäfer-Fröhlich","RR FINAL",2022,"0,75 x 1 / S",13.00%,"trocken","Limitato","€ 525,00*"
"Schäfer-Fröhlich","RR FINAL",2021,"0,75 x 1 / S",13.00%,"trocken","Limitato","€ 555,00*"
"Clemens Busch","RR TROCKEN",2024,"0,75 x 6 / S",10.50%,"trocken","dal 09/06",€ 11.90
"Clemens Busch","RR (ALTER)NATIV macerato",2022,"0,75 x 6 / S",11.50%,"trocken",,€ 17.90
"Clemens Busch","RR VOM GRAUEN SCHIEFER",2023,"0,75 x 6 / S",11.50%,"trocken",,€ 16.50
