name,winery,vintage,size,qty,purchase_price,internal_notes,internal_notes_2
MONT SANCERRE MAGNUM ,ALOPHONSE MELLOT,2002,MAGNUM,1,80,80,
NUITS SAINT GEORGES 1CRU,DOMAINE PRIEURE ROCH (etichetta piuma),2005,BOTTLE,2,,,
POMMARD GRANDS EPENOTS,DOMAINE PRIEURE ROCH (etichetta piuma),2002,BOTTLE,3,50,50,
ECHEZEAUX GRAND CRU,DOMAINE DES PERDRIX (BORGOGNA) (etichetta uccello),2006,BOTTLE,3,250,250,
NUITS SAINT GEORGES 1CRU,DOMAINE DES PERDRIX (BORGOGNA) (etichetta uccello),2006,BOTTLE,1,150,150,
CHAMBOLLE MUSIGNY,DOMAINE DI GIOIA ROYER (Village),2009,BOTTLE,1,70,70,
CHOREY LES BEAUNE,DOMINIQUE LAURENT,2005,BOTTLE,10,40,40,
CHATEAUNEUF DU PAPE,DOMAINE DE VILLENEUVE (VELIER),2001,BOTTLE,3,60,60,
VOSNE ROMANEE,FAIVELEY (SAGNA),2005,BOTTLE,2,90,90,
LA GUIRAUDE CROZES HERMITAGE,ALAIN GRAILLOT,2005,BOTTLE,1,,,
VOSNE ROMANEE ,ALAIN HUDELOT NOELLAT (CERETTO),2005,BOTTLE,1,100,100,
VOSNE ROMANEE 1CRU  LES SUCHOTS,ALAIN HUDELOT NOELLAT (CERETTO),2006,BOTTLE,3,180,180,
CLOS DE VOUGEOT GRAND CRU,ALAIN HUDELOT NOELLAT (CERETTO),2006,BOTTLE,3,250,250,
HERMITAGE,DOMAINE DES MARTINELLES (CERETTO),2005,BOTTLE,3,150,150,
ALOXE CORTON,DOMAINE TOLLOT BEAUT,2007,BOTTLE,2,,60 (da vendere),
CORNAS ,DOMAINE CLAPE (CERETTO),2005,BOTTLE,3,80,80,
CHAMBOLLE MUSIGNY 1CRU,PHILIPPE PACALET,2010,BOTTLE,6,250,200/250,
VOLNAY LES CHAMPANS 1CRU,DOMANE DE MONTILLE (gran produttore),2000,BOTTLE,2,200,200,
VOLNAY LES CHAMPANS 1CRU,DOMANE DE MONTILLE (gran produttore),2001,BOTTLE,1,180,150/180,
POMMARD GRANDS EPENOTS 1CRU,DOMANE DE MONTILLE (gran produttore),2001,BOTTLE,1,180,150/180,
GEVREY CHAMBERTIN,CLAUDE DU GAT (vale il produttore) ,2005,BOTTLE,2,150,150,
GEVREY CHAMBERTIN VIEILES VIGNES,DOMAINE DENIS MORTET,2007,BOTTLE,2,100,100,
GEVREY CHAMBERTIN VIEILES VIGNES,DOMAINE DENIS MORTET,2006,BOTTLE,2,90,80/90,
GEVREY CHAMBERTIN,DOMAINE DENIS MORTET,2007,BOTTLE,1,90,80/90,
CLOS DE VOUGEOT GRAND CRU,DOMAINE DENIS MORTET,2007,BOTTLE,1,250,250,
SAINT ESTEPHE,CHATEAU HAUT BEAUSEJOUR (SAGNA),2009,BOTTLE,4,42,42 (è longevo),
VOSNE ROMANEE 1CRU LES CHAUMES,DOMAINE GROS (gran produttore) FRERE ET SOEUR,2006,BOTTLE,2,200,200,
ECHEZEAUX GRAND CRU,DOMAINE GROS (gran produttore) FRERE ET SOEUR,2006,BOTTLE,1,65,"350 da vendere, l ho pagata 65",
RICHEBOURG GRAND CRU ,DOMAINE GROS (gran produttore) FRERE ET SOEUR,2007,BOTTLE,2,450,450,
RICHEBOURG GRAND CRU ,DOMAINE GROS (gran produttore) FRERE ET SOEUR,2006,BOTTLE,1,100,400,
RICHEBOURG GRAND CRU ,DOMAINE JEAN GRIVOT,2004,BOTTLE,2,,,
CHAMBERTIN GRAND CRU,DOMAINE TRAPES,2006,BOTTLE,2,,,
LATRICIERES CHAMBERTIN GRAND CRU ,DOMAINE TRAPES,2006,BOTTLE,2,,,
GEVREY CHAMBERTIN 1CRU,DOMAINE TRAPES,2006,BOTTLE,2,,,
POMEROL,CHATEAU GAZIN (grandi marche francesi),2019,BOTTLE,2,102,Pagata io 102€,
