ok,type,name,winery_name,area,size,vintage,price,info,internal_notes,matched_name,matched_winery_name,matched_id,matched_original_id,score
FALSE,WHITE,DYDIME MALVASIA I.G.T. SALINA,TASCA D'ALMERITA,SOPRA FRIGO 1,BOTTLE,2022,45,,,Malvasia de Sitges,Dasca Vives,wine_01gzr4ksshxbcwvmac5kmkpdpy,4580739,21.34848
FALSE,WHITE,ACAPELLA PINOT BIANCO,TENUTA KLOSTERHOF,SCAFFALE,BOTTLE,,35,,,Pinot Bianco,Tenuta Maccan,wine_01h0r2ppgd5fbavv6xpszw3p7b,,18.557467
TRUE,WHITE,GEWÜRZTRAMINER D.O.C.,TENUTA ROTTENSTEINER,FRIGO MESCITA,BOTTLE,2022,30,,,Gewürztraminer,Rottensteiner,wine_01h0my5t3c0pk4gj7er1z662qe,,33.383255
FALSE,WHITE,CASTELLI DI JESI CLASSICO SUPERIORE D.O.C.,VIGNAMATO,3,BOTTLE,2021,30,,,Versiano Verdicchio dei Castelli di Jesi Classico Superiore,Vignamato,wine_01gzr4ksfmn73vk3r9mnssm5cg,1378946,41.480434
TRUE,WHITE,DERTHONA Tappo a Vite,VIGNETI MASSA,3-3,BOTTLE,2021,40,Tappo a vite,,Derthona,Vigneti Massa,wine_01gzr4kspzmnx7513yw6j9qar7,1226596,43.442253
TRUE,WHITE,LES ROMAINS SANCERRE BLANC VIELLES VIGNES,ALPHONSE MELLOT,,BOTTLE,2021,150,,,Les Romains Sancerre Blanc,Alphonse Mellot,wine_01gzr4ksvxnh8xhg570q5rnhqf,1368608,51.561382
TRUE,WHITE,SANCERRE LA MOUSSIÉRE,ALPHONSE MELLOT,3-2,BOTTLE,2021,85,,,La Moussière Sancerre Blanc,Alphonse Mellot,wine_01gzr4ksvx93s3v3b1w60ymx2k,1672202,52.31321
TRUE,WHITE,RIESLING FORST,BASSERMAN JORDAM,3-2,BOTTLE,2020,50,,,Forst Riesling Trocken,Dr. Von Bassermann-Jordan,wine_01h4pmmgzshse3tna6qbp42cbq,,34.6089
TRUE,WHITE,SAUVIGNON BLANC,BISHOP'S LEAP,FRIGO MESCITA,BOTTLE,2021,35,,,Sauvignon Blanc,Bishop's Leap,wine_01h0my5sr7nx4q1h2vx0anhyqx,,47.830524
FALSE,WHITE,CHABLIS GRAND CRU,BLANCHO,,BOTTLE,2020,150,,,Chablis Grand Cru ''Blanchot'',Domaine de Maison Blanche,wine_01h4pmmh055akbssvye9b4022f,,23.104568
FALSE,WHITE,CASTELNAUDE SUDUIRAUT SAUTERNES,CHATEAU SUDUIRAUT,3-2,BOTTLE,2016,60,,,S de Suduiraut,Château Suduiraut,wine_01gzr4ktwd4wpq3hg03jsx7vtb,,41.13685
