external_id,type,name_1,name_2,name_3,internal_notes,vintage,info,bottle_price,magnum_price,demi_price,bottle_qty,magnum_qty,demi_qty,purchase_price,to_archive
172,,,Kellerei Kurtatsch,AMOS, PB+CH+PG+SB+KE ,2022,, 59.00 € ,,,18,,, 16.50 € ,
,,,Kellerei Kurtatsch,AMOS,,2018, MAGNUNM ,,,,,1,,,
179,,,Weingut Franz Haas,MANNA, RI+CH+GT+SB ,2023,, 69.00 € ,,,18,,,,
,,,Weingut Franz Haas,MANNA,,2007, MAGNUNM ,, 190.00 € ,,,2,,,
,,,Weingut Hofstätter,DE VITE ,,2018, MAGNUNM ,, 80.00 € ,,,0,,,1
173,,,Kellerei Tramin,STOAN, CH+SB+PB+GT ,2022,, 75.00 € ,,,31,,,,
175,,,Weingut Kornell,AICHBERG, PB+CH+SB ,2020,, 75.00 € ,,,18,,,,
174,,,Kellerei Eisacktal,ADAMANTIS, SY+GV+PG+KE ,2020,, 120.00 € ,,,13,,,,
,,,Weingut Elena Walch,BEYOND THE CLOUDS   , CH+GV+SB ,2022,,,,,59,,,,
177,,,Weingut Elena Walch,BEYOND THE CLOUDS   ,,2021,, 120.00 € ,,,3,,,,
,,,Weingut Elena Walch,BEYOND THE CLOUDS   ,,2020,,,,,2,,,,
171,,,Kellerei Nals-Margreid,NAMA, CH+PB+SB ,2018,, 145.00 € ,,,3,,,,
176,,,Kellerei St. Michael-Eppan,APPIUS, CH+PB+PG+SB ,2019,, 155.00 € ,,,10,,,,
,,,Kellerei St. Michael-Eppan,APPIUS,,2012,,,,,1,,,,
170,,,Weingut Franz Haas,MANNA,,2007,RARITAS, 95.00 € ,,,11,,,,
,,,Weingut Franz Haas,MANNA,,2006,,,,,5,,,,
,,,Weingut Elena Walch,BEYOND THE CLOUDS ARGENTUM B.,,2016,RARITAS,,,,15,,,,
170,,,Weingut Elena Walch,BEYOND THE CLOUDS ARGENTUM B.,,2014,, 155.00 € ,,,23,,,,
,,,Weingut Schreckbichl ,CORNELIUS ,,1997,,,,,2,,,,
,,,Alois Lageder ,CONTEST KLEIN ,,1999,,,,,2,,,,
,,,Alois Lageder ,CONTEST KLEIN ,,1969,,,,,1,,,,
,,,Kellerei Grilan ,RISERVA BIANCA ,,2008,,,,,4,,,,
,WHITE,Pinot blanc ,Kellerei Bozen,DELLAGO ,,2023,,,,,17,,,,
,WHITE,Pinot blanc ,Kellerei St. Pauls  ,PLÖTZNER,,2024,,,,,20,,, 9.60 € ,
181,WHITE,Pinot blanc ,Kellerei St. Pauls  ,PLÖTZNER,,2023,, 45.00 € ,,,42,,,,
,WHITE,Pinot blanc ,Kellerei St. Pauls  ,PLÖTZNER, MAGNUNM ,2015,,, 105.00 € ,,,1,,,
,WHITE,Pinot blanc ,Kellerei St. Pauls  ,PLÖTZNER, MAGNUNM ,2011,,, 105.00 € ,,,1,,,
,WHITE,Pinot blanc ,Kellerei Kaltern ,KUNSTSTÜCK, MAGNUNM ,2014,,, 80.00 € ,,,0,,,1
,WHITE,Pinot blanc ,Weingut Falkenstein ,VINSCHGAU, MAGNUNM ,2009,,, 80.00 € ,,,0,,,1
182,WHITE,Pinot blanc ,Weingut Schloss Plars,PATAUN,,2022,, 49.00 € ,,,17,,,,
185,WHITE,Pinot blanc ,Weingut Prackfolerhof,,,2022,, 55.00 € ,,,28,,,,
188,WHITE,Pinot blanc ,Weingut Gumphof,PRAESULIS,,2022,, 59.00 € ,,,31,,,,
,WHITE,Pinot blanc ,Weingut Gumphof,PRAESULIS,,2021,,,,,3,,,,
186,WHITE,Pinot blanc ,Kellerei St.Michael-Eppan,ST.VALENTIN,,2022,, 59.00 € ,,,33,,,,
,WHITE,Pinot blanc ,Kellerei Terlan,VORBERG RISERVA,,2022,,,,,32,,, 20.00 € ,
,WHITE,Pinot blanc ,Kellerei Terlan,VORBERG RISERVA, MAGNUNM ,2022,,,,,,6,,,
187,WHITE,Pinot blanc ,Kellerei Terlan,VORBERG RISERVA,,2021,, 69.00 € ,,,89,,,,
,WHITE,Pinot blanc ,Kellerei Terlan,VORBERG RISERVA, MAGNUNM ,2017,,, 160.00 € ,,,7,,,
189,WHITE,Pinot blanc ,Weingut Gumphof,RENAISSANCE,,2015,, 79.00 € ,,,34,,,,
,WHITE,Pinot blanc ,Kellerei St. Pauls  ,SANKTISSIMUS,,2018,,,,,3,,,,
190,WHITE,Pinot blanc ,Kellerei St. Pauls  ,SANKTISSIMUS,,2013,, 110.00 € ,,,5,,,,
195,WHITE,Pinot blanc ,Kellerei Terlan,TRADITION,,2010,RARITAS, 75.00 € ,,,10,,,,
,WHITE,Pinot blanc ,Kellerei Terlan,TRADITION,,2008,,,,,9,,,,
195,WHITE,Pinot blanc ,Kellerei St. Pauls,PLÖTZNER,,2010,RARITAS, 75.00 € ,,,10,,,,
195,WHITE,Pinot blanc ,Weingut Falkenstein,,,2007,RARITAS, 75.00 € ,,,0,,,,1
,WHITE,Pinot blanc ,Kellerei Terlan,VORBERG RISERVA,,2021,RARITAS,,,,30,,,,
,WHITE,Pinot blanc ,Kellerei Terlan,VORBERG RISERVA,,2019,,,,,6,,,,
,WHITE,Pinot blanc ,Kellerei Terlan,VORBERG RISERVA,,2011,,,,,7,,,,
,WHITE,Pinot blanc ,Kellerei Terlan,VORBERG RISERVA,,2008,,,,,6,,,,
