external_id,name,name_2,name_3,internal_notes,vintage,info,bottle_qty,magnum_qty,demi_qty,bottle_price,magnum_price,demi_price,,
,,,,,,,,,,,,,,
210,Müller Thurgau,Kellereit St. Pauls,KLASSISCH,,2024,,24,,, 41.00 € ,,,,
211,Müller Thurgau,Kellerei Kurtatsch,GRAUN,,2022,,16,,, 49.00 € ,,,,
,Müller Thurgau,Weingut Tiefenbrunner,FELDMARSCHALL,,2020,,30,,,,,,,
212,Müller Thurgau,Weingut Tiefenbrunner,FELDMARSCHALL,,2019,,20,,, 85.00 € ,,,,
,,,,,,,,,,,,,,
,,Grüner Veltliner,,,,,,,,,,,,
,,,,,,,,,,,,,,
220,Grüner Veltliner,Kellerei Eisacktal,, (1x 2022) ,2023,,18,,, 39.00 € ,,,,
222,Grüner Veltliner,Weingut Pacherhof,EISACKTAL,,2021,,41,,, 49.00 € ,,,,
,,,,,,,,,,,,,,
,,Experimente Kaltern ,,,,,,,,,,,,
,Experimente Kaltern ,,,,,,,,,,,,,
,Experimente Kaltern ,,P.G MASHED,,2016,,,,,,,,,
,Experimente Kaltern ,,RESISTENT WEIß,,2017,,,,,,,,,
,Experimente Kaltern ,,SAUVIGNON METEMORPHOSIA ,,2016,,,,,,,,,
,,,,,,,,,,,,,,
,,Sylvaner,,,,,,,,,,,,
,,,,,,,,,,,,,,
230,Sylvaner,Kellerei Eisacktal,,,2021,,11,,, 39.00 € ,,,,
232,Sylvaner,Weingut Pacherhof,ALTE REBEN,,2017,,11,,, 55.00 € ,,,,
,Sylvaner,Weingut Pacherhof,ALTE REBEN,,,,,,,,,,,
,Sylvaner,Weingut Klosterhof,,2007,RARITAS,,15,,,,,,,
,,,,,,,,,,,,,,
,,Sauvignon blanc,,,,,,,,,,,,
,,,,,,,,,,,,,,
240,Sauvignon blanc,Kellerei St. Pauls,GFILL,,2023,,18,,, 45.00 € ,,,,
,Sauvignon blanc,Kellerei Nals-Magreid ,MANTELE, MAGNUNM ,2010,,,1,,, 80.00 € ,,,
,Sauvignon blanc,Kellerei St. Pauls,PASSION , MAGNUNM ,2009,,,4,,, 90.00 € ,,,
,Sauvignon blanc,Kellerei St. Pauls,PASSION , MAGNUNM ,2008,,,1,,, 90.00 € ,,,
,Sauvignon blanc,Weingut Castelfeder ,REIF,,2023,,18,,,,,,,
,Sauvignon blanc,Weingut Castelfeder ,REIF,,2019,,6,,,,,,,
,Sauvignon blanc,Weingut Falkenstein ,VINSCHGAU, MAGNUNM ,2009,,,2,,, 95.00 € ,,,
,Sauvignon blanc,Kellerei Terlan,WINKL, MAGNUNM ,2023,,53,6,,, 105.00 € ,,,
242,Sauvignon blanc,Kellerei Terlan,WINKL,,2022,,40,,, 53.00 € ,,,,
243,Sauvignon blanc,Weingut Gumphof,MEDIAEVUM, (Ausgehen) ,2022,,12,,, 55.00 € ,,,,
,Sauvignon blanc,Weingut Kornell,COSMAS,,2023,,18,,,,,,,
244,Sauvignon blanc,Weingut Kornell,COSMAS,,2022,,10,,, 55.00 € ,,,,
,Sauvignon blanc,Weingut Gumphof,PRAESULIS,,2021,,16,,, 55.00 € ,,,,
,Sauvignon blanc,Weingut Gumphof,PRAESULIS,,2020,,2,,,,,,,
,Sauvignon blanc,Weingut Gumphof,PRAESULIS,,2019,,1,,,,,,,
247,Sauvignon blanc,Weingut Prackfolerhof,,,2022,,20,,, 55.00 € ,,,,
245,Sauvignon blanc,Kellerei St.Michael-Eppan,ST.VALENTIN,,2023,,34,,, 60.00 € ,,,,
