external_id,name,vintage,info,internal_notes,size,price,quantity
,Terlano classico Kellerei Terlan NOVA DOMUS,2014,,,BOTTLE,,12
205,Terlano classico Kellerei Terlan NOVA DOMUS,2013,,,BOTTLE, 110.00 € ,2
,Terlano classico Kellerei Terlan NOVA DOMUS,2010,,,HALF_BOTTLE, 260.00 € ,6
,Terlano classico Kellerei Terlan PRIMUS,2022,RARITAS,,BOTTLE,,3
,Terlano classico Kellerei Terlan PRIMUS,2022,RARITAS,,MAGNUM,,1
,Terlano classico Kellerei Terlan PRIMUS,2021,,,BOTTLE,,3
,Terlano classico Kellerei Terlan PRIMUS,2020,,,BOTTLE,,3
,Terlano classico Kellerei Terlan PRIMUS,2019,,,BOTTLE,,3
,Terlano classico Kellerei Terlan PRIMUS,2019,,,HALF_BOTTLE,,1
205,Terlano classico Kellerei Terlan PRIMUS,2017,,,BOTTLE, 220.00 € ,3
,Terlano classico Kellerei Terlan PRIMUS,2015,,,HALF_BOTTLE,,1
,Terlano classico Kellerei Terlan  TERLANER RARITAS,2008,RARITAS,,BOTTLE,,3
,Terlano classico Kellerei Terlan  TERLANER RARITAS,1991,,,BOTTLE,,1
210,Müller Thurgau Kellereit St. Pauls KLASSISCH,2024,,,BOTTLE, 41.00 € ,24
211,Müller Thurgau Kellerei Kurtatsch GRAUN,2022,,,BOTTLE, 49.00 € ,16
,Müller Thurgau Weingut Tiefenbrunner FELDMARSCHALL,2020,,,BOTTLE,,30
212,Müller Thurgau Weingut Tiefenbrunner FELDMARSCHALL,2019,,,BOTTLE, 85.00 € ,20
220,Grüner Veltliner Kellerei Eisacktal,2023,, (1x 2022) ,BOTTLE, 39.00 € ,18
222,Grüner Veltliner Weingut Pacherhof EISACKTAL,2021,,,BOTTLE, 49.00 € ,41
230,Sylvaner Kellerei Eisacktal,2021,,,BOTTLE, 39.00 € ,11
232,Sylvaner Weingut Pacherhof ALTE REBEN,2017,,,BOTTLE, 55.00 € ,11
,Sylvaner Weingut Klosterhof,2007,RARITAS,,BOTTLE,,15
240,Sauvignon blanc Kellerei St. Pauls GFILL,2023,,,BOTTLE, 45.00 € ,18
,Sauvignon blanc Kellerei Nals-Magreid  MANTELE,2010,, MAGNUNM ,MAGNUM, 80.00 € ,1
,Sauvignon blanc Kellerei St. Pauls PASSION,2009,, MAGNUNM ,MAGNUM, 90.00 € ,4
,Sauvignon blanc Kellerei St. Pauls PASSION,2008,, MAGNUNM ,MAGNUM, 90.00 € ,1
,Sauvignon blanc Weingut Castelfeder  REIF,2023,,,BOTTLE,,18
,Sauvignon blanc Weingut Castelfeder  REIF,2019,,,BOTTLE,,6
,Sauvignon blanc Weingut Falkenstein  VINSCHGAU,2009,, MAGNUNM ,MAGNUM, 95.00 € ,2
,Sauvignon blanc Kellerei Terlan WINKL,2023,, MAGNUNM ,BOTTLE,,53
,Sauvignon blanc Kellerei Terlan WINKL,2023,, MAGNUNM ,MAGNUM, 105.00 € ,6
242,Sauvignon blanc Kellerei Terlan WINKL,2022,,,BOTTLE, 53.00 € ,40
243,Sauvignon blanc Weingut Gumphof MEDIAEVUM,2022,, (Ausgehen) ,BOTTLE, 55.00 € ,12
,Sauvignon blanc Weingut Kornell COSMAS,2023,,,BOTTLE,,18
244,Sauvignon blanc Weingut Kornell COSMAS,2022,,,BOTTLE, 55.00 € ,10
,Sauvignon blanc Weingut Gumphof PRAESULIS,2021,,,BOTTLE, 55.00 € ,16
,Sauvignon blanc Weingut Gumphof PRAESULIS,2020,,,BOTTLE,,2
,Sauvignon blanc Weingut Gumphof PRAESULIS,2019,,,BOTTLE,,1
247,Sauvignon blanc Weingut Prackfolerhof,2022,,,BOTTLE, 55.00 € ,20
245,Sauvignon blanc Kellerei St.Michael-Eppan ST.VALENTIN,2023,,,BOTTLE, 60.00 € ,34
,Sauvignon blanc Kellerei Schreckbichl LAFOA,2023,,,BOTTLE,,18
,Sauvignon blanc Kellerei Schreckbichl LAFOA,2008,, MAGNUNM ,MAGNUM, 145.00 € ,2
248,Sauvignon blanc Weingut Kornell OBERBERG,2020,,,BOTTLE, 70.00 € ,9
,Sauvignon blanc Weingut Kornell OBERBERG,2019,,,BOTTLE,,1
249,Sauvignon blanc Weingut Gumphof RENNAISANCE,2019,,,BOTTLE, 75.00 € ,26
