type,size,price,internal_notes,vintage,name,winery_name,info,area
SPARKLING,BOTTLE, 160.00,https://www.tannico.it/champagne-brut-nature-cumieres-premier-cru-georges-laval.html,2019,GEORGE LAVAL “CUMIÈRES”  Brut Nature 1° Crù ,GEORGE LAVAL “CUMIÈRES”  Brut Nature 1° Crù ,"Chardonnay 35%, Meunier 15% Pinot Nero 50%",
SPARKLING,BOTTLE, 140.00,https://www.tannico.it/champagne-extra-brut-cumieres-1er-cru-garennes-georges-laval.html,,GEORGE LAVAL “GARENNES” Blanc de Noirs Extra Brut 1° Crù,GEORGE LAVAL “GARENNES” Blanc de Noirs Extra Brut 1° Crù,,
SPARKLING,BOTTLE, 360.00,https://www.tannico.it/champagne-brut-nature-les-hautes-chevres-blanc-de-noirs-premier-cru-2013-georges-laval-69209.html,,GEORGE LAVAL “LES HAUTES CHÈVRES ” Blanc de Noirs Nature vieilles Vignes ,GEORGE LAVAL “LES HAUTES CHÈVRES ” Blanc de Noirs Nature vieilles Vignes ,,
SPARKLING,BOTTLE, 95.00,https://www.lunawineshop.it/products/copia-del-champagne-mousse-fils-terre-dillite-2014-extra-brut,2017,"MOUSSÈ FILS ""TERRE D'ILLITE""  Extra Brut  Blanc de Noirs, Vintage    ","MOUSSÈ FILS ""TERRE D'ILLITE""  Extra Brut  Blanc de Noirs, Vintage    ",Meunier 95% Pinot Nero 5% | 6 -  | 2-2014,
SPARKLING,BOTTLE, 85.00,https://www.glugulp.com/mousse-fils-champagne-brut-lor-d-eugene-blanc-de-noirs-new,,"MOUSSÈ FILS ""L'OR D'EUGENE""  Extra Brut  Blanc de Noirs","MOUSSÈ FILS ""L'OR D'EUGENE""  Extra Brut  Blanc de Noirs",Meunier 80% Pinot Nero 20%,
SPARKLING,BOTTLE, 80.00,https://www.pellegrinispa.net/prodotti.php,,R. POUILLON & FILS Blanc de Blanc Brut 1° Cru ,R. POUILLON & FILS Blanc de Blanc Brut 1° Cru ,,
SPARKLING,BOTTLE, 110.00,https://www.tannico.it/champagne-brut-reserve-bereche-et-fils.html,,BÉRÊCHE ET FILS Reserve Brut,BÉRÊCHE ET FILS Reserve Brut,,
SPARKLING,BOTTLE, 245.00,https://www.tannico.it/champagne-brut-reflet-d-antan-bereche-et-fils.html,,"BÉRÊCHE ET FILS ""Reflet d'Antan""","BÉRÊCHE ET FILS ""Reflet d'Antan""",,
SPARKLING,BOTTLE, 165.00,https://www.enosearcher.it/bottiglia/chartogne-taillet-champagne-aoc-heurtebise-2017/,2017,"CHARTOGNE TAILLET ""HEURTEBISE"" Blanc de Blanc ","CHARTOGNE TAILLET ""HEURTEBISE"" Blanc de Blanc ",,
SPARKLING,BOTTLE, 185.00,https://www.tannico.it/champagne-extra-brut-blanc-de-noirs-les-barres-chartogne-taillet.html,2016,"CHARTOGNE TAILLET ""LES BARRES"" Blanc de Noirs ","CHARTOGNE TAILLET ""LES BARRES"" Blanc de Noirs ",,
