ok,type,name,winery_name,area,size,vintage,price,details,tech_sheet,internal_notes,info,matched_name,matched_winery_name,matched_id,matched_original_id,score
TRUE,SPARKLING,POJER & SANDRI Extra Brut Cuvee 17-18,POJER & SANDRI Extra Brut Cuvee 17-18,,BOTTLE,,55,17 - 18,https://www.pojeresandri.com/wp-content/uploads/2019/09/Cuvee-Extra-Brut.pdf?x45718,17 - 18 https://www.pojeresandri.com/wp-content/uploads/2019/09/Cuvee-Extra-Brut.pdf?x45718,,Cuveé Extra Brut,Pojer e Sandri,wine_01gzr4ksehpx5s6jm1wp9meqrm,2391642,42.469143
TRUE,SPARKLING,POJER & SANDRI “ZERO INFINITO”,POJER & SANDRI “ZERO INFINITO”,,BOTTLE,,35,,https://www.pojeresandri.com/wp-content/uploads/2019/09/Zero-Infinito.pdf?x45718, https://www.pojeresandri.com/wp-content/uploads/2019/09/Zero-Infinito.pdf?x45718,,Zero Infinito,Pojer e Sandri,wine_01gzr4ksehy4wftxc3709gvxsk,2316643,49.161003
TRUE,SPARKLING,"LIS NERIS ""DOM JUROSA"" Brut","LIS NERIS ""DOM JUROSA"" Brut",,BOTTLE,,42,,https://shop.lisneris.it/it/home/30-dom-jurosa-brut, https://shop.lisneris.it/it/home/30-dom-jurosa-brut,,Dom Jurosa Blanc De Blancs Brut,Lis Neris,wine_01h0r2pp9v5285qa22z3pz3dfh,,40.879665
FALSE,SPARKLING,ROSA BOSCO Brut Blanc de Blanc,ROSA BOSCO Brut Blanc de Blanc,,BOTTLE,,45,,https://depuppi.it/wp-content/uploads/2020/06/005-SchedeVino-ITA-GIU20-RosaBosco-BlancDeBlanc.pdf, https://depuppi.it/wp-content/uploads/2020/06/005-SchedeVino-ITA-GIU20-RosaBosco-BlancDeBlanc.pdf,,Blanc de Blancs Spumante Brut,Chateau Blanc,wine_01h0qsxn5fymhd5vt8c9jzrd70,,47.90795
FALSE,SPARKLING,VILLA PARENS Extra Brut Blanc de Blanc,VILLA PARENS Extra Brut Blanc de Blanc,,BOTTLE,,35,,https://www.cucinaevini.it/sparkle/blanc-de-blancs-extra-brut/, https://www.cucinaevini.it/sparkle/blanc-de-blancs-extra-brut/,,Blanc de Blancs Spumante Brut,Chateau Blanc,wine_01h0qsxn5fymhd5vt8c9jzrd70,,47.90795
TRUE,SPARKLING,DECUGNANO DEI BARBI Dosaggio Zero Millesimato,DECUGNANO DEI BARBI Dosaggio Zero Millesimato,,BOTTLE,2017,39,"50% Chardonnay, 50% Pinot Nero",https://www.decugnanodeibarbi.com/wp-content/uploads/METODO-CLASSICO-SCHEDA.pdf,"50% Chardonnay, 50% Pinot Nero https://www.decugnanodeibarbi.com/wp-content/uploads/METODO-CLASSICO-SCHEDA.pdf",,Dosaggio Zero Metodo Classico,Decugnano dei Barbi,wine_01h0qsxnx5rgth7t6yqxzpe6nb,,52.740364
TRUE,SPARKLING,SCHLOSS REINHARTSHAUSEN Rheingau Riesling Brut,SCHLOSS REINHARTSHAUSEN Rheingau Riesling Brut,,BOTTLE,,36,,https://www.scalo17.it/prodotto/schloss-reinhartshausen-rheingau-riesling-brut-metodo-classico/, https://www.scalo17.it/prodotto/schloss-reinhartshausen-rheingau-riesling-brut-metodo-classico/,,Riesling Sekt Brut,Schloss Reinhartshausen,wine_01h4pmmh544qb1zmts9s1znn12,,40.69446
TRUE,SPARKLING,VEUVE AMBAL CREMANT DE BOURGOGNE Grand Cuvée Brut,VEUVE AMBAL CREMANT DE BOURGOGNE Grand Cuvée Brut,,BOTTLE,,36,"Chardonnay, Pinot Nero, Aligotè, Gamè",https://www.wineexpert.it/it/prodotto/Cremant-de-%20Bourgogne-Gran-cuvee-Brut-Veuve-%20Ambal.aspx,"Chardonnay, Pinot Nero, Aligotè, Gamè https://www.wineexpert.it/it/prodotto/Cremant-de-%20Bourgogne-Gran-cuvee-Brut-Veuve-%20Ambal.aspx",,Cuvée Marie Ambal Crémant de Bourgogne,Veuve Ambal,wine_01gzr4ks5wfx390r80n6qp60pz,1583156,51.999104
TRUE,SPARKLING,AUBRY FYLS Brut 1° Cru,AUBRY FYLS Brut 1° Cru,,BOTTLE,,80,,https://www.callmewine.com/champagne-aubry-P6768.htm, https://www.callmewine.com/champagne-aubry-P6768.htm,,Aubry de Humbert Champagne 1er Cru,Aubry,wine_01h4pmmgg3agcap38f1w7v37wc,,37.796165
TRUE,SPARKLING,AUBRY FYLS Rosè Sablè,AUBRY FYLS Rosè Sablè,,BOTTLE,2008,120,,https://www.callmewine.com/champagne-aubry-rose-P6767.htm, https://www.callmewine.com/champagne-aubry-rose-P6767.htm,,Sable Rosé Brut,Aubry,wine_01h4pmmgg36ppcppnjjh2chgjd,,37.001495
