ok,matched_id,external_id,type,name,winery_name,area,size,vintage,price,quantity,info,internal_notes,matched_name,matched_winery_name,matched_id,matched_original_id,score
FALSE,,,ROSE,rosé bio,Rumor Cotes de Provence,,BOTTLE,2022,6600,5,,,,,,,
TRUE,wine_01hczek1mgh5exx8qkaa7gvrc7,,RED,schlatter spatburgunder,Weingut Martin Wassmer,,BOTTLE,2019,7000,12,,,,,,,
TRUE,wine_01j101g930es06dj577mvz30m1,,RED,shiraz cabernet australia,Penley Estate,,BOTTLE,1998,0,1,,,,,,,
FALSE,,,RED,rosso double,Masi,,BOTTLE,2020,0,6,,,,,,,
FALSE,,,RED,rosso double,Masi,,BOTTLE,2019,0,5,,,,,,,
TRUE,wine_01j101kswvdxcnes6amb2na6q2,,WHITE,riesling beerenauslese,Stift Klosterneuburg,,BOTTLE,2017,6500,3,,,,,,,
TRUE,wine_01j101kswvdxcnes6amb2na6q2,,WHITE,riesling beerenauslese,Stift Klosterneuburg,,BOTTLE,2020,6500,4,,,,,,,
TRUE,wine_01h4pmmh5k0zb1vgzmw4xary82,,WHITE,riesling auslese,Haart Goldtrpfchen,,BOTTLE,2020,0,4,,,,,,,
TRUE,wine_01j101shr735xrz125jjfre8x4,,RED,sauternes chateau saint michel 375 ml,Chateau Saint Michel,,HALF_BOTTLE,,6000,0,,,,,,,
TRUE,wine_01gzr4ksnf1f50520883g0c1jw,,RED,"recioto valpolicella “le salette""",Pergole Vece,,HALF_LITER,2016,6500,0,,,,,,,
