external_id,name_one,name_two,size,winery_name,country,vintage,currency,price,quantity,Unnamed: 10,reason
800,Weingut Martin Wassmer,,,,,,,,,,winery_name is null
802,Austria,,,,,,,,,,winery_name is null
803,Stift Kloster Neuburg,,,,,,,,,,winery_name is null
806,Argentina,,,,,,,,,,winery_name is null
808,Vini da dessert,,,,,,,,,,winery_name is null
812,al calice,,,,AUT,,€,"€ 10,00",,,winery_name is null
814,al calice,,,,AUT,,€,"€ 10,00",,,winery_name is null
816,al calice,,,,AUT,,€,"€ 10,00",,,winery_name is null
818,al calice,,,,FRA,,€,"€ 10,00",,,winery_name is null
823,al calice,,,,,,€,"€ 8,00",,,winery_name is null
825,al calice,,,,,,€,"€ 8,00",,,winery_name is null
827,al calice,,,,,,€,"€ 8,00",,,winery_name is null
831,al calice,,,,,,€,"€ 7,00",,,winery_name is null
833,al calice,,,,,,€,"€ 8,00",,,winery_name is null
39,Champagne ,,Magnum,Krug,FRA,,€,"€ 900,00","2 166 ed, 2 Grande cuvee pre 08",,quantity does not correspond to pattern
41,Champagne ,Collection 244,,Roederer,FRA,,€,"€ 110,00","10 244, 3 242, 2 243",,quantity does not correspond to pattern
76,Franciacorta,Cabochon Fuoriserie ,,Monte Rossa,ITA,,€,"€ 100,00","7 n. 023, 5 n. 024",,quantity does not correspond to pattern
160,Ribolla gialla,,,Damijan,,19,€,"€ 55,00",Togliere,,quantity does not correspond to pattern
822,Auslese ,,375 ml,Kracher,,17,€,"€ 50,00","3,5",,quantity does not correspond to pattern
826,"Moscato Rosa ""Praepositus""",,,Abbazia di Novacella,,‘20,€,"€ 55,00","2,5",,quantity does not correspond to pattern
