external_id,name_one,name_two,winery_name,size,vintage,price,quantity,country
192,,Bucce,Marco Mosconi,,,,"2 ‘19, 3 ‘20",
193,,Vivo vino bianco,De Martin A &G,,23?,,6,
194,,Pinot Grigio ,Marco Levis,,‘20,,5,
195,,,,,,,,
196,,Umbria,,,,,,
197,,Cervaro della Sala,Marchesi Antinori,,13,"€ 120,00",2,
198,,Cervaro della Sala ,Marchesi Antinori,,14,"€ 120,00",,
199,,,,,,,,
200,,Puglia,,,,,,
201,,Fiano Salento IGP,Vespa Vignaioli,,,"€ 18,00","1 ‘19, 1, ‘18",
202,,,,,,,,
203,,Sardegna,,,,,,
204,,Capichera Bianco IGT,Capichera,,5,"€ 52,00",2,
205,,"Vermentino di Sardegna ""Cala Silente""",Santadi,,19,"€ 21,00",2,
206,,Vernaccia Extra ,Produttori riuniti,,68,,1,
207,,,,,,,,
208,,Piemonte,,,,,,
209,,Rossj Bass Langhe DOP ,Gaja,,21,"€ 104,00",4,
210,,Rossj Bass Langhe DOP ,Gaja,,‘22,"€ 90,00",6,
211,,Gavi di Gavi,Nicola Bergaglio,,20,"€ 21,00",,
212,,,,,,,,
213,,Marche,,,,,,
214,,Verdicchio di Jesi Superiore Massaccio ,Tenute San Sisto,,20,"€ 28,00",17,
215,,Pecorino Santa Maria ,Vinicentanni,,‘21,,5,
216,,,,,,,,
217,,Campania,,,,,,
218,,Furore Bianco Fiorduva,Marisa Cuomo,,‘18,"€ 82,00",1,
219,,Furore Bianco Fiorduva,Marisa Cuomo,,‘21,"€ 78,00",,
220,,Furore Bianco Fiorduva,Marisa Cuomo,,‘22,"€ 42,00",1,
221,,,,,,,,
222,,Toscana,,,,,,
223,,Sambrena Bianco IGT,Tenuta La Novella,,‘19,"€ 20,00",5,
224,,,,,,,,
225,,Vini bianchi esteri,,,,,,
226,,"Grüner Veltliner ""Federspiel Rotes Tor""",Franz Hirtzberger,,13,"€ 60,00",4,AUT
227,,Viognier Sauvignon Equinoxe ,l’Arjolle,,‘22,"€ 36,00",4,FRA
228,,Riesling Klausberg Private Reserve,Nikolaihof,,’09,"€ 90,00",3,AUT
229,,Riesling Smaragd Wachau ,Nikolaihof,,16,"€ 72,00",3,AUT
230,,Riesling Vom Stein Federspiel ,Nikolaihof,,11,"€ 72,00",1,AUT
231,,Riesling Federspiel ,Nikolaihof,,20,,6,AUT
232,,Veltriner Fruhroter ,Nikolaihof,,11,"€ 40,00",4,AUT
233,,Grüner Veltliner Federspiel,Nikolaihof,,,"€ 45,00","4 ‘18, 8 ‘19",AUT
234,,Grüner Veltliner Smaragd ,Nikolaihof,,15,"€ 73,00",3,AUT
235,,Riesling Steiner Hund,Nikolaihof,,‘15,"€ 73,00",4,AUT
236,,Grüner Veltliner,Stift Kloster Neuburg,,‘21,"€ 35,00",3,AUT
237,,Weißburgunder ,Stift Kloster Neuburg,,‘21,"€ 35,00",5,AUT
238,,Chardonnay ,Stift Kloster Neuburg,,‘21,"€ 66,00",,AUT
239,,Riesling Federspiel ,Rudi Pichler,,‘18,"€ 40,00",,AUT
240,,Chablis ,Chanson,,21,"€ 60,00","4 ‘21, 2 ‘22",FRA
241,,Chablis Mise Tardive BIO ,Domaine Pattes Loup,,20,"€ 75,00",,FRA
242,,Chablis Vielles Vignes ,Domaine Daniel-Etienne Defaix,,20,"€ 70,00",5,FRA
243,,Chablis Premier Cru Vaillon,Domaine Daniel-Etienne Defaix,,‘10,"€ 90,00",7,FRA
244,,Chablis Les Lys Premier Cru,Domaine Daniel-Etienne Defaix,,,"€ 90,00","3 ‘04, 19 ‘05",FRA
245,,Équinoxe Viognier Sauvignon,Domaine Daniel-Etienne Defaix,,‘22,"€ 33,00",,FRA
246,,Riesling Réserve ,Domaine Weinbach,,20,"€ 54,00","3’ 20, 1 ‘17",
247,,Muscat Réserve,Domaine Weinbach,,11,"€ 54,00",3,
248,,Pinot Blanc ,Domaine Weinbach,,‘20,"€ 40,00",5,
249,,Sancerre ,Pascal Jolivet,,’22,"€ 70,00","3 ‘21, 5 ‘22",
250,,Chardonnay Saint Aubin,Domaine Morey Coffinet,,20,"€ 88,00",2,
251,,"Rosé ""Esprit Gassier""",Château Gassier,,21,"€ 33,00",,
252,,Chablis ,Thomas Pico,,‘20,,,
253,,Chardonnay Bourgogne ,Antoine Jobard,,‘20,"€ 35,00",,
254,,"Puligny Montrachet Premier cru ""Les Nosroyes""",Genot Boulanger,,‘20,"€ 160,00",2,
255,,"Puligny Montrachet Premier cru ""La Garenne""",Genot Boulanger,,‘20,"€ 270,00",2,
256,,Les Tilles Blanc Meursault,Domaine Pierre Labet ,,20,"€ 150,00",3,
257,,Chardonnay,Weingut Martin Wassmer,,21,,6,
258,,,,,,,,
259,,"Altri vini biodinamici, biologici e naturali",,,,,,
260,,"Garganega ""Bucce"" Macerato ",Marco Mosconi,,’19-'20,"€ 34,00",,
261,,,,,,,,
262,,Vini Rosati,,,,,,
263,,Whispering Angel,Caves d’Esclans,,,,"4 ‘21, 6 ‘22",
264,,Rumor Cotes de Provence,,,,,,
265,,Espirit Grassier,ed limitata,,,,2,
266,,Vini Rossi,,,,,,
267,,Veneto,,,,,,
268,,Azienda Agricola Quintarelli,,,,,,
269,,Valpolicella classico ,Azienda Agricola Quintarelli,Magnum,,"€ 340,00","1 ‘13, 1 ‘16",
270,,Alzero,Azienda Agricola Quintarelli,,‘14,"€ 450,00",4,
271,,Rosso del Bepi,Azienda Agricola Quintarelli,,,"€ 190,00","2 ‘10, 1 ‘16",
272,,Rosso del Bepi ,Azienda Agricola Quintarelli,Magnum,‘14,"€ 450,00",2,
273,,Amarone,Azienda Agricola Quintarelli,,12,"€ 407,00",5,
274,,Amarone,Azienda Agricola Quintarelli,,13,"€ 410,00",3,
275,,Amarone ,Azienda Agricola Quintarelli,Magnum,11,"€ 860,00",1,
276,,Amarone  ,Azienda Agricola Quintarelli,Magnum,12,"€ 890,00",2,
277,,Monteversa,,,,,,
278,,Rosso Bio Animaversa,Monteversa,,,"€ 45,00","1 ‘15, 9 ‘16",
279,,Rosso Bio Animaversa ,Monteversa,Magnum,‘15,"€ 90,00",,
280,,Rosso Bio Versacinto,Monteversa,,19,"€ 25,00",5,
281,,Bonotto Delle Tezze,,,,,,
282,,Carmenere Barbane,Bonotto Delle Tezze,,‘20,"€ 21,00",6,
283,,Malanotte,Bonotto Delle Tezze,,15,"€ 48,00",1,
284,,Raboso,Bonotto Delle Tezze,,‘16,"€ 30,00",1,
285,,Raboso,Bonotto Delle Tezze,,19,"€ 30,00",6,
286,,Raboso,Bonotto Delle Tezze,,17,"€ 30,00",12,
287,,Loredan e Gasparini,,,,,,
288,,Falconera ,Loredan Gasparini,Magnum,16,,1,
289,,Venegazzù della Casa,Loredan e Gasparini,,‘18,"€ 48,00","4 ‘18, 24 ‘19",
290,,Venegazzù della Casa,Loredan e Gasparini,Magnum,18,"€ 100,00",4,
291,,Venegazzù Capo di Stato,Loredan e Gasparini,,18,"€ 80,00",8,
292,,Venegazzù Capo di Stato ,Loredan e Gasparini,Magnum,17,"€ 180,00",1,
293,,Venegazzù Capo di Stato ,Loredan e Gasparini,Magnum,18,"€ 180,00",3,
294,,Venegazzù Capo di Stato ,Loredan e Gasparini,Jéroboam,12,"€ 260,00",1,
295,,Venegazzù Capo di Stato ,Loredan e Gasparini,Jéroboam,13,"€ 250,00",1,
296,,Venegazzù Capo di Stato ,Loredan e Gasparini,Jéroboam,15,"€ 240,00",1,
297,,Serafini Vidotto,,,,,,
298,,Rosso Phigaia,Serafini Vidotto,,,"€ 45,00","1 ‘20, 12 ‘21",
299,,Rosso Phigaia Magnum,Serafini Vidotto,Magnum,20,"€ 90,00",1,
300,,Rosso dell’Abbazia,Serafini Vidotto,,17,"€ 60,00","2 ‘17, 2 ‘18",
301,,Brigaldara,,,,,,
302,,Valpolicella Superiore Il Vegro (Ripassa),Brigaldara,,‘20,"€ 36,00",10,
303,,Valpolicella Superiore Il Vegro (Ripassa) ,Brigaldara,Magnum,‘19,"€ 80,00",2,
304,,Amarone della Valpolicella Classico,Brigaldara,,18,"€ 58,00",23,
305,,Amarone della Valpolicella Classico ,Brigaldara,Magnum,17,"€ 130,00",1,
306,,Amarone della Valpolicella Case Vecie ,Brigaldara,Magnum,19,"€ 120,00",,
307,,Amarone della Valpolicella Case Vecie,Brigaldara,,‘17,"€ 65,00",3,
308,,Valpolicella Superiore Case Vecie,Brigaldara,,‘21,"€ 35,00",12,
309,,Valpolicella Superiore Case Vecie ,Brigaldara,Magnum,19,,2,
310,,Mosole,,,,,,
311,,Cabernet Hora Sexta,Mosole,,15,"€ 35,00",1,
312,,Merlot Ad Nonam,Mosole,,16,"€ 52,00",7,
313,,Lorenzo Begali,,,,,,
314,,Amarone Cru Monte Ca’Bianca ,Lorenzo Begali,Magnum,‘06,"€ 140,00",1,
315,,Amarone Cru Monte Ca’Bianca,Lorenzo Begali,Magnum,13,"€ 150,00",2,
316,,Zenato,,,,,,
