"type","size","storage_area","name1","name2","winery","vintage","qty","purchase_price_eur","sales_price_eur",,,
"RED","BOTTLE","H1","Nerello Mascalese","Contrada","Passopisciaro",2021,6,34.00 €,76.00 €,,,
"RED","BOTTLE","MAG","Pinot Nero","Vinschgau","K. Meran",2022,0,13.30 €,36.00 €,,,
"RED","BOTTLE","F3","Pinot Nero","Mason di Mason","Manincor",2021,18,45.00 €,98.00 €,,,
"RED","BOTTLE","F4","Pinot Nero","Mazzon","W. Gottardi",2019,18,21.40 €,52.00 €,,,
"RED","BOTTLE","E4","Pinot Nero","Thaler Hof","Maso Thaler",2021,30,14.50 €,44.00 €,,,
"RED","BOTTLE","F1","Pinot Nero Riserva","Thaler Hof","Maso Thaler 680",2016,4,22.00 €,72.00 €,,,
"RED","BOTTLE","F3","Pinot Nero","Riserva","Stroblhof",2020,10,29.40 €,69.00 €,,,
"RED","BOTTLE","E2","Pinot Nero","Sepp Hanni ","Stroblhof",2019,4,56.00 €,116.00 €,,,
"RED","BOTTLE","I2","Pinot Nero","Gevrey Chambertin","Harmand Geoffroy",2021,12,42.50 €,96.00 €,,,
"RED","BOTTLE","I2","Pinot Nero","Gevrey Chambertin","Harmand Geoffroy",2019,2,39.50 €,96.00 €,,,
"RED","BOTTLE","E2","Pinot Nero Riserva","Vigna Ganger","Girlan",2020,4,80.00 €,176.00 €,,,
"RED","BOTTLE","F4","Pinot Nero","Riserva","Wildmonn",2019,4,45.00 €,106.00 €,,,
"RED","BOTTLE","F4","Pinot Nero","Riserva","Wildmonn",2020,6,50.00 €,106.00 €,,,
"RED","BOTTLE","F1","Pinot Nero","Flora","Girlan",2022,20,18.00 €,48.00 €,,,
"RED","BOTTLE","E2","Pinot Nero","Aton","Elena Walch",2019,3,96.00 €,182.00 €,,,
"RED","BOTTLE","E4","Pinot Nero","Vom Lehm","Rohregger",2021,16,29.50 €,68.00 €,,,
"RED","BOTTLE","H2","Pinot Nero","Spatburgunder","Salwey",2019,23,20.50 €,54.00 €,,,
"RED","BOTTLE","J1","Pinot Noir","Volnay 1er Cru Clos..","Rossignol",2019,8,82.00 €,162.00 €,,,
"RED","BOTTLE","MAG","Pinot Nero","Chambolle Musigny Vieil V.","Lignier Michelot",2021,6,38.25 €,88.00 €,,,
"RED","BOTTLE",,"Pinot Nero","1er Cru Vosne Romanée","Aurélien Verdet",2017,2,82.00 €,196.00 €,,,
"RED","BOTTLE","I2","Pinot Nero","Vosne-Romanèe V.V.","Aurélien Verdet",2020,6,65.00 €,138.00 €,,,
"RED","BOTTLE","J4","Pinot Nero Riserva","Pommard","Billard Pere & Fills",2022,6,48.00 €,104.00 €,,,
"RED","BOTTLE","J2","Pinot Nero","Bourgogne","Mark Haisma",2022,20,27.50 €,68.00 €,,,
"RED","BOTTLE","J4","Poulsard","Arbois","Domaine A. Guillot",2022,28,18.90 €,48.00 €,,,
"RED","BOTTLE","J5","Sangiovese","Brunó","Tassi Fabio",2019,4,18.00 €,48.00 €,,,
"RED","BOTTLE","J5","Sangiovese","Caparsino","Caparsa",2018,18,27.00 €,64.00 €,,,
"RED","BOTTLE","MAG","Sangiovese","La Gioia","Riecine",2019,12,41.10 €,98.00 €,,,
