type,prefix,name,winery,internal_notes,size,vintage,ricavo,purchase_price,sales_price,qty
,,Il San Lorenzo,Fattoria San Lorenzo,,,2008,31,40 €, 80.00 € ,1
,,Trebbiano d'Abruzzo,Emidio Pepe,,,2019,59,43 €, 112.00 € ,9
,,Pecorino d´Abruzzo,Emidio Pepe,,,2021,59,43 €, 112.00 € ,4
,,Albarino Pazo Barrantes,Marques Murrieta,,,2019,,42 €, 102.00 € ,5
,,Condrieu Combe Malleval,Ogier,,,2022,,57 €, 140.00 € ,2
,,Trebbiano ,Monteraponi,,,2022,,58 €, 118.00 € ,5
,,Clos de la Coulee de Serrant,Nicolas Joly,,,2015,58,75 €, 150.00 € ,1
,,FMC,Ken Forrester,,,2020,,72 €, 165.00 € ,5
,,SCHIST,Mullineux,,,2023,,83 €, NON IN LIST,3
,,GRANITE,Mullineux,,,2023,,83 €, NON IN LIST,3
,,Gutedel Jaspis Hoch 104,Ziereisen,,,2020,83,116 €, 225.00 € ,4
,White,Mareneve,Federico Graziani,,,2021,30,37 €, 75.00 € ,0
,,Etna Bianco ,Terre Nere,,,2022,23,24 €, 52.00 € ,5
