"name","winery","vintage","size","sales_price_eur","purchase_price","storage_area"
"Lagrein Gries Riserva „Select“","Rottensteiner",2021,0.75,€ 49.00,€ 16.20,"Hauptlager"
"Lagrein Riserva „Barbagòl“","Laimburg",2020,0.75,€ 53.00,€ 18.80,"Hauptlager"
"Lagrein Gries Ris. „Prestige Line“","Bozen",2021,0.75,€ 55.00,€ 19.20,"Hauptlager"
"Lagrein Riserva „Klassisch“","Unterganzner",2021,0.75,€ 57.00,€ 18.40,"Hauptlager"
"Lagrein Riserva „Rotes Bergwerk“","Kiemberger","2018/2019",0.75,€ 59.00,€ 18.85,"Hauptlager"
"Lagrein Riserva „Lagröll“","St. Pauls",2021,0.75,€ 60.00,€ 21.00,"Hauptlager"
"Lagrein Riserva „Carano”","Baron di Pauli",2019,0.75,€ 61.00,€ 22.40,"Hauptlager"
"Lagrein Riserva „Abtei Muri“","Muri Gries",2021,0.75,€ 65.00,€ 19.90,"Hauptlager"
"Lagrein Riserva „Tor di Lupo”","Andrian","2020/2021",0.75,€ 69.00,€ 27.70,"Hauptlager"
"Lagrein Riserva „Mirell“","Waldgries",2019,0.75,€ 78.00,€ 30.95,"Hauptlager"
"Lagrein Riserva „Taber“","Bozen","2020/2021",0.75,€ 83.00,€ 31.50,"Hauptlager"
"Lagrein Riserva „Porphyr“","Terlan","2019/2020",0.75,€ 94.00,€ 35.90,"Hauptlager"
"Lagrein Riserva „Raut“","Luis Wine",2019,0.75,€ 98.00,€ 39.70,"Hauptlager"
"Lamarein","Unterganzner","2021/2022",0.75,€ 145.00,€ 46.15,"Hauptlager"
"Lagrein Riserva „Perflabilis“","Griesbauerhof",2018,0.75,€ 155.00,€ 55.10,"Hauptlager"
"Lagrein Riserva „Roblinus de' Waldgries“","Waldgries","2016/2017",0.75,€ 161.00,€ 71.80,"Hauptlager"
"Lagrein Ris. „Weing. Klosteranger“","Muri Gries",2017,0.75,€ 168.00,€ 50.00,"Hauptlager"
"Merlot „Fihl“","Peter Dipoli",2020,0.75,€ 44.00,€ 12.60,"Hauptlager"
"Merlot „Black“","Bozen",2021,0.75,€ 47.00,€ 12.56,"Hauptlager"
"Merlot Riserva „Staffes“","Kornell","2020/2021",0.75,€ 53.00,€ 18.50,"Hauptlager"
"Merlot Riserva „Nussbaum“","Klosterhof",2020,0.75,€ 59.00,€ 20.20,"Hauptlager"
"Merlot Riserva „Nussleiten“","Castel Sallegg",2018,0.75,€ 80.00,€ 32.00,"Hauptlager"
"Merlot Riserva „DJJ“","Niklas",2021,0.75,€ 83.00,€ 32.50,"Hauptlager"
"Merlot Riserva „Gant“","Andrian","2020/2021",0.75,€ 85.00,€ 34.70,"Hauptlager"
"Merlot „Vecchie Viti MCMLVII“ Bio","Alois Lageder",2019,0.75,€ 87.00,€ 34.25,"Hauptlager"
"Merlot Riserva „LONA“","St. Pauls","2020/2021",0.75,€ 92.00,€ 37.00,"Hauptlager"
"Cabernet S. „Istrice“","Elena Walch",2022,0.75,€ 49.00,€ 17.95,"Hauptlager"
"Cabernet S. Ris. „Sass Roà“","Laimburg",2020,0.75,€ 53.00,€ 17.50,"Hauptlager"
"Cabernet S. Riserva „Idea”","Seeperle","2019/2020",0.75,€ 55.00,€ 20.20,"Hauptlager"
"Cabernet S. Riserva „Klassisch“","Wassererhof ","2019/2020",0.75,€ 59.00,€ 21.30,"Hauptlager"
"Cabernet S. Ris.„COR Römigberg“","Alois Lageder","2016/2017",0.75,€ 95.00,€ 37.45,"Hauptlager"
"Cabernet S. Ris. „Höhepunkt“","Seeperle",2017,0.75,€ 105.00,€ 42.00,"Hauptlager"
"Cabernet Sauvignon „Lafóa“","Schreckbichl","2016/2017",0.75,€ 135.00,€ 55.00,"Hauptlager"
"Cuvée „Mumbolt“","Wassererhof ",2022,0.75,€ 44.00,€ 14.00,"Hauptlager"
"Cuvée „Il Conte“ Bio","Manincor",2022,0.75,€ 48.00,€ 13.55,"Hauptlager"
"Cuvée „Yhrn“","Schloss Plars",2022,0.75,€ 53.00,€ 20.00,"Hauptlager"
"Cuvée „Staffelfeld“","Baron Widmann",2021,0.75,€ 57.00,€ 17.00,"Hauptlager"
"Cuvée „Cassiano“ Bio","Manincor",2021,0.75,€ 63.00,€ 24.90,"Hauptlager"
"Rot „Wellenburg","Baron Longo",2019,0.75,€ 63.00,€ 22.00,"Hauptlager"
"Cuvée „Mauritius“","Bozen",2021,0.75,€ 65.00,€ 25.00,"Hauptlager"
"„Amistar“ Rot","Peter Sölva & Söhne",2021,0.75,€ 65.00,€ 25.00,"Hauptlager"
"Rot „Casòn Hirschprunn“ Bio","Alois Lageder","2019/2020",0.75,€ 68.00,€ 25.70,"Hauptlager"
"Arzio","Baron di Pauli","2019/2020",0.75,€ 73.00,€ 28.80,"Hauptlager"
"Col de Réy","Laimburg",2018,0.75,€ 75.00,€ 28.20,"Hauptlager"
"Iugum","Peter Dipoli",2018,0.75,€ 79.00,€ 30.75,"Hauptlager"
"Loam","Tramin",2021,0.75,€ 82.00,€ 33.00,"Hauptlager"
"Sagittarius","Kränzelhof",2019,0.75,€ 85.00,€ 33.30,"Hauptlager"
"Kermesse","Elena Walch",2019,0.75,€ 106.00,€ 44.10,"Hauptlager"
"Rot „Viribus Unitis“","Kiemberger",2017,0.75,€ 115.00,€ 48.60,"Hauptlager"
"Composition „Reif“","Unterganzner","2021/2022",0.75,€ 125.00,€ 36.90,"Hauptlager"
"Historischer Satz „Löwengang“","Alois Lageder",2021,0.75,€ 128.00,€ 53.50,"Hauptlager"
"Amistar Edizione","Peter Sölva & Söhne","2019/2020",0.75,€ 147.00,€ 62.00,"Hauptlager"
"Cuvée „TAL 1908“ Rot","Bozen",2020,0.75,€ 171.00,€ 81.00,"Hauptlager"
"Cuvée „Rosso Planus“","Dorigati",2019,0.75,€ 38.00,€ 9.80,"Hauptlager"
"Tiroldego Gold","Dorigati",2019,0.75,€ 48.00,€ 8.82,"Hauptlager"
"Teroldego Rotaliano Superiore Ris. „Luigi“","Dorigati","2018/2019",0.75,€ 68.00,€ 25.40,"Hauptlager"
"Valpolicella „Classico“","Secondo Marco",2019,0.75,€ 45.00,€ 10.15,"Hauptlager"
