ok,external_id,type,name,winery_name,storage_area,size,vintage,price,info,quantity,internal_notes,matched_name,matched_winery_name,matched_id,matched_original_id,score,score
TRUE,116,WHITE,manna,Franz Haas,,BOTTLE,2018,6400,,2,,Manna Schweizer,Franz Haas,wine_01h0my5rjcmap9n1dhfr7akpc4,,"3,784,336",
TRUE,116,WHITE,manna,Franz Haas,,BOTTLE,2019,6400,,3,,Manna Schweizer,Franz Haas,wine_01h0my5rjcmap9n1dhfr7akpc4,,"3,784,336",
TRUE,116,WHITE,manna,Franz Haas,,BOTTLE,2020,6400,,4,,Manna Schweizer,Franz Haas,wine_01h0my5rjcmap9n1dhfr7akpc4,,"3,784,336",
TRUE,117,WHITE,manna,Franz Haas,,MAGNUM,2020,12000,,20,,Manna Schweizer,Franz Haas,wine_01h0my5rjcmap9n1dhfr7akpc4,,"3,784,336",
TRUE,118,WHITE,kerner,Abbazia di Novacella,,BOTTLE,2020,3000,,0,,Kerner,Abbazia di Novacella (Stiftskellerei Neustift),wine_01h0my5rbqjpgn2ad4n76skame,,"34,979,115",
TRUE,119,WHITE,"kerner ""praepositus""",Abbazia di Novacella,,BOTTLE,2020,4200,,9,,Praepositus Kerner,Abbazia di Novacella (Stiftskellerei Neustift),wine_01h0my5rbqpkdt1kxf4qvpa0ev,,"46,462,234",
TRUE,119,WHITE,"kerner ""praepositus""",Abbazia di Novacella,,BOTTLE,2022,4200,,19,,Praepositus Kerner,Abbazia di Novacella (Stiftskellerei Neustift),wine_01h0my5rbqpkdt1kxf4qvpa0ev,,"46,462,234",
TRUE,120,WHITE,kerner kofererhof,Kofererhof,,BOTTLE,2021,3900,,1,,Kerner,Köfererhof,wine_01h0qzm2436ek6qyh1x0vdg86k,,"3,750,379",
TRUE,120,WHITE,kerner kofererhof,Kofererhof,,BOTTLE,2022,3900,,14,,Kerner,Köfererhof,wine_01h0qzm2436ek6qyh1x0vdg86k,,"3,750,379",
TRUE,121,WHITE,müller thurgau,Elena Walch,,BOTTLE,2021,2300,,4,,Müller Thurgau Vigneti delle Dolomiti,Elena Walch,wine_01gzr4kt16pch5qe8pvsprny59,,"46,595,673",
TRUE,122,WHITE,"pinot bianco ""moriz""",Tramin,,BOTTLE,2020,3000,,5,,Pinot Bianco Moriz,Tramin,wine_01h0sq47xghzwh9sccqzm8wxhj,,"4,072,209",
TRUE,122,WHITE,"pinot bianco ""moriz""",Tramin,,BOTTLE,2022,3000,,5,,Pinot Bianco Moriz,Tramin,wine_01h0sq47xghzwh9sccqzm8wxhj,,"4,072,209",
