external_id,name_one,name_two,size,winery_name,country,vintage,currency,price,quantity,
173,Uve Carate Bianco Doc ,,,Castello di Buttrio,,‘20,€,"€ 75,00",6,
174,Malvasia ,,,Tenuta Stella,,21,,,1,
175,Malvasia ,,,Schioppetto,,‘21,€,"€ 42,00",5,
176,Malvasia,,,Amphoreus Paraschos,,19,€,"€ 75,00",4,
177,,,,,,,,,,
178,Veneto,,,,,‘19,€,,,
179,Soave classico Montesei ,Classico,,Le Battistelle,,‘22,€,"€ 18,00",10,
180,Soave ,,,Bertani,,22,€,"€ 33,00",4,
181,Soave ,Cuvée Speciale ,,Az. Agr. Inama,,‘21,€,,3,
182,Soave Classico DOC I Palchi Foscarino,Grande Cuvée,,Az. Agr. Inama,,,€,"€ 80,00","12 ‘19, 26 ‘20",
183,Soave Classico DOC I Palchi Foscarino,Grande Cuvée,Magnum,Az. Agr. Inama,,,€,"€ 160,00","2 ‘19, 3 ‘20",
184,Soave Classico DOC Foscarino,,,Az. Agr. Inama,,,€,"€ 50,00", 2 ‘20 64 ‘21,
185,Soave Classico DOC Foscarino,,Magnum,Az. Agr. Inama,,‘20,€,"€ 110,00",4,
186,Soave Classico Du Lot Collection ,,,Az. Agr. Inama,,‘18,€,"€ 75,00",11,
187,Soave Classico Du Lot Collection ,,Magnum,Az. Agr. Inama,,‘18,€,"€ 140,00",3,
188,Sauvignon Vulcaia Fumé ,,,Az. Agr. Inama,,,€,"€ 75,00","18 ‘20, 6 ‘21",
189,Sauvignon Vulcaia Fumé ,,Magnum,Az. Agr. Inama,,‘20,€,"€ 140,00",4,
190,Lugana Oasi Mantellina,,,Allegrini,,22,€,"€ 33,00",5,
191,Incrocio Manzoni,,,Loredan Gasparini,,23,€,,,
192,Ribolla Gialla ,,,Loredan Gasparini,,‘22,€,"€ 35,00",,
193,Bucce,,,Marco Mosconi,,,,"€ 34,00","2 ‘19, 3 ‘20",
194,Vivo vino bianco,,,De Martin A &G,,23?,,,6,
195,Pinot Grigio ,,,Marco Levis,,‘20,€,,5,
196,,,,,,,,,,
197,Umbria,,,,,,,,,
198,Cervaro della Sala,,,Marchesi Antinori,,13,€,"€ 120,00",2,
199,Cervaro della Sala ,,,Marchesi Antinori,,14,€,"€ 120,00",,
200,,,,,,,,,,
201,Puglia,,,,,,,,,
202,Prenhite Verdeca Salento IGP,,,Vespa Vignaioli,,,,,,
203,Fiano Salento IGP,,,Vespa Vignaioli,,,€,"€ 18,00","1 ‘19, 1, ‘18",Esce
204,,,,,,,,,,
205,Sardegna,,,,,,,,,
206,Capichera Bianco IGT,,,Capichera,,5,€,"€ 52,00",2,
207,"Vermentino di Sardegna ""Cala Silente""",,,Santadi,,19,€,"€ 21,00",2,
208,Vernaccia Extra ,,,Produttori riuniti,,68,,,1,
209,,,,,,,,,,
