external_id,name,winery,vintage,size,eur_sales_price,qty
210,Wildmonn Riserva 2020,Weingut Wildmonn,2020,BOTTLE,98,6
211,Südtiroler Blauburgunder Mazzon 2019,Weingut Gottardi,2019,BOTTLE,41,6
212,Lagrein 2020,Weinmanufaktur Luis Oberrauch,2020,BOTTLE,41,0
213,Gries Riserva 2021,Kellerei Terlan,2021,BOTTLE,42,16
214,Taber Riserva 2021,Kellerei Bozen,2021,BOTTLE,66,3
215,Perl 2022,Kellerei Bozen,2022,BOTTLE,36,6
216,Porphyr Riserva 2020,Kellerei Terlan,2020,BOTTLE,69,2
217,Rotes Bergwerk 2018,Weingut Kiemberger,2018,BOTTLE,43,4
218,Lagrein Riserva Weingarten Klosteranger 2020,Klosterkellerei Muri Gries,2020,BOTTLE,103,2
219,Segen Riserva,Kellerei Meran,2019,BOTTLE,42,20
220,Segen Riserva,Kellerei Meran,2014,BOTTLE,60,4
221,Segen Riserva,Kellerei Meran,2011,BOTTLE,70,4
222,Prestige Grieser Lagrein Riserva 2020,Kellerei Bozen,2020,BOTTLE,43,6
223,Laianus Riserva 2018,Weingut Klaus Lentsch,2018,BOTTLE,53,3
224,Mirell Riserva 2020,Ansitz Waldgries,2020,BOTTLE,54,3
225,Lamarein,Weingut Erbhof Unterganzner,2022,BOTTLE,126,3
226,Lamarein,Weingut Erbhof Unterganzner,2021,BOTTLE,136,1
227,Sass Roà Riserva 2020,Landesweingut Laimburg,2020,BOTTLE,44,3
228,Kirchhügel Riserva 2020,Kellerei Kurtatsch,2020,BOTTLE,37,4
229,COR Römigberg 2018,Weingut Alois Lageder,2018,BOTTLE,73,6
230,Freienfeld Riserva,Kellerei Kurtatsch,2020,BOTTLE,65,5
231,Freienfeld Riserva,Kellerei Kurtatsch,2011,BOTTLE,89,2
232,Mumelter Riserva 2019,Kellerei Bozen,2019,BOTTLE,54,3
233,Staffes Riserva,Weingut Kornell,2020,BOTTLE,41,2
234,Staffes Riserva,Weingut Kornell,2015,BOTTLE,51,2
235,Quintessenz Riserva 2020,Kellerei Kaltern,2020,BOTTLE,49,4
236,Cabernet Riserva,Weingut Wassererhof,2019,BOTTLE,44,2
237,Cabernet Riserva,Weingut Wassererhof,2017,BOTTLE,50,4
238,Cabernet Riserva,Weingut Wassererhof,2016,BOTTLE,53,2
239,Barleith 2020 ,Bioweinhof Tröpfltalhof,2020,BOTTLE,65,4
240,Vigna Toren Riserva 2020,Schlosskellerei Tiefenbrunner,2020,BOTTLE,154,6
241,Vigna Toren Riserva 2020,Schlosskellerei Tiefenbrunner,2018,MAGNUM,325,1
242,Mauritius 2020 ,Kellerei Bozen,2020,BOTTLE,54,5
243,Col de Réy 2018 ,Landesweingut Laimburg,2018,BOTTLE,59,4
244,Iugum 2017 ,Weingut Peter Dipoli,2017,BOTTLE,57,5
245,Graf Merlot-Lagrein 2022,Kellerei Meran,2022,BOTTLE,38,1
246,Composition Reif 2022 ,Weingut Erbhof Unterganzner,2022,BOTTLE,68,6
247,Castel Campan 2020 ,Weingut Manincor,2020,BOTTLE,109,5
248,Mumbolt 2021 ,Wassererhof,2021,BOTTLE,41,5
249,Linticlarus Riserva 2021 ,Schlosskellerei Tiefenbrunner,2021,BOTTLE,61,6
250,Viribus Unitis 2018 ,Weingut Andi Sölva und Norbert Kofler,2018,BOTTLE,84,3
251,Frauenriegel 2020 ,Weingut Peter Dipoli,2020,BOTTLE,59,4
252,Kunstwerk der Natur Sagittarius 2019,Weingut Kränzelhof,2019,BOTTLE,63,5
253,Staffelfeld 2020 ,Weingut Baron Widmann,2020,BOTTLE,46,4
254,Cassiano 2020 ,Weingut Manincor,2020,BOTTLE,51,6
255,TRES 2016 ,Kellerei Kurtatsch,2016,BOTTLE,215,2
256,Klaser Stoanadler Riserva 2021 ,Weingut Niklas,2021,BOTTLE,41,5
257,Saperaira 2019,Kellerei Meran,2019,BOTTLE,49,1
258,Barolo Bricco delle Viole 2013,G.D. Vajra,2013,BOTTLE,159,3
259,Barolo 2019,Kellerei Massolino,2019,BOTTLE,57,4
260,Barolo Lazzarito 2019,Kellerei Vietti,2019,BOTTLE,199,4
261,Montebruna 2020,Weingut Braida,2020,BOTTLE,38,4
262,Barbera d’Asti Bricco dell’Uccellone,Weingut Braida,,BOTTLE,81,1
263,Barbera del Monferrato Rivalta 2003,Villa Sparina,2003,BOTTLE,69,0
264,Barbaresco,Weingut Produttori del Barbaresco,2020,BOTTLE,47,10
265,Barbaresco,Weingut Produttori del Barbaresco,2018,BOTTLE,53,2
266,Barbaresco Don Fiarino Riserva 2016,Weingut Produttori del Barbaresco,2016,BOTTLE,79,1
