"name","winery","vintage","size","price"
"Vie di Romans 2022 | CH","""Vie di Romans, Friaul""",2022,"BOTTLE","""51,00 €"""
"Friulano 21","""Agrargesellschaft Torre Rosazza, Friaul""",2021,"BOTTLE","""32,00 €"""
"Chardonnay Toscana 2019","""Monteverro, Grosseto""",2019,"BOTTLE","""125,00 €"""
"Gavi di Gavi 2023 | Cortese","""Villa Sparina, Piemont""",2023,"BOTTLE","""32,00 €"""
"Etna Bianco „Contrada Blandano“ 2018","""Terra Costantino, Sizilien""",2018,"BOTTLE","""43,00 €"""
"Verdicchio di Matelica „M“","""Gàjole, Macerata""",,"BOTTLE","""30,00 €"""
"Soave Superiore 2021","""Dal Cero – Weingut Corte Giacobbe,""",2021,"BOTTLE","""38,00 €"""
"La Rose de Manincor 2023","Weingut Manincor",2023,"BOTTLE","""39,00 €"""
"Pfefferer Pink 2022 | LA","Kellerei Schreckbichl",2022,"BOTTLE","""32,00 €"""
"Rosalie 2022","Kellerei Meran",2022,"BOTTLE","""33,00 €"""
"Bacio Rosa 2021 | PV","Weingut Malavasi",2021,"BOTTLE","""30,00 €"""
"Fallwind 2022 | PN","Kellerei St. Michael/Eppan",2022,"BOTTLE","""33,00 €"""
"Mathilde 2022 | PN","Innerleiterhof",2022,"BOTTLE","""38,00 €"""
"""Morgenrot 2022 | LA, ZW, PN""","Himmelreich-Hof",2022,"BOTTLE","""37,00 €"""
"""Flaschenpost 2018 | LA, VT, CF (0,5 l)""","Kiemberger",2018,"HALF_LITER","""29,00 €"""
"Rosa 2021 | SA","Kellerei Dei",2021,"BOTTLE","""32,00 €"""
"Calafuria 2022 | NE","Weingut Tormaresca",2022,"BOTTLE","""34,00 €"""
"Deciso | R","""Vinuci Monteverde Saggio, Bozen""",,"BOTTLE","""31,00 €"""
"Flein Sauvignon Blanc","Kellerei Kurtatsch",,"BOTTLE","""29,00 €"""
"Flein Moscato","Kellerei Kurtatsch",,"BOTTLE","""29,00 €"""
"Eins-Zwei-Zero Chardonnay","""Weingut Leitz, Deutschland""",,"BOTTLE","""27,00 €"""
"Eins-Zwei-Zero Rosé | PN","""Weingut Leitz, Deutschland""",,"BOTTLE","""27,00 €"""
"Zero Point Five Pinot Noir","""Weingut Leitz, Deutschland""",,"BOTTLE","""27,00 €"""
"Roseppi 2022 | PN","Weingut Seppi",2022,"BOTTLE","""35,00 €"""
"""Sof Toskana Rosé 2022 | CF, SY""","Weingut Biserno",2022,"BOTTLE","""42,00 €"""
"Leggero 2021","Weingut Pranzegg",2021,"BOTTLE","""33,00 €"""
"Quintessenz 2021","Kellerei Kaltern",2021,"BOTTLE","""33,00 €"""
"Upupa Rot Alte Reben 2021","Weingut Abraham",2021,"BOTTLE","""36,00 €"""
"Versal 2018","Weingut Oberstein",2018,"BOTTLE","""33,00 €"""
"ROT 2019","Weinmanufaktur Luis Oberrauch",2019,"BOTTLE","""41,00 €"""
"Fürst Meraner Vernatsch 2020","Kellerei Meran",2020,"BOTTLE","""37,00 €"""
"St. Magdalener Classico 2020","Weingut Wassererhof",2020,"BOTTLE","""34,00 €"""
"St. Magdalener Klassisch 2022","Weingut Erbhof Unterganzner",2022,"BOTTLE","""35,00 €"""
"""Kalterersee Auslese """"Sea"""" 2021""","Weingut Andi Sölva",2021,"BOTTLE","""38,00 €"""
"Gant 2020","Kellerei Andrian",2020,"BOTTLE","""52,00 €"""
"Siebeneich Merlot Riserva 2020","Kellerei Schreckbichl",2020,"BOTTLE","""39,00 €"""
"Merlot 2023","Weingut Elena Walch",2023,"BOTTLE","""38,00 €"""
"Vigna Kressfeld Merlot Riserva","Weingut Kornell",2017,"BOTTLE","""81,00 €"
"Vigna Kressfeld Merlot Riserva","Weingut Kornell",2015,"BOTTLE","95,00 € "
"Vigna Kressfeld Merlot Riserva","Weingut Kornell",2013,"BOTTLE","109,00 € "
"Merlot Riserva Nussbaum 2020","Weingut Klosterhof",2020,"BOTTLE","""48,00 €"""
"Merlot Riserva 2019","Schlossweingut Stachlburg Baron von Kripp",2019,"BOTTLE","""42,00 €"""
"Levad 2020","Kellerei Nals Margreid",2020,"BOTTLE","""38,00 €"""
"DJJ Merlot Riserva 2021","Weingut Niklas",2021,"BOTTLE","""63,00 €"""
"Brenntal Merlot Riserva 2020","Kellerei Kurtatsch",2020,"BOTTLE","""58,00 €"""
"Siebeneich Merlot Riserva","Kellerei Terlan",2016,"BOTTLE","""69,00 €"
"Siebeneich Merlot Riserva","Kellerei Terlan",2014,"BOTTLE","79,00 € "
"Zeno Blauburgunder Riserva","Kellerei Meran",2019,"BOTTLE","""44,00 €"
