"type","name","qty","eur_sales_price","eur_purchase_price"
"SPARKLING","Prosecco Superiore Extra Dry Sui Nui ",19.00,27.00 €,513.00 €
"SPARKLING","Südtiroler Sekt  600 Blanc de Blances Kellerei Kurtatsch ",7.00,56.00 €,392.00 €
"SPARKLING","Südtiroler Sekt  Pinot Noir 2016 Pfitscher Montan",5.00,65.00 €,325.00 €
"SPARKLING","Südtiroler Sekt Versé Rosé Pitzner Kardaun",18.00,38.00 €,684.00 €
"SPARKLING","Trentodoc Brut Nature Opera ",14.00,55.00 €,770.00 €
"SPARKLING","Trentodoc Riserva Graal Brut 2013 Altemasi",1.00,85.00 €,85.00 €
"SPARKLING","Trentodoc Riserva Graal Brut 2011 Altemasi ",1.00,85.00 €,85.00 €
"SPARKLING","Trentodoc Riserva Graal Brut 2009 Altemasi ",1.00,85.00 €,85.00 €
"SPARKLING","Trentodoc Riserva del Fondatore Extra Brut 2009 Giulio Ferrari MAGNUM",1.00,430.00 €,430.00 €
"SPARKLING","Schaumwein A Lorenzo Extra Brut Pinot Noir Luca Bellani Lombardei ",4.00,60.00 €,240.00 €
"SPARKLING","Pinot Noir Sekt Blanc de Noirs 2017 Heymann-Löwenstein Mosel",1.00,64.00 €,64.00 €
"SPARKLING","Comtes de Champagne Prestige Cuveé 2012 Brut Taittinger ",1.00,240.00 €,240.00 €
"SPARKLING","Initial Grand Cru Brut Jacques Selosse ",4.00,290.00 €,"1,160.00 €"
"SPARKLING","Fleur de Craie Brut Nature Barrat-Masson",1.00,90.00 €,90.00 €
"SPARKLING","Latitude Extra Brut Larmandier-Bernier",9.00,105.00 €,945.00 €
"SPARKLING","Terre de Vetrus 2016 Brut Nature Larmandier-Bernier ",6.00,136.00 €,816.00 €
"SPARKLING","Terre de Vetrus 2015 Brut Nature Larmandier-Bernier ",2.00,136.00 €,272.00 €
"SPARKLING","Vieille Vigne du Levant 2013 Grand Cru Brut Nature Larmandier-Bernier",5.00,185.00 €,925.00 €
"SPARKLING","Ozanne Grand Cru Brut Michel Fallon ",4.00,360.00 €,"1,440.00 €"
"SPARKLING","Cramant Grand Cru 2018 Pertois-Moriset",2.00,135.00 €,270.00 €
"SPARKLING","Les Quatre Terroirs Grand Cru Extra Brut Pertois Moriset",6.00,93.00 €,558.00 €
"SPARKLING","Substance Grand Cru Extra Brut Jacques Selosse",2.00,750.00 €,"1,500.00 €"
"SPARKLING","Mi-Pentes Premier Cru Extra Brut Lacourte-Godbillon",6.00,118.00 €,708.00 €
"SPARKLING","Eugene (M/PN) Extra Brut Moussé Fils",3.00,69.00 €,207.00 €
"SPARKLING","La Vigne D'Or Blanc de Meuniers Brut Nature Tarlant",2.00,175.00 €,350.00 €
"SPARKLING","Montchenot 2019 Extra Brut Nicolas Maillart ",6.00,118.00 €,708.00 €
"SPARKLING","Zero (PN/CH/M) Brut Nature Tarlant",7.00,95.00 €,665.00 €
"SPARKLING","Les Petites Vignes Grand Cru (PN) Brut non dosé Aurore Casanova",3.00,152.00 €,456.00 €
"SPARKLING","Dans un Premier Temps (CH/ PN/M) Extra Brut Dhondt-Grellet",5.00,115.00 €,575.00 €
"SPARKLING","Millesime 2013 (CH/PN/M) Brut Nature Philippe Gamet",1.00,95.00 €,95.00 €
"SPARKLING","Grand Réserve (CH/PN/M) Brut Gosset",3.00,99.00 €,297.00 €
"SPARKLING","Sainte Anne (M/CH/PN) Brut Chartogne-Taillet",4.00,94.00 €,376.00 €
"SPARKLING","Royal Réserve (PN/CH/M) Brut Philipponnat",5.00,85.00 €,425.00 €
"SPARKLING","Les Premices (CH/M/PN) Brut Egly-Ouriet",1.00,105.00 €,105.00 €
"SPARKLING","Grand Cru 2018 (PN/CH) Extra Brut Egly-Ouriet",1.00,160.00 €,160.00 €
"SPARKLING","Reliance (M/PN/CH) Brut Nature Franck Pascal",2.00,95.00 €,190.00 €
"SPARKLING","Libérance 2015 (M/PN/CH) Franck Pascal",1.00,115.00 €,115.00 €
"SPARKLING","Pacifiance (M/PN/CH) Brut Nature Franck Pascal",3.00,175.00 €,525.00 €
"SPARKLING","Quinte-Essence 2013 (M/CH) Extra Brut Franck Pascal",1.00,115.00 €,115.00 €
"SPARKLING","Quinte-Essence 2010 (M/CH) Extra Brut Franck Pascal",1.00,120.00 €,120.00 €
"SPARKLING","Quinte-Essence 2008 (M/CH) Extra Brut Franck Pascal",1.00,160.00 €,160.00 €
"SPARKLING","Quinte-Essence 2007 (M/CH) Extra Brut Franck Pascal",3.00,125.00 €,375.00 €
"SPARKLING","Les jeunes pousses (CH/PN/M) Brut Copin Cautel",1.00,65.00 €,65.00 €
"SPARKLING","Influence (PN/M/CH) Brut Miniere F&R",7.00,115.00 €,805.00 €
"SPARKLING","Chemin des Rois (PN/CH) Brut Nature Vincent Cuillier",1.00,79.00 €,79.00 €
"SPARKLING","Cuvée Millésimé 2013 (CH/PN/PM) Brut Jean-Marie Massonot",2.00,95.00 €,190.00 €
"SPARKLING","Plantine (PN/CH/M) Extra Brut Nicolas Maillart ",2.00,85.00 €,170.00 €
"SPARKLING","Garennes (M/CH) Extra Brut Georges Laval",3.00,155.00 €,465.00 €
"SPARKLING","Cuvée Louise 2004 (PN/CH) Brut Nature Tarlant ",2.00,158.00 €,316.00 €
"SPARKLING","Vignes de mon village (M) Brut Nature Famille Moussé",2.00,105.00 €,210.00 €
"SPARKLING","Chassenay D'Arce 2012 (PB) Extra Brut Maison de Vignerons ",2.00,89.00 €,178.00 €
"SPARKLING","Cumiéres Premier Cru (M) Brut Nature Georges Laval ",6.00,162.00 €,972.00 €
"SPARKLING_ROSE","Rosé (CH/PN) Brut Chartogne Taillet",2.00,108.00 €,216.00 €
"SPARKLING_ROSE","Influence Rosé (PN/M/CH) Miniere F&R ",12.00,118.00 €,"1,416.00 €"
"SPARKLING_ROSE","Grand Rosé Brut Gosset",1.00,120.00 €,120.00 €
"SPARKLING_ROSE","Prestige Rosé Brut Taittinger",4.00,100.00 €,400.00 €
"SPARKLING_ROSE","Rosé Premier Cru Extra Brut Lacourte Godbillon ",4.00,100.00 €,400.00 €
