type,winery,name,size,vintage,supplier,price_eur,qty,Storage_1,Storage_2,Storage_3,purchase_price_inclvat
DESSERT,Vignalta Colli Euganei,Fior d'arancio Moscato Giallo Charmat,,,,30 €,3,totem,Frigo bianchi,, 8 € 
DESSERT,Zorzettig,"Picolit 0,50 Lt",HALF_LITER,2019,,60 €,4,tav10,,, 29 € 
WHITE,Alain Geoffroy,Chablis Vieilles Vignes,,2021,,50 €,4,Frigo Sala dx,,, 19 € 
WHITE,Borgo San Daniele,Arbis Blanc,,2021,,40 €,5,s1,,,
WHITE,Borgo San Daniele,Friulano,,2022,,30 €,3,s1,Frigo friulani,, 11 € 
WHITE,Borgo San Daniele,Friulano,,2023,,40 €,24,s1,Frigo friulani,, 14 € 
WHITE,Borgo San Daniele,Jiasik Bianco Riesling e Malvasia,,2023,,25 €,20,carni terra,Frigo bianchi,bar007, 10 € 
WHITE,Borgo San Daniele,Malvasia doc,,2023,,30 €,7,carni terra,Frigo bianchi,, 11 € 
WHITE,Borgo San Daniele,Pinot Grigio,,,,30 €,5,s1,,,
WHITE,Bozzon Emilio,Plumbus ,,,,,1,tav10-top,,, 1 € 
WHITE,Brandolini,Bianca,,2020,,50 €,4,s1,,, 23 € 
WHITE,Brandolini,Friulano,,2023,,25 €,2,Frigo friulani,,, 6 € 
WHITE,Bressan,Carat (Tocai-Malvasia-Ribolla),,2018,,90 €,2,Frigo bianchi,,, 32 € 
WHITE,Bressani,Friulano,,2022,,25 €,2,Frigo friulani,,, 10 € 
WHITE,Carolina Gatti,Bolle Bandite,,,,,1,tav10-top,,,
WHITE,Carolina Gatti,Canaja,,,,35 €,1,MAG,,, 14 € 
WHITE,Cesconi,Manzoni Bianco,,2023,,30 €,4,Frigo Sala sx,,, 10 € 
WHITE,Cesconi,Nosiola Vigneti Dolomiti,,2022,,30 €,,,,, 11 € 
WHITE,Colle Duga di Damian Princic,Colle Duga - Collio - Friulano - Vigna del Rolat,,2023,TOLM,36 €,9,Frigo friulani,tav10-top,, 13 € 
WHITE,Colle Duga di Damian Princic,Colle Duga - Collio - Ribolla Gialla,,2022,TOLM,35 €,1,Frigo bianchi,,, 13 € 
