external_id,type,name,winery_name,info,size,vintage,price,purchase_price,quantity,storage_area,internal_notes,visible,purchase_price_inclvat
,RED,Pinot Nero   ,Le Due Terre,,BOTTLE,2018,6000,1803,1,Frigo bianchi,Fornitore: TOLM,True, 22 € 
,RED,Merlot,Le Konde,,BOTTLE,2022,2700,655,5,s2,,True, 8 € 
,RED,Cabernet Sauvignon,Le Monde,,BOTTLE,2022,2700,655,5,s2,,True, 8 € 
,RED,Merlot,Le Monde,,BOTTLE,2022,2700,0,5,s2,,True,0
,RED,Refosco,Le Vigne di Zamò,,BOTTLE,2019,4000,819,1,Frigo bianchi,,True, 10 € 
,RED,Ronco dei Roseti Rosso,Le Vigne di Zamò,,BOTTLE,2001,3000,819,1,Frigo bianchi,,True, 10 € 
,RED,Merlot,Livio Felluga,,BOTTLE,2020,4000,1475,12,s2+Frigo Sala sx+bar007,,True, 18 € 
,RED,Refosco dal Peduncolo Rosso,Livio Felluga,,BOTTLE,2020,4000,1475,6,s2+Frigo Sala sx+bar007,,True, 18 € 
,RED,Sossò,Livio Felluga,,BOTTLE,2016,8000,2868,6,s2 - legno,,True, 35 € 
,RED,Vertigo  - Merlot e Cab.Sauvignon,Livio Felluga,,BOTTLE,2022,2500,901,33,s2+bar007,,True, 11 € 
,RED,Mason - Pinot Nero,Manincor,,BOTTLE,2021,6000,2213,5,tav11,,True, 27 € 
,RED,Merlot Varneri,Marco Felluga,,BOTTLE,2022,2700,737,30,s1+bar008,,True, 9 € 
,RED,Barbaresco Riserva Paja,Marinacci,,BOTTLE,2009,9000,2540,2,bar003,,True, 31 € 
,RED,Dolcetto d'Alba doc,Marinacci,,BOTTLE,2018,3000,737,2,bar003,,True, 9 € 
,RED,Pinot Nero,Masut Da Rive,,BOTTLE,2021,4000,1147,1,Frigo Sala sx,,True, 14 € 
,RED,Zisola  (Nero D'avola doc Noto Sicilia),Mazzei,,BOTTLE,2018,2600,655,1,bar009,,True, 8 € 
,RED,"Real (Tazzelenghe, Mer, C.Sau. Mariotti)",Moschioni,,BOTTLE,2013,5000,1885,2,Frigo Sala sx,,True, 23 € 
,RED,"Real (Tazzelenghe, Mer, C.Sau. Mariotti)",Moschioni,,BOTTLE,2015,5000,1885,0,Frigo Sala sx,,True, 23 € 
,RED,Rosso Celtico (Merlot e Cab Sauvignon Mariotti),Moschioni ,,BOTTLE,2015,5000,1885,7,Frigo Sala sx+bar006,,True, 23 € 
,RED,Ca' Guicciardi - Inferno docg,Nino Negri,,BOTTLE,2019,6000,1885,2,s4,,True, 23 € 
,RED,Castel Chiuro (Conf.Blu) Valt. Super.,Nino Negri,,BOTTLE,2009,10000,2786,1,tav10-top,,True, 34 € 
,RED,Fracia Valgella,Nino Negri,,BOTTLE,2017,5500,1885,1,bar004,,True, 23 € 
,RED,Fracia Valgella,Nino Negri,,BOTTLE,2018,6000,1967,3,s4+tav10,,True, 24 € 
,RED,Giuen Nebbiolo,Nino Negri,,BOTTLE,2021,3000,737,4,bar004,,True, 9 € 
,RED,Sassorosso-Grumello ,Nino Negri,,BOTTLE,2019,6000,1885,5,s4+tav10,,True, 23 € 
,RED,Sfursat 5 Stelle ,Nino Negri,,BOTTLE,2020,9900,4672,2,tav10-top,,True, 57 € 
,RED,Sfursat Valtellina Carlo Negri docg,Nino Negri,,BOTTLE,2017,9000,2459,1,bar004,Fornitore: GIV,True, 30 € 
,RED,Sfursat Valtellina Carlo Negri docg,Nino Negri,,BOTTLE,2019,7000,2049,4,bar004+tav10-top,Fornitore: GIV,True, 25 € 
,RED,Sfursat Valtellina Carlo Negri docg,Nino Negri,,BOTTLE,2021,8000,2459,6,bar004+tav10-top,Fornitore: GIV,True, 30 € 
,RED,Malanotte,Ornella Molon,,BOTTLE,2012,0,81,1,tav10-top,,True, 1 € 
,RED,Bolgheri Ornellaia,Ornellaia Bolgheri,,BOTTLE,2021,0,10245,1,tav10-top,,True, 125 € 
,RED,Biosfera Catarratto Igp,Pellegrino,,BOTTLE,2021,2500,409,4,Frigo Sala sx,,True, 5 € 
,RED,Materico Nero D'avola,Pellegrino,,BOTTLE,2020,2500,409,1,bar009,,True, 5 € 
