type,external_id,name,format,verkaufspreis,vintage,kellerei,einkaufspreis,lagerbereich,bestand
RED,520, Riserva Villa Barthenau Vigna S. Urbano ,"0,75 lt.","€ 115,00",2018,J. Hofstätter,43.5,5,12
RED,521, Riserva Selection Bruno Gottardi ,"0,75 lt.","€ 190,00",2010,Gottardi,,1,3
RED,522, Riserva Vigna Ganger ,"0,75 lt.","€ 195,00",2012,KG. Girlan,80,1,3
RED,523, Riserva Vigna Roccolo ,"0,75 lt.","€ 290,00",2012,Hofstätter,140,1,6
RED,565, Ponkler ,"0,75 lt.","€ 150,00",2016,Franz Haas,50.5,2,24
RED,571, Riserva Wildmonn ,"0,75 lt.","€ 115,00",2020,Wildmonn ,45,3,12
RED,580, Riserva 680 ,"0,75 lt.","€ 65,00",2015,Maso Thaler ,19.5,3,3
RED,524, Prestige Riserva ,"0,75 lt.","€ 49,00",2020,KG. Bozen,19.2,4,48
RED,525, Riserva Taber ,"0,75 lt.","€ 79,00",2020,KG. Bozen,31.5,4,48
RED,526, Riserva Urban ,"0,75 lt.","€ 65,00",2021,KG. Tramin,23.5,4,12
RED,527, Riserva ,"0,75 lt.","€ 55,00",2021,"Untermoserhof, Ramoser",19.3,4,18
RED,528, Riserva ,"0,75 lt.","€ 65,00",2021,Abtei Muri ,20,4,36
RED,530, Riserva Berger Gei ,"0,75 lt.","€ 60,00",2020,Niedriest ,21.7,4,24
RED,531, Riserva Porphyr ,"0,75 lt.","€ 89,00",2021,KG. Terlan ,35.66,4,24
RED,566, Riserva Furggl ,"0,75 lt.",€ 55.00,2020,Zemmer ,17.9,5,24
RED,567, Riserva Mirell ,"0,75 lt.","€ 80,00",2019,Waldgries ,28,3,18
RED,568, Riserva ,"0,75 lt.","€ 60,00",2022,"Glögglhof,Gojer",19.95,4,36
RED,569, Riserva Klosteranger ,"0,75 lt.",€ 145.00,2016,Abtei Muri ,61,3,6
RED,573, Riserva Roblinus ,"0,75 lt.","€ 140,00",2017,Waldgries ,60,3,6
RED,574, Riserva Tor di Lupo ,"0,75 lt.","€ 70,00",2021,KG.Andrian ,26.2,5,24
RED,532, Riserva Campaner ,"0,75 lt.","€ 39,00",2021,KG. Kaltern,11.5,4,30
RED,533, Riserva Mumelter ,"0,75 lt.","€ 59,00",2018,KG. Bozen,25,4,24
RED,534, Istrice ,"0,75 lt.","€ 50,00",2021,Elena Walch,16.25,4,24
RED,535, Löwengang Vigneto Storico ,"0,75 lt.","€ 120,00",2018,Lageder,50,3,6
RED,536, Riserva Vigna Castel Ringberg ,"0,75 lt.",€ 75.00,2018,Elena Walch,29.25,4,12
RED,537, Riserva Lafoa ,"0,75 lt.",€ 130.00,2020,Schreckbichl-Colterenzio,55,4,24
RED,538, Riserva Freienfeld ,"0,75 lt.","€ 95,00",2020,KG.Kurtatsch,39,4,12
RED,500, Riserva Quintessenz ,"0,75 lt.","€ 67,00",2020,KG. Kaltern,25.3,4,12
RED,540, Fihl ,"0,75 lt.","€ 42,00",2020,Dipoli,14,4,36
RED,541, Riserva Vigna Kastelaz ,"0,75 lt.","€ 75,00",2019,Elena Walch,28.15,4,12
RED,543, MM ,"0,75 lt.",€ 160.00,2020,Alois Lageder,70,4,6
RED,544, Riserva Praun ,"0,75 lt.","€ 55,00",2020,KG. Bozen,23,4,12
