name,size,vintage,price
Chassagne Montrachet 1er Cru Lucien le Moine,,2018,24900
Charlemagne Grand Cru Domaine de la Vougeraie,,2019,34000
Batard Montrachet Grand Cru Fontaine Gagnard,,2019,63000
Chablis Premier Cru Vosgros Magnum Gilbert Picq,,2020,19000
Meursault Charmes 1er Cru Magnum Domaine Jean Marie Bouzerau,,2014,35000
Grüner Veltliner Federspiel Nikolaihof,,2020,4500
Riesling Federspiel Nikolaihof,,2020,5000
Riesling Vom Schiefer Ansgar Clusserath,,2017,3500
Riesling Quarzit Peter Jacob Kühn,,2020,7400
Chardonnay Beringer,,2020,3300
Valpolicella Le Salette,,2021,3300
Valpolicella Classico Superiore Zymè,,2018,5700
Valpolicella Ripasso Sartori,,2020,3800
Valpolicella “Ripasso” Campofiorin Masi,,2019,4000
Valpolicella “Ripasso” Palazzo della Torre Allegrini,,2019,4400
Valpolicella Ripassa Zenato,,2019,4700
Valpolicella “Ripasso” Secco Bertani Bertani,,2019,4500
Cabernet Az. Agricola Sutto,,2021,3200
"Merlot ""Ad Nonam"" Tenuta Mosole",,2018,5700
Rosso Riserva (Merlot–Cabernet) Vignalta,,2017,3900
Merlot Colli Berici Dal Maso,,2020,4900
Agno Tinto (Sirah) Vignalta,,2016,4900
Venegazzù della Casa (Cab. Sauv.–Merlot–Cab. F.–Malbec) Loredan Gasparini,,2017,4900
Carmenere Punto Zero,,2018,4800
Venegazzù Capo di Stato (Cab. Sauv.–Cab F.–Merlot–Malbec) Loredan Gasparini,,2017,10500
La Poja (Corvina Veronese) Allegrini,,2017,16000
Terregiunte Masi-Vespa,,2016,17000
Amarone della Valpolicella Reius Sartori,,2017,9500
Amarone della Valpolicella Zenato,,2018,11500
Amarone Costasera Masi,,2018,11000
Amarone Costasera Riserva Masi,,2016,14500
"Amarone ""S. Urbano"" Speri",,2017,9000
Amarone della Valpolicella Bertani,,2012,26000
Amarone della Valpolicella Fieramonte Allegrini,,2013,66000
Amarone della Valpolicella Quintarelli,,2013,44000
Blauburgunder Meczan Hofstätter,,2021,3800
Blauburgunder Elena Walch,,2022,4000
Blauburgunder Gottardi,,2018,6000
Blauburgunder Haidenhof,,2021,5500
Blauburgunder Monticol Cantina Terlano,,2020,5800
Pinot Nero Ris. St. Daniel Colterenzio,,2020,4500
Pinot Nero Franz Hass,,2021,7000
Blauburgunder Mazon Riserva Hofstätter,,2019,6300
Pinot Nero Ludwig Elena Walch,,2020,7800
"Pinot Nero ""Sanct Valentin"" St. Michele Appiano",,2020,8200
"Blauburgunder Barthenau ""Vigna S.Urbano"" Hofstätter",,2017,15000
"Cabernet ""Istrice"" Elena Walch",,2020,4900
Lagrein Perl Cantina Bolzano,,2021,3800
Lagrein Lindenburg Alois Lageder,,2019,6500
Lagrein Dunkel Gries Cantina Terlano,,2020,5500
Lagrain Taber Cantina Bolzano,,2020,9000
Merlot Antiope Morandell,,2022,4000
Merlot Riserva Siebeneich Cantina Terlano,,2018,5500
Merlot Franz Hass,,2020,6300
Merlot Riserva Kastelaz Elena Walch,,2018,8500
Teroldego Foradori,,2021,3800
Teroldego Morei Foradori,,2021,6500
San Leonardo (Cab. Sauv.–Carmenere–Merlot) Marchesi Guerrieri Gonzaga,,2017,20000
Cabernet Sauvignon Lis Neris,,2020,4300
Cabernet Franc Venica,,2020,3800
Sdencina Rosso (Schioppettino-Refosco) Tenuta Stella,,2019,3500
Merlot Tunella,,2021,3500
Merlot Vistorta Conte Brandolini,,2015,5400
Red Angel (Pinot Nero) Jermann,,2020,4500
Refosco Castello di Buttrio,,2019,3800
Schioppettino Borgo Conventi,,2019,3900
Pignolo Tunella,,2018,5500
Vespa Rosso (Merlot–Refosco–Cab. Sauv.) Bastianich,,2016,6000
Sosso' (Merlot-Refosco-Pignolo) Livio Felluga,,2016,9000
Barbera d’Alba Oddero,,2020,3800
Dolcetto d’Alba Ceretto,,2021,3500
Nebbiolo d'Alba Albino Rocca,,2021,4500
Barolo Ceretto,,2018,12000
Barolo Castiglione Vietti,,2019,12000
Barolo Brunate Ceretto,,2016,21000
Barolo Vignarionda Oddero,,2009,37000
Barbaresco Asili Ca Del Baio,,2019,10000
Barbaresco Masseria Vietti,,2019,22000
Barbaresco Camp Gros Martinenga Marchesi di Gresy,,2015,19500
Barbaresco Gaja,,2017,42000
Barbaresco Sori Tildin Gaja,,1996,80500
Villa Antinori Rosso Antinori,,2020,3500
