external_id,full_details,type,quantity,internal_notes,price
v.3964.1994.a,"Avignonesi, Vin Santo di Montepulciano, 1994, 375 ml",,2,100,380
v.9570.1988.b,"Badia a Coltibuono, Vin Santo del Chianti Classico, 1988, 750 ml",,1,35,110
v.61409.2007.m,"Bonotto delle Tezze, Raboso Passito, 2007, 500 ml",,4,14,60
v.61409.2011.m,"Bonotto delle Tezze, Raboso Passito, 2011, 500 ml",,4,12,50
v.61409.2017.m,"Bonotto delle Tezze, Raboso Passito, 2017, 500 ml",,1,10,40
v.12269.2007.m,"Carlo Pellegrino, Passito Naturale di Pantelleria Nes, 2007, 500 ml",,2,9,40
v.12269.2008.m,"Carlo Pellegrino, Passito Naturale di Pantelleria Nes, 2008, 500 ml",,3,10,40
v.61486.2006.a,"Cascina degli Ulivi, C'era una Volta il Passato, 2006, 375 ml",,2,16,70
v.15426.1993.a,"Castello di Ama, Vin Santo Bianco di Toscana, 1993, 375 ml",,2,18,90
v.34978.1995.b,"De Bortoli, Botrytis Semillon Noble One, 1995, 750 ml",,2,20,80
v.3107.1988.b,"Giovanni Dri - il Roncat, Ramandolo, 1988, 750 ml",,1,24,90
v.14356.2001.b,"Hofstätter, Gewürztraminer Vendemmia Tardiva Joseph Vigna Rechtenthaler Schlossleiten, 2001, 750 ml",,1,17,80
v.14356.2006.b,"Hofstätter, Gewürztraminer Vendemmia Tardiva Joseph Vigna Rechtenthaler Schlossleiten, 2006, 750 ml",,6,10,60
